,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Presentations Text,Agenda Text,Agenda Packet Text,Minutes Text,Written Communications Text,YouTube Transcription Text,Video Text,Audio Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Presentations URL,Agenda URL,Agenda Packet URL,Minutes URL,Written Communications URL,YouTube Transcription URL,Video URL,Audio URL
13,Fine Arts Commission,11/23/2020,,7:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23087&GUID=B9B4CED8-90A4-48B4-A310-82855DD76141,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726155&GUID=099156A5-B698-428D-A2C2-7768663E5D8B,,,,,,,,,,,
14,Design Review Committee,11/19/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726191&GUID=798D9508-FDD3-4504-997F-863903BA7864,,,,,,,,,,,
15,Environmental Review Committee,11/19/2020,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726232&GUID=1377AD26-6FB9-4135-B4BF-5BCBEB7C4775,,,,,,,,,,,
16,City Council,11/17/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=732533&GUID=80A48CDA-4C1F-4124-B682-21E23B990869,,,,,,,,,,,
17,Administrative Hearing,11/12/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726125&GUID=9BC74C52-2EAE-459D-850B-AD89AB2F7F96,,,,,,,,,,,
18,Housing Commission,11/12/2020,,9:00 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23088&GUID=E3F97C7E-3705-41B8-907A-ABEDC50EDFF1,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726148&GUID=1EEF7366-79F4-4979-AE8F-85FEFB49F4FC,,,,,,,,,,,
19,Planning Commission,11/10/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726081&GUID=2BA43650-354C-46F4-BFDD-66676A793B70,,,,,,,,,,,
20,Design Review Committee,11/5/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726190&GUID=CC8C0BCE-3A7A-4E44-881C-7D9445B42580,,,,,,,,,,,
21,Environmental Review Committee,11/5/2020,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726231&GUID=04CC1CF7-64B0-4289-90A1-E0E070DEDB2E,,,,,,,,,,,
22,City Council,11/2/2020,,6:45 PM,"10350 Torre Avenue, Council ChamberMoved for Election Day",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=732532&GUID=C521B6DC-8122-4248-A04F-C9A2C2161768,,,,,,,,,,,
23,Planning Commission,10/27/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726080&GUID=CF8BF19D-B6CE-4535-8B0E-E6F7259D7A4A,,,,,,,,,,,
24,Administrative Hearing,10/22/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726123&GUID=CA0F9409-868F-4A17-8072-7F22F09707B9,,,,,,,,,,,
25,City Council,10/20/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=732531&GUID=3151EB7D-A3E0-40E2-9685-283DD4DA1215,,,,,,,,,,,
26,Design Review Committee,10/15/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726189&GUID=A1C17537-2F32-469D-BEE0-5F45AD3EF14A,,,,,,,,,,,
