,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Presentations Text,Agenda Text,Agenda Packet Text,Minutes Text,Written Communications Text,YouTube Transcription Text,Video Text,Audio Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Presentations URL,Agenda URL,Agenda Packet URL,Minutes URL,Written Communications URL,YouTube Transcription URL,Video URL,Audio URL
96,Sustainability Commission,2/15/2018,,4:00 PM,"Environmental Education Center, 22221 McClellan RoadSpecial Meeting",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=32905&GUID=FBC813D5-E483-4FB7-BFBC-0E1AB03F9AB9,,https://cupertino.legistar.com/View.ashx?M=IC&ID=587605&GUID=F0AEF5F2-C3E1-4CCD-BE8E-7326435D60E1,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=587605&GUID=F0AEF5F2-C3E1-4CCD-BE8E-7326435D60E1&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=587605&GUID=F0AEF5F2-C3E1-4CCD-BE8E-7326435D60E1,,https://cupertino.legistar.com/View.ashx?M=M&ID=587605&GUID=F0AEF5F2-C3E1-4CCD-BE8E-7326435D60E1,,,,
97,Audit Committee,2/15/2018,,4:00 PM,"10300 Torre Avenue, City Hall Conference Room AAMENDED Special Meeting, conference room A",Meeting details,Not available,Agenda,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22536&GUID=59A62F38-91FE-4E23-9CF8-8D2A5072A75B,,https://cupertino.legistar.com/View.ashx?M=IC&ID=594010&GUID=D7AEA676-C31E-4211-9041-6085496171A3,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=594010&GUID=D7AEA676-C31E-4211-9041-6085496171A3&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=594010&GUID=D7AEA676-C31E-4211-9041-6085496171A3,,,,,,
98,Disaster Council,2/15/2018,,2:00 PM,"10350 Torre Avenue, Community Hall",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=29143&GUID=E2C83AA1-5E1B-4162-8A03-D21524763B92,,https://cupertino.legistar.com/View.ashx?M=IC&ID=592682&GUID=3BF05211-2777-4122-A811-C7D793769778,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=592682&GUID=3BF05211-2777-4122-A811-C7D793769778&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=592682&GUID=3BF05211-2777-4122-A811-C7D793769778,,https://cupertino.legistar.com/View.ashx?M=M&ID=592682&GUID=3BF05211-2777-4122-A811-C7D793769778,,,,
99,Environmental Review Committee,2/15/2018,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room CCancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=584245&GUID=6B990EE5-9991-40AC-9430-660A0AA1F0FF,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=584245&GUID=6B990EE5-9991-40AC-9430-660A0AA1F0FF&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=584245&GUID=6B990EE5-9991-40AC-9430-660A0AA1F0FF,,,,,,
0,Teen Commission,2/14/2018,,6:00 PM,"Quinlan Community Center, 10185 N. Stelling Rd.",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23092&GUID=E565B595-5FED-4380-9467-E8B37961AFC2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=594014&GUID=F636CE60-47E6-4E4C-AB33-FB601FA08602,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=594014&GUID=F636CE60-47E6-4E4C-AB33-FB601FA08602&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=594014&GUID=F636CE60-47E6-4E4C-AB33-FB601FA08602,,https://cupertino.legistar.com/View.ashx?M=M&ID=594014&GUID=F636CE60-47E6-4E4C-AB33-FB601FA08602,,,,
1,Economic Development Committee,2/14/2018,,10:00 AM,"10300 Torre Avenue, City Hall Conference Room A",Meeting details,Not available,Agenda,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=28147&GUID=62FA8652-165E-44BE-AD51-F837FB7AA564,,https://cupertino.legistar.com/View.ashx?M=IC&ID=584158&GUID=D66DE542-45DD-4F5F-AFFF-A62D54E8C92D,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=584158&GUID=D66DE542-45DD-4F5F-AFFF-A62D54E8C92D&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=584158&GUID=D66DE542-45DD-4F5F-AFFF-A62D54E8C92D,,,,,,
2,Planning Commission,2/13/2018,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Agenda,Not available,Aproved Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=573050&GUID=9DC6C43F-A6C7-49C7-BBC9-E8635D852285,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=573050&GUID=9DC6C43F-A6C7-49C7-BBC9-E8635D852285&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=573050&GUID=9DC6C43F-A6C7-49C7-BBC9-E8635D852285,,https://cupertino.legistar.com/View.ashx?M=M&ID=573050&GUID=9DC6C43F-A6C7-49C7-BBC9-E8635D852285,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
3,City Council,2/10/2018,,9:30 AM,"Aloft Hotel, 10165 North De Anza Boulevard, CupertinoNon-televised Special Meeting",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=591421&GUID=B297251B-B78E-4997-87BD-DF065B466A8E,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=591421&GUID=B297251B-B78E-4997-87BD-DF065B466A8E&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=591421&GUID=B297251B-B78E-4997-87BD-DF065B466A8E,,https://cupertino.legistar.com/View.ashx?M=M&ID=591421&GUID=B297251B-B78E-4997-87BD-DF065B466A8E,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
4,Public Safety Commission,2/8/2018,,6:00 PM,"10300 Torre Avenue, City Hall Conference Room A",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23091&GUID=54D4C363-B8EB-443D-BCEE-5E4FD02C8C11,,https://cupertino.legistar.com/View.ashx?M=IC&ID=581494&GUID=048A678C-57D9-441C-AE05-A20E6257E316,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=581494&GUID=048A678C-57D9-441C-AE05-A20E6257E316&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=581494&GUID=048A678C-57D9-441C-AE05-A20E6257E316,,https://cupertino.legistar.com/View.ashx?M=M&ID=581494&GUID=048A678C-57D9-441C-AE05-A20E6257E316,,,,
5,Administrative Hearing,2/8/2018,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Agenda,Not available,Approved Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=584119&GUID=B49A06BA-DB78-4032-BF3A-EF8726F4F7E3,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=584119&GUID=B49A06BA-DB78-4032-BF3A-EF8726F4F7E3&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=584119&GUID=B49A06BA-DB78-4032-BF3A-EF8726F4F7E3,,https://cupertino.legistar.com/View.ashx?M=M&ID=584119&GUID=B49A06BA-DB78-4032-BF3A-EF8726F4F7E3,,,,
6,Housing Commission,2/8/2018,,9:00 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Agenda,Not available,Approved Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23088&GUID=E3F97C7E-3705-41B8-907A-ABEDC50EDFF1,,https://cupertino.legistar.com/View.ashx?M=IC&ID=584168&GUID=27229E8C-C259-4B09-8EA4-0CD1E7513332,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=584168&GUID=27229E8C-C259-4B09-8EA4-0CD1E7513332&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=584168&GUID=27229E8C-C259-4B09-8EA4-0CD1E7513332,,https://cupertino.legistar.com/View.ashx?M=M&ID=584168&GUID=27229E8C-C259-4B09-8EA4-0CD1E7513332,,,,
7,Library Commission,2/7/2018,,7:00 PM,"Cupertino Library, 10800 Torre Avenue, Story Room",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23089&GUID=82144D6A-94F6-4207-B502-D8C42E4E1C41,,https://cupertino.legistar.com/View.ashx?M=IC&ID=575564&GUID=06F0F068-DE33-4AF9-B57B-A86DAE492465,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=575564&GUID=06F0F068-DE33-4AF9-B57B-A86DAE492465&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=575564&GUID=06F0F068-DE33-4AF9-B57B-A86DAE492465,,https://cupertino.legistar.com/View.ashx?M=M&ID=575564&GUID=06F0F068-DE33-4AF9-B57B-A86DAE492465,,,,
8,TICC,2/7/2018,,7:00 PM,"10300 Torre Avenue, City Hall Conference Room A",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23093&GUID=1A328291-57A3-49C3-BAC7-23F4880CAE43,,https://cupertino.legistar.com/View.ashx?M=IC&ID=592832&GUID=09564EF2-66FF-4582-A639-1CD8B006EEB6,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=592832&GUID=09564EF2-66FF-4582-A639-1CD8B006EEB6&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=592832&GUID=09564EF2-66FF-4582-A639-1CD8B006EEB6,,https://cupertino.legistar.com/View.ashx?M=M&ID=592832&GUID=09564EF2-66FF-4582-A639-1CD8B006EEB6,,,,
9,City Council,2/6/2018,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=564511&GUID=F1012616-0073-485A-8518-1A6BD6CC69A0,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=564511&GUID=F1012616-0073-485A-8518-1A6BD6CC69A0&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=564511&GUID=F1012616-0073-485A-8518-1A6BD6CC69A0,,https://cupertino.legistar.com/View.ashx?M=M&ID=564511&GUID=F1012616-0073-485A-8518-1A6BD6CC69A0,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
10,Parks and Recreation Commission,2/1/2018,,7:00 PM,"10350 Torre Avenue, Community HallAMENDED. This meeting will be televised.",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23090&GUID=2EF4EA37-633F-439B-B4C7-FD12541BFAEF,,https://cupertino.legistar.com/View.ashx?M=IC&ID=575364&GUID=891857EF-EC04-40C5-9DA3-DF4716B288EB,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=575364&GUID=891857EF-EC04-40C5-9DA3-DF4716B288EB&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=575364&GUID=891857EF-EC04-40C5-9DA3-DF4716B288EB,,https://cupertino.legistar.com/View.ashx?M=M&ID=575364&GUID=891857EF-EC04-40C5-9DA3-DF4716B288EB,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
11,Design Review Committee,2/1/2018,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room CCancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=584219&GUID=A4695ADA-719D-4E68-8B7F-091A0B098641,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=584219&GUID=A4695ADA-719D-4E68-8B7F-091A0B098641&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=584219&GUID=A4695ADA-719D-4E68-8B7F-091A0B098641,,,,,,
12,Environmental Review Committee,2/1/2018,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room CCancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=584244&GUID=267FDF7A-8A4E-4139-8FFE-7644B00D3D93,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=584244&GUID=267FDF7A-8A4E-4139-8FFE-7644B00D3D93&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=584244&GUID=267FDF7A-8A4E-4139-8FFE-7644B00D3D93,,,,,,
13,Administrative Hearing,1/25/2018,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room CCancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=584118&GUID=7E077009-A68F-4511-9B30-4B5F4DB4E067,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=584118&GUID=7E077009-A68F-4511-9B30-4B5F4DB4E067&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=584118&GUID=7E077009-A68F-4511-9B30-4B5F4DB4E067,,,,,,
14,Teen Commission,1/24/2018,,6:00 PM,"Quinlan Community Center, 10185 N. Stelling Rd.AMENDED",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23092&GUID=E565B595-5FED-4380-9467-E8B37961AFC2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=590787&GUID=FBA74991-A9D3-499D-B7E9-AFB851D9A472,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=590787&GUID=FBA74991-A9D3-499D-B7E9-AFB851D9A472&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=590787&GUID=FBA74991-A9D3-499D-B7E9-AFB851D9A472,,https://cupertino.legistar.com/View.ashx?M=M&ID=590787&GUID=FBA74991-A9D3-499D-B7E9-AFB851D9A472,,,,
15,Planning Commission,1/23/2018,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Agenda,Not available,Approved Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=573049&GUID=79CA2113-6F80-47C0-82DA-4249430C3C1E,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=573049&GUID=79CA2113-6F80-47C0-82DA-4249430C3C1E&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=573049&GUID=79CA2113-6F80-47C0-82DA-4249430C3C1E,,https://cupertino.legistar.com/View.ashx?M=M&ID=573049&GUID=79CA2113-6F80-47C0-82DA-4249430C3C1E,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
16,Audit Committee,1/23/2018,,4:00 PM,"10300 Torre Avenue, City Hall Conference Room EOC",Meeting details,Not available,Agenda,Not available,"January 23, 2018 approved minutes",Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22536&GUID=59A62F38-91FE-4E23-9CF8-8D2A5072A75B,,https://cupertino.legistar.com/View.ashx?M=IC&ID=588029&GUID=7546D16F-A5D4-4A83-8657-C2BB4E031594,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=588029&GUID=7546D16F-A5D4-4A83-8657-C2BB4E031594&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=588029&GUID=7546D16F-A5D4-4A83-8657-C2BB4E031594,,https://cupertino.legistar.com/View.ashx?M=M&ID=588029&GUID=7546D16F-A5D4-4A83-8657-C2BB4E031594,,,,
17,Fine Arts Commission,1/22/2018,,6:30 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Agenda,Not available,Approved Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23087&GUID=B9B4CED8-90A4-48B4-A310-82855DD76141,,https://cupertino.legistar.com/View.ashx?M=IC&ID=584162&GUID=D2C1B913-6A58-48B8-B3E9-A99D308A4131,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=584162&GUID=D2C1B913-6A58-48B8-B3E9-A99D308A4131&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=584162&GUID=D2C1B913-6A58-48B8-B3E9-A99D308A4131,,https://cupertino.legistar.com/View.ashx?M=M&ID=584162&GUID=D2C1B913-6A58-48B8-B3E9-A99D308A4131,,,,
18,City Council,1/22/2018,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room ANon-televised Special Meeting (Commissions Interviews)",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=568821&GUID=E5D17277-B89D-4A64-A3F5-E424DB7EA0D4,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=568821&GUID=E5D17277-B89D-4A64-A3F5-E424DB7EA0D4&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=568821&GUID=E5D17277-B89D-4A64-A3F5-E424DB7EA0D4,,https://cupertino.legistar.com/View.ashx?M=M&ID=568821&GUID=E5D17277-B89D-4A64-A3F5-E424DB7EA0D4,,,,
19,Design Review Committee,1/18/2018,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room CCancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=584218&GUID=637E7A80-2616-4D2C-AD92-E98CD7F86708,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=584218&GUID=637E7A80-2616-4D2C-AD92-E98CD7F86708&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=584218&GUID=637E7A80-2616-4D2C-AD92-E98CD7F86708,,,,,,
20,Sustainability Commission,1/18/2018,,4:00 PM,"Environmental Education Center, 22221 McClellan RoadSpecial Meeting",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=32905&GUID=FBC813D5-E483-4FB7-BFBC-0E1AB03F9AB9,,https://cupertino.legistar.com/View.ashx?M=IC&ID=587567&GUID=F6A92F3B-3B8A-4823-918D-AEF03F786D0F,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=587567&GUID=F6A92F3B-3B8A-4823-918D-AEF03F786D0F&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=587567&GUID=F6A92F3B-3B8A-4823-918D-AEF03F786D0F,,https://cupertino.legistar.com/View.ashx?M=M&ID=587567&GUID=F6A92F3B-3B8A-4823-918D-AEF03F786D0F,,,,
21,Environmental Review Committee,1/18/2018,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Agenda,Not available,Approved Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=586693&GUID=5C47E8A8-42E0-49B7-8195-5DD091554E1F,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=586693&GUID=5C47E8A8-42E0-49B7-8195-5DD091554E1F&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=586693&GUID=5C47E8A8-42E0-49B7-8195-5DD091554E1F,,https://cupertino.legistar.com/View.ashx?M=M&ID=586693&GUID=5C47E8A8-42E0-49B7-8195-5DD091554E1F,,,,
22,Bicycle Pedestrian Commission,1/17/2018,,7:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22794&GUID=DA4EFDBB-359F-4536-B6AE-E3BED44110B2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=581507&GUID=59C368AF-1234-43AC-B152-216EB9265088,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=581507&GUID=59C368AF-1234-43AC-B152-216EB9265088&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=581507&GUID=59C368AF-1234-43AC-B152-216EB9265088,,https://cupertino.legistar.com/View.ashx?M=M&ID=581507&GUID=59C368AF-1234-43AC-B152-216EB9265088,,,,
23,City Council,1/16/2018,,5:45 PM,10300 Torre Avenue and 10350 Torre AvenueNon-televised Special Meeting Closed Session (5:45) and Televised Regular Meeting (6:45),Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=568823&GUID=879B6635-5CD8-4D4A-A516-6F65BF729DF8,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=568823&GUID=879B6635-5CD8-4D4A-A516-6F65BF729DF8&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=568823&GUID=879B6635-5CD8-4D4A-A516-6F65BF729DF8,,https://cupertino.legistar.com/View.ashx?M=M&ID=568823&GUID=879B6635-5CD8-4D4A-A516-6F65BF729DF8,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
24,Public Safety Commission,1/11/2018,,6:00 PM,"10300 Torre Avenue, City Hall Conference Room A",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23091&GUID=54D4C363-B8EB-443D-BCEE-5E4FD02C8C11,,https://cupertino.legistar.com/View.ashx?M=IC&ID=581493&GUID=A5AAED3D-B930-4F46-8C2A-15752D737D30,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=581493&GUID=A5AAED3D-B930-4F46-8C2A-15752D737D30&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=581493&GUID=A5AAED3D-B930-4F46-8C2A-15752D737D30,,https://cupertino.legistar.com/View.ashx?M=M&ID=581493&GUID=A5AAED3D-B930-4F46-8C2A-15752D737D30,,,,
25,Administrative Hearing,1/11/2018,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Agenda,Not available,Approved Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=583992&GUID=9F6F8E11-A411-4F91-9C4D-A48AA632163B,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=583992&GUID=9F6F8E11-A411-4F91-9C4D-A48AA632163B&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=583992&GUID=9F6F8E11-A411-4F91-9C4D-A48AA632163B,,https://cupertino.legistar.com/View.ashx?M=M&ID=583992&GUID=9F6F8E11-A411-4F91-9C4D-A48AA632163B,,,,
26,Housing Commission,1/11/2018,,9:00 AM,"10300 Torre Avenue, City Hall Conference Room CCancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23088&GUID=E3F97C7E-3705-41B8-907A-ABEDC50EDFF1,,https://cupertino.legistar.com/View.ashx?M=IC&ID=586365&GUID=4EEE4ED7-6207-43C7-884C-AB347E93EBA9,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=586365&GUID=4EEE4ED7-6207-43C7-884C-AB347E93EBA9&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=586365&GUID=4EEE4ED7-6207-43C7-884C-AB347E93EBA9,,,,,,
27,Teen Commission,1/10/2018,,6:00 PM,"Quinlan Community Center, 10185 N. Stelling Rd.",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23092&GUID=E565B595-5FED-4380-9467-E8B37961AFC2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=586732&GUID=5D5DEEF8-2094-4968-B7A6-519D21FB9975,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=586732&GUID=5D5DEEF8-2094-4968-B7A6-519D21FB9975&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=586732&GUID=5D5DEEF8-2094-4968-B7A6-519D21FB9975,,https://cupertino.legistar.com/View.ashx?M=M&ID=586732&GUID=5D5DEEF8-2094-4968-B7A6-519D21FB9975,,,,
28,Planning Commission,1/9/2018,,6:45 PM,"10350 Torre Avenue, Council ChamberCancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=573048&GUID=7140B5D6-A068-42C8-9A70-9A70B7D725E2,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=573048&GUID=7140B5D6-A068-42C8-9A70-9A70B7D725E2&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=573048&GUID=7140B5D6-A068-42C8-9A70-9A70B7D725E2,,,,,,
