,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL,eComment URL
50,* Special Meeting of the Oakland City Council,1/23/2017,,5:30 PM,"City Council Chamber, 3rd Floor",Meeting details,Agenda,Minutes,Video,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=529516&GUID=3033CBE6-85E4-4405-9A32-D69856CA7F1A,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=529516&GUID=3033CBE6-85E4-4405-9A32-D69856CA7F1A&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=529516&GUID=3033CBE6-85E4-4405-9A32-D69856CA7F1A,https://oakland.legistar.com/View.ashx?M=M&ID=529516&GUID=3033CBE6-85E4-4405-9A32-D69856CA7F1A,https://oakland.legistar.com/#,
51,*Rules and Legislation Committee - CANCELLED,1/19/2017,,10:45 AM,"City Council Chamber, 3rd Floor",Meeting details,Agenda,Not available,Not available,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=525606&GUID=F17BD62F-33F5-45F7-9DDF-EDCCF260659F,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=525606&GUID=F17BD62F-33F5-45F7-9DDF-EDCCF260659F&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=525606&GUID=F17BD62F-33F5-45F7-9DDF-EDCCF260659F,,,
52,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,1/17/2017,,5:30 PM,"City Council Chamber, 3rd Floor",Meeting details,Agenda,Minutes,Video,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=525605&GUID=F7E5B003-6742-41FE-8A49-54076E027271,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=525605&GUID=F7E5B003-6742-41FE-8A49-54076E027271&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=525605&GUID=F7E5B003-6742-41FE-8A49-54076E027271,https://oakland.legistar.com/View.ashx?M=M&ID=525605&GUID=F7E5B003-6742-41FE-8A49-54076E027271,https://oakland.legistar.com/#,
53,*Rules & Legislation Committee,1/12/2017,,10:45 AM,"City Council Chamber, 3rd Floor",Meeting details,Agenda,Minutes,Video,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=524630&GUID=2B275B2F-FB0A-4A10-8E4D-F281FE1959B7,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=524630&GUID=2B275B2F-FB0A-4A10-8E4D-F281FE1959B7&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=524630&GUID=2B275B2F-FB0A-4A10-8E4D-F281FE1959B7,https://oakland.legistar.com/View.ashx?M=M&ID=524630&GUID=2B275B2F-FB0A-4A10-8E4D-F281FE1959B7,https://oakland.legistar.com/#,
54,*Public Safety Committee - CANCELLED,1/10/2017,,6:00 PM,Sgt. Mark Dunakin Room - 1st Floor,Meeting details,Agenda,Not available,Not available,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=525122&GUID=26921175-5FB5-46E4-BDD0-631F1F2FFECF,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=525122&GUID=26921175-5FB5-46E4-BDD0-631F1F2FFECF&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=525122&GUID=26921175-5FB5-46E4-BDD0-631F1F2FFECF,,,
55,*Life Enrichment Committee,1/10/2017,,4:00 PM,Sgt. Mark Dunakin Room - 1st Floor,Meeting details,Agenda,Minutes,Video,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=524629&GUID=CA22FBEB-FD09-43E9-ADFC-44AFA9462467,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=524629&GUID=CA22FBEB-FD09-43E9-ADFC-44AFA9462467&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=524629&GUID=CA22FBEB-FD09-43E9-ADFC-44AFA9462467,https://oakland.legistar.com/View.ashx?M=M&ID=524629&GUID=CA22FBEB-FD09-43E9-ADFC-44AFA9462467,https://oakland.legistar.com/#,
56,Concurrent Meeting of the Oakland Redevelopment Successor Agency and the Community and Economic Development Committee,1/10/2017,,1:30 PM,Sgt. Mark Dunakin Room - Hearing Room 1,Meeting details,Agenda,Minutes,Video,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=525121&GUID=6DCEAF76-D6CE-4B25-92EC-602B2B02A68B,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=525121&GUID=6DCEAF76-D6CE-4B25-92EC-602B2B02A68B&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=525121&GUID=6DCEAF76-D6CE-4B25-92EC-602B2B02A68B,https://oakland.legistar.com/View.ashx?M=M&ID=525121&GUID=6DCEAF76-D6CE-4B25-92EC-602B2B02A68B,https://oakland.legistar.com/#,
57,*Public Works Committee,1/10/2017,,11:30 AM,Sgt. Mark Dunakin Room - 1st Floor,Meeting details,Agenda,Minutes,Video,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=524628&GUID=41C1464C-C8C6-4161-AF69-482DF4D75CDB,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=524628&GUID=41C1464C-C8C6-4161-AF69-482DF4D75CDB&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=524628&GUID=41C1464C-C8C6-4161-AF69-482DF4D75CDB,https://oakland.legistar.com/View.ashx?M=M&ID=524628&GUID=41C1464C-C8C6-4161-AF69-482DF4D75CDB,https://oakland.legistar.com/#,
58,*Finance & Management Committee,1/10/2017,,9:30 AM,Sgt. Mark Dunakin Room - 1st Floor,Meeting details,Agenda,Minutes,Video,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=525120&GUID=B4FA8BE5-9150-4E6C-A567-34DCA776560B,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=525120&GUID=B4FA8BE5-9150-4E6C-A567-34DCA776560B&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=525120&GUID=B4FA8BE5-9150-4E6C-A567-34DCA776560B,https://oakland.legistar.com/View.ashx?M=M&ID=525120&GUID=B4FA8BE5-9150-4E6C-A567-34DCA776560B,https://oakland.legistar.com/#,
59,* Special Meeting of the Oakland City Council,1/9/2017,,11:00 AM,"City Council Chamber, 3rd Floor",Meeting details,Agenda,Minutes,Video,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=526467&GUID=0F49C93D-3F87-4A01-92F8-DA7A527387A2,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=526467&GUID=0F49C93D-3F87-4A01-92F8-DA7A527387A2&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=526467&GUID=0F49C93D-3F87-4A01-92F8-DA7A527387A2,https://oakland.legistar.com/View.ashx?M=M&ID=526467&GUID=0F49C93D-3F87-4A01-92F8-DA7A527387A2,https://oakland.legistar.com/#,
60,*Rules and Legislation Committee - CANCELLED,12/29/2016,,10:45 AM,"City Council Chamber, 3rd Floor",Meeting details,Not available,Not available,Not available,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=519927&GUID=759F6B07-A88A-4EB0-91AB-952E75F108B8,,,,,,,
