,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Video URL
0,City Council,12/25/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719503&GUID=6D93B3A5-368F-49CF-9929-26D7E37CD12F,,,,,
1,Successor Agency to the Redevelopment Agency,12/25/2019,,6:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32814&GUID=BBE8CEFA-3AE9-47A2-8845-BE6A5AF1ABC0,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719504&GUID=EDC5A27E-8401-4D59-A7BD-C30510128021,,,,,
2,School District Liaison Standing Committee of the City Council,12/17/2019,,3:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32887&GUID=4E5BCE5C-2AC9-4B71-86D0-D5B1B6A59017,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688744&GUID=1750EDA2-2FFF-48C5-AD31-4D8CF2713EFB,,,,,
3,City Council,12/11/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719502&GUID=6F7845F2-5146-441D-A773-63AD72EA5191,,,,,
4,Special City Council,12/11/2019,,6:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=723423&GUID=CEAEC2A5-E3CC-4771-8057-1D5A98517EEB,,,,,
5,Measure W Citizens' Oversight Committee,12/4/2019,,6:30 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32886&GUID=A2D91238-E1E8-48B7-A7EC-F23077B8F727,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688287&GUID=FEAE6A01-5636-4B90-8500-50E2CAC84CC4,,,,,
6,Special City Council,12/3/2019,,5:00 PM,TBDCOUNCIL REORGANIZATION,Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=723418&GUID=C3E451A4-2BE6-4A65-97E7-A5199CA51162,,,,,
7,City Council,11/27/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719500&GUID=B2224DCD-BFB6-41EB-9340-0B3F4B4854A8,,,,,
8,Successor Agency to the Redevelopment Agency,11/27/2019,,6:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32814&GUID=BBE8CEFA-3AE9-47A2-8845-BE6A5AF1ABC0,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719501&GUID=DD5B59FD-CD7E-466E-8B7F-9600C1570EA4,,,,,
9,Special City Council,11/25/2019,,6:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=720031&GUID=46602CC8-C2E4-4DDF-BECF-3C6D1B31A622,,,,,
10,City Council,11/13/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688736&GUID=86CD8782-355B-483B-A474-CA91EC0A4784,,,,,
11,General Plan Update Community Advisory Committee,10/30/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=40132&GUID=ABE0F824-7416-4842-8488-AA5964E81FAA,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=723376&GUID=C33B3078-30A7-459B-B83C-14365D70953E,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=723376&GUID=C33B3078-30A7-459B-B83C-14365D70953E&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=723376&GUID=C33B3078-30A7-459B-B83C-14365D70953E,
12,City Council,10/23/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688735&GUID=B3F479C7-EA02-4F17-95AC-B52D98BAD692,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=688735&GUID=B3F479C7-EA02-4F17-95AC-B52D98BAD692&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688735&GUID=B3F479C7-EA02-4F17-95AC-B52D98BAD692,https://ci-ssf-ca.legistar.com/#
13,Successor Agency to the Redevelopment Agency,10/23/2019,,6:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32814&GUID=BBE8CEFA-3AE9-47A2-8845-BE6A5AF1ABC0,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719498&GUID=A1988C59-5172-4A62-BC6F-BC0F2696E033,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=719498&GUID=A1988C59-5172-4A62-BC6F-BC0F2696E033&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=719498&GUID=A1988C59-5172-4A62-BC6F-BC0F2696E033,
14,Special City Council,10/23/2019,,5:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=723146&GUID=702A8EE0-BE96-4A40-AD0E-FEAC5A2B71FA,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=723146&GUID=702A8EE0-BE96-4A40-AD0E-FEAC5A2B71FA&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=723146&GUID=702A8EE0-BE96-4A40-AD0E-FEAC5A2B71FA,https://ci-ssf-ca.legistar.com/#
15,Special City Council,10/22/2019,,6:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719476&GUID=F3284FE5-5A4C-46DB-A988-6E03A2C22A1D,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=719476&GUID=F3284FE5-5A4C-46DB-A988-6E03A2C22A1D&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=719476&GUID=F3284FE5-5A4C-46DB-A988-6E03A2C22A1D,
16,NOTICE OF MEETING CANCELLATION,10/21/2019,,5:00 PM,HOUSING STANDING COMMITTEE,Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=41012&GUID=34963570-AFB2-43D7-9403-191A40750E71,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=722854&GUID=ABF9E73E-E5B9-4B1A-B268-444541B8E7D8,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=722854&GUID=ABF9E73E-E5B9-4B1A-B268-444541B8E7D8&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=722854&GUID=ABF9E73E-E5B9-4B1A-B268-444541B8E7D8,
17,Planning Commission,10/17/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=712775&GUID=52CCBA0D-9FBD-4983-A330-19EBE538A5BE,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=712775&GUID=52CCBA0D-9FBD-4983-A330-19EBE538A5BE&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=712775&GUID=52CCBA0D-9FBD-4983-A330-19EBE538A5BE,
18,Special Measure W Citizens' Oversight Committee,10/15/2019,,6:45 PM,"Finance Conference Room, City Hall
400 Grand Avenue, Lower Level, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=37290&GUID=94A4A024-E3A3-402C-BF6D-FA0260795046,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=726271&GUID=8B23D1FA-9E0E-4865-BB4C-AD4845B6A5B4,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=726271&GUID=8B23D1FA-9E0E-4865-BB4C-AD4845B6A5B4&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=726271&GUID=8B23D1FA-9E0E-4865-BB4C-AD4845B6A5B4,
19,City Council,10/9/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688734&GUID=DFCBED35-6B54-4953-9517-6095B92539F4,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=688734&GUID=DFCBED35-6B54-4953-9517-6095B92539F4&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688734&GUID=DFCBED35-6B54-4953-9517-6095B92539F4,https://ci-ssf-ca.legistar.com/#
20,Special City Council,10/9/2019,,6:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=723145&GUID=C4FCBA8A-771D-491C-8D24-14FF6E30D7B8,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=723145&GUID=C4FCBA8A-771D-491C-8D24-14FF6E30D7B8&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=723145&GUID=C4FCBA8A-771D-491C-8D24-14FF6E30D7B8,https://ci-ssf-ca.legistar.com/#
21,General Plan Update Community Advisory Committee,10/8/2019,,7:00 PM,"Municipal Services Building, Police Training Room
33 Arroyo Drive, South San Francisco, CACANCELLED",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=40132&GUID=ABE0F824-7416-4842-8488-AA5964E81FAA,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=724162&GUID=C95E6BBA-1CB0-4CF1-A2D0-482989BF0BB4,,,,,
22,Community Meeting Special City Council Meeting,10/8/2019,,6:30 PM,"Ponderosa Elementary School
295 Ponderosa Road, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33191&GUID=E49ECC3C-ECEA-4FD1-AAF9-F420AC4209B4,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=723280&GUID=A0F50029-6611-4F02-A00E-9936D10BF55E,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=723280&GUID=A0F50029-6611-4F02-A00E-9936D10BF55E&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=723280&GUID=A0F50029-6611-4F02-A00E-9936D10BF55E,
23,Parking Place Commission,10/8/2019,,5:00 PM,"Corporation Yard Conference Room
550 North Canal Street, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32896&GUID=7F326DD8-823F-4DDC-AC7C-E9F7DE6CC797,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=724567&GUID=B8D826F4-9E04-4214-B4C9-02D074EFC69B,,,,,
24,Special City Council,10/7/2019,,6:30 PM,"City Manager's Conference Room, City Hall 
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=723158&GUID=8DBB9D73-60BC-41A5-AF22-D21ECFF438B0,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=723158&GUID=8DBB9D73-60BC-41A5-AF22-D21ECFF438B0&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=723158&GUID=8DBB9D73-60BC-41A5-AF22-D21ECFF438B0,
25,Planning Commission,10/3/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=712774&GUID=54993B0C-A034-4C0C-BEE6-71ECE5D5D809,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=712774&GUID=54993B0C-A034-4C0C-BEE6-71ECE5D5D809&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=712774&GUID=54993B0C-A034-4C0C-BEE6-71ECE5D5D809,
26,Special City Council,10/2/2019,,6:00 PM,"Rotary Terrace
310 Miller Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=716519&GUID=7585DDC9-DB64-479F-922B-478944E6DA99,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=716519&GUID=7585DDC9-DB64-479F-922B-478944E6DA99&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=716519&GUID=7585DDC9-DB64-479F-922B-478944E6DA99,
27,City Council,9/25/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688733&GUID=97C5FAE2-37AA-4D9D-BB13-6B25D12E5E39,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=688733&GUID=97C5FAE2-37AA-4D9D-BB13-6B25D12E5E39&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688733&GUID=97C5FAE2-37AA-4D9D-BB13-6B25D12E5E39,https://ci-ssf-ca.legistar.com/#
28,Successor Agency to the Redevelopment Agency,9/25/2019,,6:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32814&GUID=BBE8CEFA-3AE9-47A2-8845-BE6A5AF1ABC0,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719499&GUID=E1C24DE6-B55B-4FFC-A644-F243AACBB814,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=719499&GUID=E1C24DE6-B55B-4FFC-A644-F243AACBB814&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=719499&GUID=E1C24DE6-B55B-4FFC-A644-F243AACBB814,
29,Special City Council,9/25/2019,,6:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=722017&GUID=B2B26C9E-CBEF-4C5C-A05F-B76F0046BEA1,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=722017&GUID=B2B26C9E-CBEF-4C5C-A05F-B76F0046BEA1&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=722017&GUID=B2B26C9E-CBEF-4C5C-A05F-B76F0046BEA1,https://ci-ssf-ca.legistar.com/#
30,Joint Special Meeting City Council and Planning Commission,9/23/2019,,6:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33193&GUID=6DA33626-A7C8-482B-BE0B-1783E57C816A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=714808&GUID=FC918C4C-DB0F-4C43-B8D5-E2CFCD71F2EE,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=714808&GUID=FC918C4C-DB0F-4C43-B8D5-E2CFCD71F2EE&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=714808&GUID=FC918C4C-DB0F-4C43-B8D5-E2CFCD71F2EE,
31,Planning Commission,9/19/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=712773&GUID=0388D0E8-FBFC-43C1-8F4F-A9A4CE129BCF,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=712773&GUID=0388D0E8-FBFC-43C1-8F4F-A9A4CE129BCF&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=712773&GUID=0388D0E8-FBFC-43C1-8F4F-A9A4CE129BCF,
32,Zoning Administrator,9/19/2019,,3:00 PM,"Annex Conference Room, 
315 Maple Avenue, South San Francisco",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=35364&GUID=D384C408-861A-4F33-ADD9-715D22F27FDC,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=721253&GUID=B4738AE4-AE09-4E63-A14F-794625DFDAF7,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=721253&GUID=B4738AE4-AE09-4E63-A14F-794625DFDAF7&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=721253&GUID=B4738AE4-AE09-4E63-A14F-794625DFDAF7,
33,Community Meeting Joint Special Meeting of the City Council and Planning Commission,9/18/2019,,7:00 PM,"Martin Elementary School
35 School Street, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=40782&GUID=A2F8F37E-3309-47E3-BF69-4018F0055E34,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=716331&GUID=D98F097F-1774-476D-9F83-D6D9229DB00B,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=716331&GUID=D98F097F-1774-476D-9F83-D6D9229DB00B&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=716331&GUID=D98F097F-1774-476D-9F83-D6D9229DB00B,
34,Community Meeting Joint Special Meeting of the City Council and Planning Commission,9/18/2019,,4:00 PM,"47 Hills Brewing Company
137 South Linden Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=40782&GUID=A2F8F37E-3309-47E3-BF69-4018F0055E34,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=716330&GUID=4B02D2C2-BF54-4BD1-ADC4-2ACBC8AED267,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=716330&GUID=4B02D2C2-BF54-4BD1-ADC4-2ACBC8AED267&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=716330&GUID=4B02D2C2-BF54-4BD1-ADC4-2ACBC8AED267,
35,School District Liaison Standing Committee of the City Council,9/17/2019,,2:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32887&GUID=4E5BCE5C-2AC9-4B71-86D0-D5B1B6A59017,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688743&GUID=D5442B8D-99E8-4C53-8652-3A3989317741,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=688743&GUID=D5442B8D-99E8-4C53-8652-3A3989317741&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688743&GUID=D5442B8D-99E8-4C53-8652-3A3989317741,
36,Housing Standing Committee of the City Council and Planning Commission,9/16/2019,,5:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32885&GUID=3AFE0044-8905-46F5-BFED-8303508C5233,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719509&GUID=852CC33F-5C7E-47B2-A734-A522AE171049,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=719509&GUID=852CC33F-5C7E-47B2-A734-A522AE171049&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=719509&GUID=852CC33F-5C7E-47B2-A734-A522AE171049,
37,Community Meeting Joint Special Meeting of the City Council and Planning Commission,9/12/2019,,7:00 PM,"Sunshine Gardens Elementary School
1200 Miller Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=40782&GUID=A2F8F37E-3309-47E3-BF69-4018F0055E34,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=716329&GUID=BF821C8F-DC67-442C-9AB3-8798143E0450,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=716329&GUID=BF821C8F-DC67-442C-9AB3-8798143E0450&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=716329&GUID=BF821C8F-DC67-442C-9AB3-8798143E0450,
38,NOTICE OF MEETING CANCELLATION,9/11/2019,,7:00 PM,CITY COUNCIL,Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=41012&GUID=34963570-AFB2-43D7-9403-191A40750E71,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688732&GUID=849CDB30-2CCE-428A-A172-8278AFA0D578,,,,,
39,General Plan Update Community Advisory Committee,9/10/2019,,7:00 PM,"Municipal Services Building, Police Training Room
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=40132&GUID=ABE0F824-7416-4842-8488-AA5964E81FAA,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719182&GUID=52A4B98D-8945-4A81-89C8-0C404642FC8F,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=719182&GUID=52A4B98D-8945-4A81-89C8-0C404642FC8F&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=719182&GUID=52A4B98D-8945-4A81-89C8-0C404642FC8F,
40,Parking Place Commission,9/10/2019,,5:00 PM,"Maintenance Corporation Yard Conference Room
550 North Canal Street, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32896&GUID=7F326DD8-823F-4DDC-AC7C-E9F7DE6CC797,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=706166&GUID=470A2934-6006-4BC7-B9DC-1725754A60BA,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=706166&GUID=470A2934-6006-4BC7-B9DC-1725754A60BA&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=706166&GUID=470A2934-6006-4BC7-B9DC-1725754A60BA,
41,Community Meeting Joint Special Meeting of the City Council and Planning Commission,9/9/2019,,7:00 PM,"Los Cerritos Elementary School
210 West Orange  Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=40782&GUID=A2F8F37E-3309-47E3-BF69-4018F0055E34,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=716328&GUID=85701F10-BD44-494C-BD28-13B4C27E1113,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=716328&GUID=85701F10-BD44-494C-BD28-13B4C27E1113&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=716328&GUID=85701F10-BD44-494C-BD28-13B4C27E1113,
42,Planning Commission,9/5/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=712772&GUID=9D4F5026-6B65-464F-935C-5E3E1A902897,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=712772&GUID=9D4F5026-6B65-464F-935C-5E3E1A902897&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=712772&GUID=9D4F5026-6B65-464F-935C-5E3E1A902897,
