,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Video URL
37,Planning Commission,2/2/2017,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=531717&GUID=825A59C7-5FEF-48C6-BF69-E53D66411733,,,,,
38,Budget Standing Committee of the City Council,2/2/2017,,3:30 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32601&GUID=7850A6C0-63E5-4C2C-8DA1-125FC9322777,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=530934&GUID=A5B40C33-1A24-4F72-8C07-9A3F37F76614,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=530934&GUID=A5B40C33-1A24-4F72-8C07-9A3F37F76614&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=530934&GUID=A5B40C33-1A24-4F72-8C07-9A3F37F76614,
39,Measure W Citizens' Oversight Committee,2/1/2017,,6:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32886&GUID=A2D91238-E1E8-48B7-A7EC-F23077B8F727,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=522530&GUID=24498DC5-AB10-4C75-BEC5-27AE54344454,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=522530&GUID=24498DC5-AB10-4C75-BEC5-27AE54344454&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=522530&GUID=24498DC5-AB10-4C75-BEC5-27AE54344454,
40,Special Oversight Board to the Successor Agency to the Former Redevelopment Agency (inactive),1/31/2017,,2:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=34652&GUID=779B984B-E540-424A-ABE1-0CDE277A1A4D,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=515507&GUID=6A71E85B-8D57-466C-B7DB-BC169F67D1B8,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=515507&GUID=6A71E85B-8D57-466C-B7DB-BC169F67D1B8&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=515507&GUID=6A71E85B-8D57-466C-B7DB-BC169F67D1B8,
41,Community Development Block Grant Standing Committee of the City Council,1/30/2017,,12:30 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32882&GUID=8DD744AC-61D0-44A9-9F1A-E2B8AC4B1800,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=528032&GUID=6248339A-CEB5-4D20-9B18-FD7D669B8A67,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=528032&GUID=6248339A-CEB5-4D20-9B18-FD7D669B8A67&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=528032&GUID=6248339A-CEB5-4D20-9B18-FD7D669B8A67,
42,City Council,1/25/2017,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=515455&GUID=03E26E30-23D2-4686-AC3B-E0E1C006341B,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=515455&GUID=03E26E30-23D2-4686-AC3B-E0E1C006341B&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=515455&GUID=03E26E30-23D2-4686-AC3B-E0E1C006341B,https://ci-ssf-ca.legistar.com/#
43,Successor Agency to the Redevelopment Agency,1/25/2017,,6:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32814&GUID=BBE8CEFA-3AE9-47A2-8845-BE6A5AF1ABC0,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=515493&GUID=7F06A17A-C1CA-44A9-9848-DF9F16B70E75,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=515493&GUID=7F06A17A-C1CA-44A9-9848-DF9F16B70E75&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=515493&GUID=7F06A17A-C1CA-44A9-9848-DF9F16B70E75,
44,Planning Commission,1/19/2017,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=525183&GUID=A7F06389-D287-4546-80D2-A018625F9517,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=525183&GUID=A7F06389-D287-4546-80D2-A018625F9517&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=525183&GUID=A7F06389-D287-4546-80D2-A018625F9517,
45,Joint Special Meeting City Council and Successor Agency,1/18/2017,,6:30 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33115&GUID=D910DD47-1BE7-4A30-BB44-BB79B01AC673,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=526800&GUID=3A006050-EA7A-46F3-AD92-AC800610321C,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=526800&GUID=3A006050-EA7A-46F3-AD92-AC800610321C&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=526800&GUID=3A006050-EA7A-46F3-AD92-AC800610321C,https://ci-ssf-ca.legistar.com/#
46,Special City Council,1/18/2017,,6:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=521069&GUID=9181A907-E881-40F8-95F3-6845E31F1FB6,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=521069&GUID=9181A907-E881-40F8-95F3-6845E31F1FB6&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=521069&GUID=9181A907-E881-40F8-95F3-6845E31F1FB6,
