,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Staff/ProjectApplicant Presentations Text,Agenda Text,Action Minutes Text,Documents ReceivedAfter Published Agenda Text,Official Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Staff/ProjectApplicant Presentations URL,Agenda URL,Action Minutes URL,Documents ReceivedAfter Published Agenda URL,Official Minutes URL,Video URL
57,Council Economic Development Committee,6/4/2018,,4:00 PM,"City Hall, Conference Room 4A",Meeting details,CEDC June 2018 Presentation,Agenda,Action Minutes,Not available,Minutes of 6/4/18,Not available,DepartmentDetail.aspx?ID=31136&GUID=E5BC18DD-432F-4701-80DE-9F600848D689,,View.ashx?M=IC&ID=588573&GUID=F939D8D6-3655-41EE-B244-6666E6D66652,,,MeetingDetail.aspx?ID=588573&GUID=F939D8D6-3655-41EE-B244-6666E6D66652&Options=info&Search=,View.ashx?M=E1&ID=588573&GUID=F939D8D6-3655-41EE-B244-6666E6D66652,View.ashx?M=A&ID=588573&GUID=F939D8D6-3655-41EE-B244-6666E6D66652,View.ashx?M=M&ID=588573&GUID=F939D8D6-3655-41EE-B244-6666E6D66652,,View.ashx?M=E3&ID=588573&GUID=F939D8D6-3655-41EE-B244-6666E6D66652,
58,City Council,5/29/2018,,7:00 PM,Council Chambers,Meeting details,Presentations,Agenda,Action Minutes,Documents Received After Published Agenda,Minutes of 05/29/18,Video,DepartmentDetail.aspx?ID=30850&GUID=ABB40C93-B4A0-406D-809B-03936402537F,,View.ashx?M=IC&ID=602599&GUID=FE5F5691-5942-4482-ACB4-569336BA7650,,,MeetingDetail.aspx?ID=602599&GUID=FE5F5691-5942-4482-ACB4-569336BA7650&Options=info&Search=,View.ashx?M=E1&ID=602599&GUID=FE5F5691-5942-4482-ACB4-569336BA7650,View.ashx?M=A&ID=602599&GUID=FE5F5691-5942-4482-ACB4-569336BA7650,View.ashx?M=M&ID=602599&GUID=FE5F5691-5942-4482-ACB4-569336BA7650,View.ashx?M=E2&ID=602599&GUID=FE5F5691-5942-4482-ACB4-569336BA7650,View.ashx?M=E3&ID=602599&GUID=FE5F5691-5942-4482-ACB4-569336BA7650,#
59,City Council,5/29/2018,,5:00 PM,Conference Room 2B,Meeting details,Not available,Agenda,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30850&GUID=ABB40C93-B4A0-406D-809B-03936402537F,,View.ashx?M=IC&ID=608469&GUID=B51A7ACE-2257-4079-9ADD-0BC6B0871E59,,,MeetingDetail.aspx?ID=608469&GUID=B51A7ACE-2257-4079-9ADD-0BC6B0871E59&Options=info&Search=,,View.ashx?M=A&ID=608469&GUID=B51A7ACE-2257-4079-9ADD-0BC6B0871E59,,,,
60,Keep Hayward Clean and Green Task Force,5/24/2018,,7:00 PM,"City Hall, Conference Room 2A",Meeting details,Not available,Agenda,Not available,Not available,Meeting Minutes 05-24-18,Not available,DepartmentDetail.aspx?ID=33059&GUID=8BFDFA33-85DF-4C86-9B6E-FEE23D471CB9,,View.ashx?M=IC&ID=574792&GUID=17B7AC6C-3A2F-4446-AA12-64C7149DAD54,,,MeetingDetail.aspx?ID=574792&GUID=17B7AC6C-3A2F-4446-AA12-64C7149DAD54&Options=info&Search=,,View.ashx?M=A&ID=574792&GUID=17B7AC6C-3A2F-4446-AA12-64C7149DAD54,,,View.ashx?M=E3&ID=574792&GUID=17B7AC6C-3A2F-4446-AA12-64C7149DAD54,
61,Planning Commission,5/24/2018,,7:00 PM,Council Chambers,Meeting details,Presentations,Agenda,Action Minutes,Documents Received After Published Agenda,Minutes of 05/24/18,Video,DepartmentDetail.aspx?ID=30859&GUID=61527508-1071-493D-93C4-0CCF21DD457A,,View.ashx?M=IC&ID=603967&GUID=DE67E5E0-BF2C-4A44-B7EE-8A77F2F2531C,,,MeetingDetail.aspx?ID=603967&GUID=DE67E5E0-BF2C-4A44-B7EE-8A77F2F2531C&Options=info&Search=,View.ashx?M=E1&ID=603967&GUID=DE67E5E0-BF2C-4A44-B7EE-8A77F2F2531C,View.ashx?M=A&ID=603967&GUID=DE67E5E0-BF2C-4A44-B7EE-8A77F2F2531C,View.ashx?M=M&ID=603967&GUID=DE67E5E0-BF2C-4A44-B7EE-8A77F2F2531C,View.ashx?M=E2&ID=603967&GUID=DE67E5E0-BF2C-4A44-B7EE-8A77F2F2531C,View.ashx?M=E3&ID=603967&GUID=DE67E5E0-BF2C-4A44-B7EE-8A77F2F2531C,#
62,Council Infrastructure Committee,5/23/2018,,4:00 PM,Conference Room 2A,Meeting details,CIC Presentations 052318,Agenda,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35181&GUID=A7EAF64C-108C-4949-A884-DFB9102DCC36,,View.ashx?M=IC&ID=605738&GUID=A1B04FC4-9C72-4C37-BD6B-774BC511BEB6,,,MeetingDetail.aspx?ID=605738&GUID=A1B04FC4-9C72-4C37-BD6B-774BC511BEB6&Options=info&Search=,View.ashx?M=E1&ID=605738&GUID=A1B04FC4-9C72-4C37-BD6B-774BC511BEB6,View.ashx?M=A&ID=605738&GUID=A1B04FC4-9C72-4C37-BD6B-774BC511BEB6,,,,
63,City Council,5/22/2018,,7:00 PM,Council Chambers,Meeting details,Presentations,Agenda,Action Minutes,Documents Received After Published Agenda,Minutes of 05/22/18,Video,DepartmentDetail.aspx?ID=30850&GUID=ABB40C93-B4A0-406D-809B-03936402537F,,View.ashx?M=IC&ID=602598&GUID=1A1696E2-1A60-4440-91BF-F75E8FF6A8F9,,,MeetingDetail.aspx?ID=602598&GUID=1A1696E2-1A60-4440-91BF-F75E8FF6A8F9&Options=info&Search=,View.ashx?M=E1&ID=602598&GUID=1A1696E2-1A60-4440-91BF-F75E8FF6A8F9,View.ashx?M=A&ID=602598&GUID=1A1696E2-1A60-4440-91BF-F75E8FF6A8F9,View.ashx?M=M&ID=602598&GUID=1A1696E2-1A60-4440-91BF-F75E8FF6A8F9,View.ashx?M=E2&ID=602598&GUID=1A1696E2-1A60-4440-91BF-F75E8FF6A8F9,View.ashx?M=E3&ID=602598&GUID=1A1696E2-1A60-4440-91BF-F75E8FF6A8F9,#
64,City Council,5/22/2018,,4:30 PM,Conference Room 2B,Meeting details,Not available,Agenda,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30850&GUID=ABB40C93-B4A0-406D-809B-03936402537F,,View.ashx?M=IC&ID=607616&GUID=18E4F5F4-2E3D-4118-BC94-87FF9F4916A8,,,MeetingDetail.aspx?ID=607616&GUID=18E4F5F4-2E3D-4118-BC94-87FF9F4916A8&Options=info&Search=,,View.ashx?M=A&ID=607616&GUID=18E4F5F4-2E3D-4118-BC94-87FF9F4916A8,,,,
65,Library Commission,5/21/2018,,6:30 PM,Main Library Meeting Room,Meeting details,Not available,Agenda,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33057&GUID=133E297F-8B2C-4578-A626-492DA0286B8D,,View.ashx?M=IC&ID=591150&GUID=29B67BB3-451A-4EB5-9CB0-63A5367ED9FE,,,MeetingDetail.aspx?ID=591150&GUID=29B67BB3-451A-4EB5-9CB0-63A5367ED9FE&Options=info&Search=,,View.ashx?M=A&ID=591150&GUID=29B67BB3-451A-4EB5-9CB0-63A5367ED9FE,,,,
66,Hayward Youth Commission,5/21/2018,,6:30 PM,"Hayward City Hall, Room 2A",Meeting details,Not available,Agenda,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33056&GUID=D660942B-319D-4F74-B151-0D665E19B3C4,,View.ashx?M=IC&ID=607921&GUID=D9326FB8-C301-42B9-8B0E-3CCE764C4F3C,,,MeetingDetail.aspx?ID=607921&GUID=D9326FB8-C301-42B9-8B0E-3CCE764C4F3C&Options=info&Search=,,View.ashx?M=A&ID=607921&GUID=D9326FB8-C301-42B9-8B0E-3CCE764C4F3C,,,,
