,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Addendum Text,Agenda Text,Minutes Text,Video Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Addendum URL,Agenda URL,Minutes URL,Video URL,eComment URL
53,PARKS COMMISSION,2/19/2019,,4:00 PM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691911&GUID=6B1FB6FD-9AE9-4A2E-9F0F-0EAB785B8CC2,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691911&GUID=6B1FB6FD-9AE9-4A2E-9F0F-0EAB785B8CC2&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691911&GUID=6B1FB6FD-9AE9-4A2E-9F0F-0EAB785B8CC2,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691911&GUID=6B1FB6FD-9AE9-4A2E-9F0F-0EAB785B8CC2,https://sanmateocounty.legistar.com/#,
54,BOARD OF SUPERVISORS,2/12/2019,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691887&GUID=2FC17E47-E154-4575-8EA7-D406ED66A2E0,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691887&GUID=2FC17E47-E154-4575-8EA7-D406ED66A2E0&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691887&GUID=2FC17E47-E154-4575-8EA7-D406ED66A2E0,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691887&GUID=2FC17E47-E154-4575-8EA7-D406ED66A2E0,https://sanmateocounty.legistar.com/#,
55,BOARD OF SUPERVISORS,2/11/2019,,6:00 PM,Hall of JusticeSPECIAL MEETING OF THE BOARD OF SUPERVISORS,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691920&GUID=8BF52335-9766-4748-8926-A086B9E0153C,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691920&GUID=8BF52335-9766-4748-8926-A086B9E0153C&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691920&GUID=8BF52335-9766-4748-8926-A086B9E0153C,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691920&GUID=8BF52335-9766-4748-8926-A086B9E0153C,https://sanmateocounty.legistar.com/#,
56,BOARD OF SUPERVISORS,1/29/2019,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691886&GUID=2DE1600B-F8EB-4D7E-8157-AC0B1B384D45,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691886&GUID=2DE1600B-F8EB-4D7E-8157-AC0B1B384D45&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691886&GUID=2DE1600B-F8EB-4D7E-8157-AC0B1B384D45,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691886&GUID=2DE1600B-F8EB-4D7E-8157-AC0B1B384D45,https://sanmateocounty.legistar.com/#,
57,BOARD OF SUPERVISORS,1/15/2019,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691919&GUID=41686643-F42D-481A-BE41-398753C900EC,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691919&GUID=41686643-F42D-481A-BE41-398753C900EC&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691919&GUID=41686643-F42D-481A-BE41-398753C900EC,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691919&GUID=41686643-F42D-481A-BE41-398753C900EC,https://sanmateocounty.legistar.com/#,
58,BOARD OF SUPERVISORS,1/8/2019,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691885&GUID=47413FC6-8881-454E-95DA-E1F98153B9FC,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691885&GUID=47413FC6-8881-454E-95DA-E1F98153B9FC&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691885&GUID=47413FC6-8881-454E-95DA-E1F98153B9FC,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691885&GUID=47413FC6-8881-454E-95DA-E1F98153B9FC,https://sanmateocounty.legistar.com/#,
59,BOARD OF SUPERVISORS,12/18/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691913&GUID=302471F2-B4A6-4756-84ED-0D90BC39135C,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691913&GUID=302471F2-B4A6-4756-84ED-0D90BC39135C&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691913&GUID=302471F2-B4A6-4756-84ED-0D90BC39135C,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691913&GUID=302471F2-B4A6-4756-84ED-0D90BC39135C,https://sanmateocounty.legistar.com/#,
60,PLANNING COMMISSION,12/12/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691781&GUID=AC089788-0649-4E0D-979A-095B73F67BB1,,,,,,,,
61,BOARD OF SUPERVISORS,12/11/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691616&GUID=E3522369-584A-4D44-B88E-D202C72159D6,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691616&GUID=E3522369-584A-4D44-B88E-D202C72159D6&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691616&GUID=E3522369-584A-4D44-B88E-D202C72159D6,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691616&GUID=E3522369-584A-4D44-B88E-D202C72159D6,https://sanmateocounty.legistar.com/#,
62,PARKS COMMISSION,12/6/2018,,4:00 PM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691912&GUID=D748A71E-921E-4835-8B63-A1A3D2E16AC1,,,,,,,,
63,BOARD OF SUPERVISORS,12/4/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691615&GUID=75E608A8-9CEE-4379-B874-843B46899F37,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691615&GUID=75E608A8-9CEE-4379-B874-843B46899F37&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691615&GUID=75E608A8-9CEE-4379-B874-843B46899F37,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691615&GUID=75E608A8-9CEE-4379-B874-843B46899F37,https://sanmateocounty.legistar.com/#,
64,PLANNING COMMISSION,11/28/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691780&GUID=32526337-73F5-4BA3-A175-EEA0D315A428,,,,,,,,
65,PLANNING COMMISSION,11/14/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691779&GUID=1D67A1FC-BEBD-49DF-AB9C-DCB8F2151896,,,,,,,,
66,BOARD OF SUPERVISORS,11/13/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691614&GUID=33DB723B-6766-4682-847C-2868DCC305D4,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691614&GUID=33DB723B-6766-4682-847C-2868DCC305D4&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691614&GUID=33DB723B-6766-4682-847C-2868DCC305D4,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691614&GUID=33DB723B-6766-4682-847C-2868DCC305D4,https://sanmateocounty.legistar.com/#,
67,BOARD OF SUPERVISORS,11/6/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691613&GUID=67C51D66-F27D-407B-ABA8-7120CE2B71BA,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691613&GUID=67C51D66-F27D-407B-ABA8-7120CE2B71BA&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691613&GUID=67C51D66-F27D-407B-ABA8-7120CE2B71BA,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691613&GUID=67C51D66-F27D-407B-ABA8-7120CE2B71BA,https://sanmateocounty.legistar.com/#,
68,BOARD OF SUPERVISORS,10/24/2018,,6:45 PM,"UA Local 467 Plumbers & Steamfitters Hall - 
1519 Rollins Rd., BurlingameSPECIAL MEETING OF THE BOARD OF SUPERVISORS",Meeting details,Not applicable,Agenda,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691906&GUID=A6F99471-0083-4484-9526-9C2FE4E2EFA5,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691906&GUID=A6F99471-0083-4484-9526-9C2FE4E2EFA5&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691906&GUID=A6F99471-0083-4484-9526-9C2FE4E2EFA5,,,
69,PLANNING COMMISSION,10/24/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691777&GUID=2358434B-1D8E-4EC2-AF9C-267BE3217754,,,,,,,,
70,BOARD OF SUPERVISORS,10/23/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691612&GUID=EC649141-1EDF-4F12-A8E3-8EEADA3B346A,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691612&GUID=EC649141-1EDF-4F12-A8E3-8EEADA3B346A&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691612&GUID=EC649141-1EDF-4F12-A8E3-8EEADA3B346A,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691612&GUID=EC649141-1EDF-4F12-A8E3-8EEADA3B346A,https://sanmateocounty.legistar.com/#,
71,PLANNING COMMISSION,10/10/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691778&GUID=DEDBB19F-B74C-4B7F-AD8C-6B4B27CDAC2E,,,,,,,,
72,BOARD OF SUPERVISORS,10/2/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691611&GUID=7876C810-B8F6-4D17-99E1-4EDE61CD6BD4,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691611&GUID=7876C810-B8F6-4D17-99E1-4EDE61CD6BD4&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691611&GUID=7876C810-B8F6-4D17-99E1-4EDE61CD6BD4,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691611&GUID=7876C810-B8F6-4D17-99E1-4EDE61CD6BD4,https://sanmateocounty.legistar.com/#,
73,PLANNING COMMISSION,9/26/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691776&GUID=0609C610-3A3A-4574-9936-29DF01AD5AD3,,,,,,,,
74,BOARD OF SUPERVISORS,9/25/2018,,9:00 AM,Hall of JusticeAdoption of Budget,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691617&GUID=18E76C34-CBCC-4D4E-9B39-86D21E9F96BA,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691617&GUID=18E76C34-CBCC-4D4E-9B39-86D21E9F96BA&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691617&GUID=18E76C34-CBCC-4D4E-9B39-86D21E9F96BA,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691617&GUID=18E76C34-CBCC-4D4E-9B39-86D21E9F96BA,https://sanmateocounty.legistar.com/#,
75,PLANNING COMMISSION,9/12/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691775&GUID=6C62097A-AA82-4DAB-AD18-1CD4B583179E,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691775&GUID=6C62097A-AA82-4DAB-AD18-1CD4B583179E&Options=info&Search=,,,,,
76,BOARD OF SUPERVISORS,9/4/2018,,9:00 AM,Hall of Justice,Meeting details,Addendum,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691610&GUID=6D90D72F-29C4-4431-B5F1-EEDE50E689F9,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691610&GUID=6D90D72F-29C4-4431-B5F1-EEDE50E689F9&Options=info&Search=,https://sanmateocounty.legistar.com/View.ashx?M=E1&ID=691610&GUID=6D90D72F-29C4-4431-B5F1-EEDE50E689F9,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691610&GUID=6D90D72F-29C4-4431-B5F1-EEDE50E689F9,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691610&GUID=6D90D72F-29C4-4431-B5F1-EEDE50E689F9,https://sanmateocounty.legistar.com/#,
77,PLANNING COMMISSION,8/8/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691774&GUID=16DF9D2A-7DF9-4D35-9AD0-7D17466762F5,,,,,,,,
78,BOARD OF SUPERVISORS,8/7/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Agenda,Minutes,Video,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691609&GUID=CE27161D-C207-4FC4-977A-44CD552C0F3B,,,https://sanmateocounty.legistar.com/MeetingDetail.aspx?ID=691609&GUID=CE27161D-C207-4FC4-977A-44CD552C0F3B&Options=info&Search=,,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691609&GUID=CE27161D-C207-4FC4-977A-44CD552C0F3B,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691609&GUID=CE27161D-C207-4FC4-977A-44CD552C0F3B,https://sanmateocounty.legistar.com/#,
79,PLANNING COMMISSION,7/25/2018,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=691773&GUID=766F2C02-A321-4076-AE43-CEE12011C738,,,,,,,,
