,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL,eComment URL
0,City Council,6/30/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712199&GUID=7F31E9C2-FB4C-4A4F-8F66-5EC16986A294,,,,,,,
1,City Council,6/23/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712198&GUID=09EDE554-8946-4AAB-BCE5-8434705EC5E0,,,,,,,
2,Community & Economic Development Committee (CED),6/22/2020,,1:30 PM,Wing Rooms W118 - W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21680&GUID=37CAF97D-86D4-4A85-8E07-BF7EA67F55CD,,View.ashx?M=IC&ID=712293&GUID=5C09AE12-A14D-4066-A1C1-E0CB51CC5EE6,,,,,,,
3,"Public Safety, Finance and Strategic Support Committee (PSFSS)",6/18/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30890&GUID=AD2BBF1D-A701-4CDE-B9FC-851732F4751B,,View.ashx?M=IC&ID=712288&GUID=AAD9F928-4A42-459C-AEAB-5015ABB10835,,,,,,,
4,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,6/17/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712225&GUID=34A5228B-93D2-4579-B2F9-6BAECC106F59,,,,,,,
5,City Council,6/16/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712197&GUID=7E95C0BF-5B35-4E18-9ACA-9308FBEF2A85,,,,,,,
6,Neighborhood Services and Education Committee (NSE),6/11/2020,,1:30 PM,Wing Rooms 118-120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21678&GUID=9BE13212-2A5F-4E35-9334-75E444952FA6,,View.ashx?M=IC&ID=712277&GUID=34333CA2-59F1-4D93-B77C-88C25E308D67,,,,,,,
7,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,6/10/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712224&GUID=59D805A3-07AA-431A-96AC-8B524551CA37,,,,,,,
8,City Council,6/9/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712193&GUID=A380D63E-71F6-4C41-BEB4-D7272C96A0AE,,,,,,,
9,Smart Cities and Service Improvements Committee,6/4/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30888&GUID=A22EB8DC-1A6B-4E86-AFA5-0A8150476A33,,View.ashx?M=IC&ID=712271&GUID=D0CB9815-5CF4-44D3-AB75-220896D4F336,,,,,,,
10,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,6/3/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712223&GUID=6929D35C-C1FA-4ED0-80E5-76C7EE76D91C,,,,,,,
11,City Council,6/2/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712192&GUID=4FDABC09-D005-4E7C-9A77-5DCDC5496DC0,,,,,,,
12,Transportation and Environment Committee (T&E),6/1/2020,,1:30 PM,Wing W118-120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33885&GUID=B8D373E4-359D-470B-962C-BFAA26D7ED6E,,View.ashx?M=IC&ID=712234&GUID=39693849-CA53-4FCE-99A6-3606A0783267,,,,,,,
13,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,5/27/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712222&GUID=2F32B70E-7A8E-4787-A1B7-3DE9CFB734DC,,,,,,,
14,City Council,5/26/2020,,1:30 PM,Council ChambersCANCELLED,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712191&GUID=6DD84106-F194-4543-A38A-BB441FF2D8D2,,,,,,,
15,"Public Safety, Finance and Strategic Support Committee (PSFSS)",5/21/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30890&GUID=AD2BBF1D-A701-4CDE-B9FC-851732F4751B,,View.ashx?M=IC&ID=712286&GUID=D2E4A073-AF9F-49AF-BB62-A279148C50D5,,,,,,,
16,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,5/20/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712221&GUID=8D90755B-A2FD-40D0-84E7-E278B3754169,,,,,,,
17,City Council,5/19/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712190&GUID=01C3734E-445E-435C-89DB-F5181B6920D6,,,,,,,
18,Neighborhood Services and Education Committee (NSE),5/14/2020,,1:30 PM,Wing Rooms 118-120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21678&GUID=9BE13212-2A5F-4E35-9334-75E444952FA6,,View.ashx?M=IC&ID=712276&GUID=55B07141-7CE5-4871-A266-16A9A08A367E,,,,,,,
19,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,5/13/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712220&GUID=8D333B81-A697-4E2B-90F0-7E9ABE8141E1,,,,,,,
20,City Council,5/12/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712189&GUID=ADB94C33-2569-40CA-BC57-DD9028D7A5FF,,,,,,,
21,Smart Cities and Service Improvements Committee,5/7/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30888&GUID=A22EB8DC-1A6B-4E86-AFA5-0A8150476A33,,View.ashx?M=IC&ID=712270&GUID=386CE2F0-2FCF-44FD-B9AC-5AA2AC48551C,,,,,,,
22,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,5/6/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712219&GUID=1BAA2CB7-2C7F-4E35-92C6-9531D564B3AA,,,,,,,
23,City Council,5/5/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712188&GUID=7F5DE1AF-FCB3-4E84-8143-7E84A92EA6DF,,,,,,,
24,Transportation and Environment Committee (T&E),5/4/2020,,1:30 PM,Wing W118-120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33885&GUID=B8D373E4-359D-470B-962C-BFAA26D7ED6E,,View.ashx?M=IC&ID=712240&GUID=C8C20E17-8D71-4B89-BCD3-CC0B59341E8D,,,,,,,
25,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,4/29/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712218&GUID=01709F7F-D877-4496-A449-205C27418434,,,,,,,
26,City Council,4/28/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712187&GUID=204B841D-89CB-4EE1-B3EA-50892E8ED84E,,,,,,,
27,Community & Economic Development Committee (CED),4/27/2020,,1:30 PM,Wing Rooms W118 - W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21680&GUID=37CAF97D-86D4-4A85-8E07-BF7EA67F55CD,,View.ashx?M=IC&ID=712292&GUID=1EF270E1-A5D9-40C2-B6C6-5C5A96E7CAEF,,,,,,,
28,City Council,4/24/2020,,1:30 PM,Council ChambersStudy Session: TBD,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=714764&GUID=572C7055-7F64-4361-8594-2BC4C630DDB4,,,,,,,
29,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,4/22/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712217&GUID=22537714-FD4E-4E45-99FC-360D12596175,,,,,,,
30,City Council,4/21/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712186&GUID=8C8D57C8-778C-4E76-8D0F-203C389DAD3E,,,,,,,
31,"Public Safety, Finance and Strategic Support Committee (PSFSS)",4/16/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30890&GUID=AD2BBF1D-A701-4CDE-B9FC-851732F4751B,,View.ashx?M=IC&ID=712285&GUID=5A307332-01CA-47CB-84FA-3919DFAFDB8A,,,,,,,
32,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,4/15/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712216&GUID=E72A26E0-1704-4F13-AACB-8C5849122AB9,,,,,,,
33,City Council,4/14/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712185&GUID=8D2C4F49-7A37-4555-9460-5BBF8EF9AF9D,,,,,,,
34,City Council,4/13/2020,,1:30 PM,Council ChambersStudy Session: TBD,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=714763&GUID=242714BE-E699-4E3F-BB26-B802C3B7968E,,,,,,,
35,Neighborhood Services and Education Committee (NSE),4/9/2020,,1:30 PM,Wing Rooms 118-120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21678&GUID=9BE13212-2A5F-4E35-9334-75E444952FA6,,View.ashx?M=IC&ID=712275&GUID=FF2B4CB5-9B10-40E9-8909-1BDDAF965F4A,,,,,,,
36,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,4/8/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712215&GUID=90D8BBF2-9908-4D8B-8FF9-10DD21DD51B7,,,,,,,
37,City Council,4/7/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712184&GUID=ABCAE690-F32E-4E9C-8400-8B4420BEEC6A,,,,,,,
38,Transportation and Environment Committee (T&E),4/6/2020,,1:30 PM,Wing W118-120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33885&GUID=B8D373E4-359D-470B-962C-BFAA26D7ED6E,,View.ashx?M=IC&ID=712233&GUID=4875E714-49A9-4DE6-8C33-BA37F963FF11,,,,,,,
39,Smart Cities and Service Improvements Committee,4/2/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30888&GUID=A22EB8DC-1A6B-4E86-AFA5-0A8150476A33,,View.ashx?M=IC&ID=712264&GUID=9F10A3DA-1E47-47E0-A396-1CF4B306F7C8,,,,,,,
40,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,4/1/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712213&GUID=C608A7DA-7866-45F3-BCEA-47FD054E5ED8,,,,,,,
41,City Council,3/31/2020,,1:30 PM,Council ChambersCANCELLED,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712183&GUID=35B6A66A-6511-41C4-9D9C-F262A4E30016,,,,,,,
42,City Council,3/26/2020,,1:30 PM,Council ChambersStudy Session: TBD,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=714762&GUID=831F2B2A-3D27-4E5F-ABA0-582F4BF0463E,,,,,,,
43,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,3/25/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712212&GUID=83350073-6499-47C0-A737-FCB3B6E0AE6F,,,,,,,
44,City Council,3/24/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712182&GUID=647A3199-D86C-4BAE-A78E-43ED41C1DD13,,,,,,,
45,Community & Economic Development Committee (CED),3/23/2020,,1:30 PM,Wing Rooms W118 - W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21680&GUID=37CAF97D-86D4-4A85-8E07-BF7EA67F55CD,,View.ashx?M=IC&ID=712291&GUID=D7C732A3-E81C-4D27-8A7D-2D2E7B2AEDC4,,,,,,,
46,"Public Safety, Finance and Strategic Support Committee (PSFSS)",3/19/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30890&GUID=AD2BBF1D-A701-4CDE-B9FC-851732F4751B,,View.ashx?M=IC&ID=712284&GUID=5B9A57F4-E04E-4238-930B-7F82F3F39B32,,,,,,,
47,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,3/18/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712209&GUID=9C1212AB-5DD3-4C2F-98B0-6485FFCC1E8B,,,,,,,
48,City Council,3/17/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712181&GUID=A57FEA98-58E8-407D-9239-4833D85C4564,,,,,,,
49,City Council,3/16/2020,,1:30 PM,Council ChambersStudy Session: TBD,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=714761&GUID=1F887495-217B-49E1-9B4C-A45709530E46,,,,,,,
50,Neighborhood Services and Education Committee (NSE),3/12/2020,,1:30 PM,Wing Rooms 118-120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21678&GUID=9BE13212-2A5F-4E35-9334-75E444952FA6,,View.ashx?M=IC&ID=712274&GUID=1900F570-7391-4C1E-9424-59793D17ED9A,,,,,,,
51,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,3/11/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712211&GUID=41A30D2F-6E68-4A67-8987-EBC972F92EF1,,,,,,,
52,City Council,3/10/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712180&GUID=1FE1626A-FE58-4574-A565-F4C543558F3C,,,,,,,
53,Smart Cities and Service Improvements Committee,3/5/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30888&GUID=A22EB8DC-1A6B-4E86-AFA5-0A8150476A33,,View.ashx?M=IC&ID=712263&GUID=66A87921-E062-44C1-811F-C8D1F46A552E,,,,,,,
54,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,3/4/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712210&GUID=D2DFBB51-8BB9-4759-95B6-CCACCDEF4CA8,,,,,,,
55,City Council,3/3/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712177&GUID=9FB80970-5F34-4A02-8707-83949E9A16BB,,,,,,,
56,Transportation and Environment Committee (T&E),3/2/2020,,1:30 PM,Wing W118-120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33885&GUID=B8D373E4-359D-470B-962C-BFAA26D7ED6E,,View.ashx?M=IC&ID=712232&GUID=89D34011-6AF5-4E26-B7D8-F2529F4E108B,,,,,,,
57,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2/26/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712207&GUID=B5290A05-1D72-4BDB-BF73-E13368377B07,,,,,,,
58,City Council,2/25/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712179&GUID=8FD63DBD-F604-4423-866D-C795CCB1F116,,,,,,,
59,Community & Economic Development Committee (CED),2/24/2020,,1:30 PM,Wing Rooms W118 - W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21680&GUID=37CAF97D-86D4-4A85-8E07-BF7EA67F55CD,,View.ashx?M=IC&ID=712290&GUID=8F65E9AE-8BD7-4F9D-9D50-ACDAE6625D55,,,,,,,
60,"Public Safety, Finance and Strategic Support Committee (PSFSS)",2/20/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30890&GUID=AD2BBF1D-A701-4CDE-B9FC-851732F4751B,,View.ashx?M=IC&ID=712283&GUID=27E8817F-2816-4C1A-813D-718CEF4B37A7,,,,,,,
61,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2/19/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712206&GUID=6EF70F3E-81DA-48EA-90D3-E6BB8FC1F814,,,,,,,
62,City Council,2/18/2020,,1:30 PM,Council ChambersCANCELLED,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712178&GUID=BE404B0B-9054-42A4-B792-4076022E3348,,,,,,,
63,Neighborhood Services and Education Committee (NSE),2/13/2020,,1:30 PM,Wing Rooms 118-120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21678&GUID=9BE13212-2A5F-4E35-9334-75E444952FA6,,View.ashx?M=IC&ID=712273&GUID=BA655072-0D1F-4486-8339-B59BF745B57B,,,,,,,
64,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2/12/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712205&GUID=80C57042-8D9E-499C-8B5A-EF7670545F88,,,,,,,
65,City Council,2/11/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712176&GUID=94FDE85A-48DB-4DBB-B474-028211F6D7F2,,,,,,,
66,City Council,2/10/2020,,1:30 PM,Council ChambersStudy Session: TBD,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=714760&GUID=27DC95E1-0F13-4691-BCD5-7E85B3E0F574,,,,,,,
67,Smart Cities and Service Improvements Committee,2/6/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30888&GUID=A22EB8DC-1A6B-4E86-AFA5-0A8150476A33,,View.ashx?M=IC&ID=712262&GUID=80C68653-0E1B-4F79-AC09-9467F3536121,,,,,,,
68,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2/5/2020,,2:00 PM,Wing Rooms W180-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712204&GUID=D4197C58-A31B-42DB-870E-7C34CCBBCBE4,,,,,,,
69,City Council,2/4/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712175&GUID=42B7D295-2384-4896-AA46-B400D3F914C6,,,,,,,
70,Transportation and Environment Committee (T&E),2/3/2020,,1:30 PM,Wing W118-120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33885&GUID=B8D373E4-359D-470B-962C-BFAA26D7ED6E,,View.ashx?M=IC&ID=712231&GUID=4540E8CF-8FB6-48A3-B8D2-1A0DF79D813A,,,,,,,
71,City Council,1/30/2020,,1:30 PM,Council ChambersStudy Session: TBD,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=714759&GUID=D5A0B42F-3701-4458-BD78-F33166FCDDC9,,,,,,,
72,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,1/29/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712203&GUID=50A69A38-3BDC-47F2-94E5-9519B04351BA,,,,,,,
73,City Council,1/28/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712156&GUID=8F3A7A65-28A4-49DE-954C-7B6F49F70D74,,,,,,,
74,Community & Economic Development Committee (CED),1/27/2020,,1:30 PM,Wing Rooms W118 - W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21680&GUID=37CAF97D-86D4-4A85-8E07-BF7EA67F55CD,,View.ashx?M=IC&ID=712289&GUID=1C74EFB5-1072-4CE4-96AF-85AA619823B8,,,,,,,
75,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,1/22/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712202&GUID=764C8DD2-0C86-4B94-86FA-03131336D9DC,,,,,,,
76,City Council,1/21/2020,,1:30 PM,Council ChambersCANCELLED,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712155&GUID=7BC2BFFE-EA05-40FD-B514-8D855925BA14,,,,,,,
77,"Public Safety, Finance and Strategic Support Committee (PSFSS)",1/16/2020,,1:30 PM,Council ChambersCANCELLED,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30890&GUID=AD2BBF1D-A701-4CDE-B9FC-851732F4751B,,View.ashx?M=IC&ID=712282&GUID=1F172429-179F-439F-9C78-73828753D233,,,,,,,
78,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,1/15/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712201&GUID=FB9D2E44-642F-4E12-9E94-D364173B2809,,,,,,,
