,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL,eComment URL
0,Neighborhood Services and Education Committee (NSE),2/14/2019,,1:30 PM,Wing Rooms 118-120,Meeting details,Agenda,Not available,Video,Not available,DepartmentDetail.aspx?ID=21678&GUID=9BE13212-2A5F-4E35-9334-75E444952FA6,,View.ashx?M=IC&ID=669952&GUID=87E10903-CB29-4A60-87CD-52BC960F0638,,,MeetingDetail.aspx?ID=669952&GUID=87E10903-CB29-4A60-87CD-52BC960F0638&Options=info&Search=,View.ashx?M=A&ID=669952&GUID=87E10903-CB29-4A60-87CD-52BC960F0638,,#,
1,Senior Citizens Commission,2/14/2019,,1:00 PM,"City Hall, Room Tower 1254",Meeting details,Agenda Sr. Comm,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33277&GUID=B30A8CA2-90B9-46BD-9A51-2614ACA16808,,View.ashx?M=IC&ID=678474&GUID=90E14652-991A-485D-B1FB-57316F8444B2,,,MeetingDetail.aspx?ID=678474&GUID=90E14652-991A-485D-B1FB-57316F8444B2&Options=info&Search=,View.ashx?M=A&ID=678474&GUID=90E14652-991A-485D-B1FB-57316F8444B2,,,
2,Neighborhood Services and Education Committee (NSE),2/14/2019,,,Wing Rooms 118-120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21678&GUID=9BE13212-2A5F-4E35-9334-75E444952FA6,,View.ashx?M=IC&ID=680202&GUID=88D9AE5C-8D70-4116-8B6B-96D8DBC09017,,,,,,,
3,Neighborhoods Commission,2/13/2019,,6:30 PM,"City Hall, Tower Room 1734",Meeting details,Agenda_NC,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33274&GUID=462819F6-C95F-4E35-82DD-6BBDE50AB235,,View.ashx?M=IC&ID=671230&GUID=8DCDAD6A-7B3D-4641-A41A-86B92B864D90,,,MeetingDetail.aspx?ID=671230&GUID=8DCDAD6A-7B3D-4641-A41A-86B92B864D90&Options=info&Search=,View.ashx?M=A&ID=671230&GUID=8DCDAD6A-7B3D-4641-A41A-86B92B864D90,,,
4,Planning Commission,2/13/2019,,6:30 PM,Council Chambers,Meeting details,Agenda_Planning,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33276&GUID=2F0818DD-0F86-4796-9F63-6068DB0D5060,,View.ashx?M=IC&ID=678719&GUID=B4ACDAF4-2830-402D-AF4E-248457F6013C,,,MeetingDetail.aspx?ID=678719&GUID=B4ACDAF4-2830-402D-AF4E-248457F6013C&Options=info&Search=,View.ashx?M=A&ID=678719&GUID=B4ACDAF4-2830-402D-AF4E-248457F6013C,,,
5,Board of Fair Campaign and Political Practices (BFCPP),2/13/2019,,5:30 PM,"City Hall, Tower 1446",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33269&GUID=B63BC346-AA5A-4388-B5AA-9E2E3C538196,,View.ashx?M=IC&ID=670591&GUID=F2C87308-1AAB-4316-A7FA-645884141677,,,MeetingDetail.aspx?ID=670591&GUID=F2C87308-1AAB-4316-A7FA-645884141677&Options=info&Search=,View.ashx?M=A&ID=670591&GUID=F2C87308-1AAB-4316-A7FA-645884141677,,,
6,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2/13/2019,,2:00 PM,Wing W118-120,Meeting details,Agenda,Minutes,Video,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=661135&GUID=48901E08-A8F1-4535-9721-8111E824CAA3,,,MeetingDetail.aspx?ID=661135&GUID=48901E08-A8F1-4535-9721-8111E824CAA3&Options=info&Search=,View.ashx?M=A&ID=661135&GUID=48901E08-A8F1-4535-9721-8111E824CAA3,View.ashx?M=M&ID=661135&GUID=48901E08-A8F1-4535-9721-8111E824CAA3,#,
7,Miscellaneous Agendas,2/13/2019,,12:00 PM,"City Hall, Tower Room 1854Mayor's Gang Prevention Task Force",Meeting details,Agenda_MGPTF,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39462&GUID=40D14E69-5689-4CC3-BC16-0F4AC2C1398E,,View.ashx?M=IC&ID=678833&GUID=8F36D55D-1C87-4856-9F83-32A0366CD9F7,,,MeetingDetail.aspx?ID=678833&GUID=8F36D55D-1C87-4856-9F83-32A0366CD9F7&Options=info&Search=,View.ashx?M=A&ID=678833&GUID=8F36D55D-1C87-4856-9F83-32A0366CD9F7,,,
8,Planning Director's Hearing,2/13/2019,,9:00 AM,Council Chambers,Meeting details,Agenda_PDH,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39455&GUID=68BBDB32-CD8D-4DD1-B2D4-029E1D4BE44E,,View.ashx?M=IC&ID=678718&GUID=FB500B9D-BE53-4400-9279-8E62189818C6,,,MeetingDetail.aspx?ID=678718&GUID=FB500B9D-BE53-4400-9279-8E62189818C6&Options=info&Search=,View.ashx?M=A&ID=678718&GUID=FB500B9D-BE53-4400-9279-8E62189818C6,,,
9,City Council,2/12/2019,,1:30 PM,Council Chambers,Meeting details,Agenda,Synopsis,Video,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=661113&GUID=BCA58A5C-AD66-493B-8571-512151B67337,,,MeetingDetail.aspx?ID=661113&GUID=BCA58A5C-AD66-493B-8571-512151B67337&Options=info&Search=,View.ashx?M=A&ID=661113&GUID=BCA58A5C-AD66-493B-8571-512151B67337,View.ashx?M=M&ID=661113&GUID=BCA58A5C-AD66-493B-8571-512151B67337,#,
