,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL
63,City Council,5/6/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25800&GUID=49A65B48-716C-4766-B973-6F7546F8B699,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=686042&GUID=6C60F217-AAA6-4050-8CDF-7FEA79AAA4DB,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=686042&GUID=6C60F217-AAA6-4050-8CDF-7FEA79AAA4DB&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=686042&GUID=6C60F217-AAA6-4050-8CDF-7FEA79AAA4DB,,
64,Beautification Commission,5/2/2019,,6:30 PM,"Burlingame Recreation Center
850 Burlingame Avenue",Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=33876&GUID=8EFCFD08-61C7-4F55-8787-BE98B708F0C8,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=686319&GUID=CEC55FB8-5959-425F-8816-F3C1269FD31C,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=686319&GUID=CEC55FB8-5959-425F-8816-F3C1269FD31C&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=686319&GUID=CEC55FB8-5959-425F-8816-F3C1269FD31C,,
65,City Council,4/27/2019,,9:00 AM,"Lane Community Room
Burlingame Public Library
480 Primrose Road",Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25800&GUID=49A65B48-716C-4766-B973-6F7546F8B699,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=690789&GUID=D15131AA-BCCE-4ED7-8097-24E0F8C48CA3,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=690789&GUID=D15131AA-BCCE-4ED7-8097-24E0F8C48CA3&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=690789&GUID=D15131AA-BCCE-4ED7-8097-24E0F8C48CA3,,
66,Planning Commission,4/22/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25809&GUID=061CE0CE-879F-4903-87D4-FBB8821B1251,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=673614&GUID=9193B173-0F74-4917-8B08-8098CC82FEC2,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=673614&GUID=9193B173-0F74-4917-8B08-8098CC82FEC2&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=673614&GUID=9193B173-0F74-4917-8B08-8098CC82FEC2,,
67,Parks & Recreation Commission,4/18/2019,,7:00 PM,"Burlingame Recreation Center
850 Burlingame Avenue",Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=33940&GUID=F11D9A43-A7AF-442E-A938-12473211F0BB,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=682102&GUID=0AC8C41E-1B3C-42F0-9464-D704423945FB,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=682102&GUID=0AC8C41E-1B3C-42F0-9464-D704423945FB&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=682102&GUID=0AC8C41E-1B3C-42F0-9464-D704423945FB,,
68,Library Board of Trustees,4/16/2019,,5:30 PM,Library Conference Room,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=33393&GUID=C5438CE0-E7BD-43D9-9B45-D319A614CBB7,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=689886&GUID=26A1489B-42AC-4F75-B431-05BC0875C1E1,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=689886&GUID=26A1489B-42AC-4F75-B431-05BC0875C1E1&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=689886&GUID=26A1489B-42AC-4F75-B431-05BC0875C1E1,,
69,City Council,4/15/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25800&GUID=49A65B48-716C-4766-B973-6F7546F8B699,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=686041&GUID=18FDC6A5-1908-4C6C-B3FE-B78F49628260,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=686041&GUID=18FDC6A5-1908-4C6C-B3FE-B78F49628260&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=686041&GUID=18FDC6A5-1908-4C6C-B3FE-B78F49628260,,
70,Traffic Safety and Parking Commission,4/11/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25801&GUID=FAA85BB1-EA00-470F-A86F-B0647CF14D7E,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=679000&GUID=E3B362C4-01E2-44DD-B77A-2BFBE00CE659,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=679000&GUID=E3B362C4-01E2-44DD-B77A-2BFBE00CE659&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=679000&GUID=E3B362C4-01E2-44DD-B77A-2BFBE00CE659,,
71,Planning Commission,4/8/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25809&GUID=061CE0CE-879F-4903-87D4-FBB8821B1251,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=673582&GUID=D872A8C9-1C00-4873-8121-3D5E68DBAD05,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=673582&GUID=D872A8C9-1C00-4873-8121-3D5E68DBAD05&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=673582&GUID=D872A8C9-1C00-4873-8121-3D5E68DBAD05,,
72,Beautification Commission,4/4/2019,,6:30 PM,"Burlingame Recreation Center
850 Burlingame Avenue",Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=33876&GUID=8EFCFD08-61C7-4F55-8787-BE98B708F0C8,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=686318&GUID=425BECCE-B879-4A10-99E9-A769DFB44497,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=686318&GUID=425BECCE-B879-4A10-99E9-A769DFB44497&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=686318&GUID=425BECCE-B879-4A10-99E9-A769DFB44497,,
73,City Council,4/1/2019,,6:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25800&GUID=49A65B48-716C-4766-B973-6F7546F8B699,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=678857&GUID=3059E485-F7D4-496F-B5D1-1B809883CB41,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=678857&GUID=3059E485-F7D4-496F-B5D1-1B809883CB41&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=678857&GUID=3059E485-F7D4-496F-B5D1-1B809883CB41,,
74,Planning Commission,3/25/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25809&GUID=061CE0CE-879F-4903-87D4-FBB8821B1251,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=673579&GUID=BBAEA22E-88CF-4B64-BC8F-F2864505F879,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=673579&GUID=BBAEA22E-88CF-4B64-BC8F-F2864505F879&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=673579&GUID=BBAEA22E-88CF-4B64-BC8F-F2864505F879,,
75,Parks & Recreation Commission,3/21/2019,,7:00 PM,"Burlingame Recreation Center
850 Burlingame Avenue",Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=33940&GUID=F11D9A43-A7AF-442E-A938-12473211F0BB,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=684701&GUID=387F2E36-FAAE-4638-8F61-57549589CA3E,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=684701&GUID=387F2E36-FAAE-4638-8F61-57549589CA3E&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=684701&GUID=387F2E36-FAAE-4638-8F61-57549589CA3E,,
76,Library Board of Trustees,3/19/2019,,5:30 PM,Library Conference Room,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=33393&GUID=C5438CE0-E7BD-43D9-9B45-D319A614CBB7,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=685120&GUID=A091C66E-D432-419B-B8AF-AAFF6CB6FF52,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=685120&GUID=A091C66E-D432-419B-B8AF-AAFF6CB6FF52&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=685120&GUID=A091C66E-D432-419B-B8AF-AAFF6CB6FF52,,
77,City Council,3/18/2019,,6:15 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25800&GUID=49A65B48-716C-4766-B973-6F7546F8B699,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=678854&GUID=8A54E7E6-D3ED-458A-BF7B-340D01001B5A,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=678854&GUID=8A54E7E6-D3ED-458A-BF7B-340D01001B5A&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=678854&GUID=8A54E7E6-D3ED-458A-BF7B-340D01001B5A,,
78,City Council,3/15/2019,,6:00 PM,Saltyard 322 Lorton Avenue,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25800&GUID=49A65B48-716C-4766-B973-6F7546F8B699,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=682650&GUID=0978F5DA-590D-42F8-89BD-A88A8FB985B2,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=682650&GUID=0978F5DA-590D-42F8-89BD-A88A8FB985B2&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=682650&GUID=0978F5DA-590D-42F8-89BD-A88A8FB985B2,,
79,Traffic Safety and Parking Commission,3/14/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25801&GUID=FAA85BB1-EA00-470F-A86F-B0647CF14D7E,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=678999&GUID=7FD4F36A-39E4-41A5-AADB-AF67B2A33386,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=678999&GUID=7FD4F36A-39E4-41A5-AADB-AF67B2A33386&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=678999&GUID=7FD4F36A-39E4-41A5-AADB-AF67B2A33386,,
80,City Council,3/13/2019,,6:30 PM,Council Chambers2018-2019 Mid-Year Budget Study Session,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25800&GUID=49A65B48-716C-4766-B973-6F7546F8B699,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=681756&GUID=A5F4EEF7-8787-4ACC-92EC-2E0834BE4C03,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=681756&GUID=A5F4EEF7-8787-4ACC-92EC-2E0834BE4C03&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=681756&GUID=A5F4EEF7-8787-4ACC-92EC-2E0834BE4C03,,
81,City Council,3/12/2019,,6:30 PM,Conference Room A,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25800&GUID=49A65B48-716C-4766-B973-6F7546F8B699,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=682644&GUID=8F6E2007-96B2-4F27-9727-B503339E8BA9,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=682644&GUID=8F6E2007-96B2-4F27-9727-B503339E8BA9&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=682644&GUID=8F6E2007-96B2-4F27-9727-B503339E8BA9,,
82,Planning Commission,3/11/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25809&GUID=061CE0CE-879F-4903-87D4-FBB8821B1251,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=673577&GUID=AE55DE11-9349-4A03-AD97-BA2D79AEF25D,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=673577&GUID=AE55DE11-9349-4A03-AD97-BA2D79AEF25D&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=673577&GUID=AE55DE11-9349-4A03-AD97-BA2D79AEF25D,,
83,Beautification Commission,3/7/2019,,6:30 PM,"Burlingame Recreation Center
850 Burlingame Avenue",Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=33876&GUID=8EFCFD08-61C7-4F55-8787-BE98B708F0C8,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=681719&GUID=E496FBFC-5FD1-4268-ABBF-0B1C0B78A6D4,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=681719&GUID=E496FBFC-5FD1-4268-ABBF-0B1C0B78A6D4&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=681719&GUID=E496FBFC-5FD1-4268-ABBF-0B1C0B78A6D4,,
84,City Council,3/4/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25800&GUID=49A65B48-716C-4766-B973-6F7546F8B699,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=678853&GUID=57441507-DEBE-48BB-999D-52AC3EA660E0,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=678853&GUID=57441507-DEBE-48BB-999D-52AC3EA660E0&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=678853&GUID=57441507-DEBE-48BB-999D-52AC3EA660E0,,
