,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Agenda Packet Text,Video or Audio Text,Caption Notes Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Agenda Packet URL,Video or Audio URL,Caption Notes URL,eComment URL
58,Senior Advisory Commission,6/24/2019,,10:00 AM,"Senior Center 
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Agenda,Minutes,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=36906&GUID=D6A40F99-A066-4309-858C-5B6E6EF4C6EE,,View.ashx?M=IC&ID=688535&GUID=C2DE2B86-D42D-4080-A352-BF40DED41E3B,,,MeetingDetail.aspx?ID=688535&GUID=C2DE2B86-D42D-4080-A352-BF40DED41E3B&Options=info&Search=,View.ashx?M=A&ID=688535&GUID=C2DE2B86-D42D-4080-A352-BF40DED41E3B,View.ashx?M=M&ID=688535&GUID=C2DE2B86-D42D-4080-A352-BF40DED41E3B,View.ashx?M=E2&ID=688535&GUID=C2DE2B86-D42D-4080-A352-BF40DED41E3B,#,#,
59,Salary Setting Commission,6/20/2019,,7:00 PM,"Central Park Library - Margie Edinger Room
2635 Homestead Road
Santa Clara, CA 95051",Meeting details,Agenda,Not available,Packet,Not available,Not available,Not available,DepartmentDetail.aspx?ID=38926&GUID=F36C7988-D706-4E61-905B-CBE77EB26502,,View.ashx?M=IC&ID=695532&GUID=3105CA9F-09CC-4177-8B45-23A7146649E0,,,MeetingDetail.aspx?ID=695532&GUID=3105CA9F-09CC-4177-8B45-23A7146649E0&Options=info&Search=,View.ashx?M=A&ID=695532&GUID=3105CA9F-09CC-4177-8B45-23A7146649E0,,View.ashx?M=E2&ID=695532&GUID=3105CA9F-09CC-4177-8B45-23A7146649E0,,,
60,Santa Clara Stadium Authority,6/18/2019,,7:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35682&GUID=30845DA9-0D60-47E0-AE23-BE8C9A5500BB,,View.ashx?M=IC&ID=640658&GUID=897066D4-B059-49AB-95EC-DF0E74993BB0,,,MeetingDetail.aspx?ID=640658&GUID=897066D4-B059-49AB-95EC-DF0E74993BB0&Options=info&Search=,View.ashx?M=A&ID=640658&GUID=897066D4-B059-49AB-95EC-DF0E74993BB0,,,,,
61,Parks & Recreation Commission,6/18/2019,,7:00 PM,"Cafeteria - City Hall East Wing 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Agenda,Minutes,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=36905&GUID=483358F9-AEE1-43AF-8894-80EDC2CB70D7,,View.ashx?M=IC&ID=687338&GUID=CCFA7AA1-FE48-48A2-9858-4F9D26F765C4,,,MeetingDetail.aspx?ID=687338&GUID=CCFA7AA1-FE48-48A2-9858-4F9D26F765C4&Options=info&Search=,View.ashx?M=A&ID=687338&GUID=CCFA7AA1-FE48-48A2-9858-4F9D26F765C4,View.ashx?M=M&ID=687338&GUID=CCFA7AA1-FE48-48A2-9858-4F9D26F765C4,View.ashx?M=E2&ID=687338&GUID=CCFA7AA1-FE48-48A2-9858-4F9D26F765C4,#,#,
62,Council and Authorities Concurrent Meeting,6/18/2019,,4:00 PM,"Special Meeting - 
City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Agenda,Minutes,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=707165&GUID=C202092E-561E-4CE6-BCD0-BD10F7DEEBEB,,,MeetingDetail.aspx?ID=707165&GUID=C202092E-561E-4CE6-BCD0-BD10F7DEEBEB&Options=info&Search=,View.ashx?M=A&ID=707165&GUID=C202092E-561E-4CE6-BCD0-BD10F7DEEBEB,View.ashx?M=M&ID=707165&GUID=C202092E-561E-4CE6-BCD0-BD10F7DEEBEB,View.ashx?M=E2&ID=707165&GUID=C202092E-561E-4CE6-BCD0-BD10F7DEEBEB,#,#,
63,Planning Commission,6/12/2019,,6:00 PM,City Hall Council Chambers,Meeting details,Agenda,Minutes,Agenda Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=35684&GUID=249B4801-61A9-45B3-A4BA-904F6F83C9D0,,View.ashx?M=IC&ID=644886&GUID=858050EE-3D09-4824-87A5-475732770532,,,MeetingDetail.aspx?ID=644886&GUID=858050EE-3D09-4824-87A5-475732770532&Options=info&Search=,View.ashx?M=A&ID=644886&GUID=858050EE-3D09-4824-87A5-475732770532,View.ashx?M=M&ID=644886&GUID=858050EE-3D09-4824-87A5-475732770532,View.ashx?M=E2&ID=644886&GUID=858050EE-3D09-4824-87A5-475732770532,#,#,
64,Salary Setting Commission,6/11/2019,,7:00 PM,"City Hall - Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Agenda,Not available,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=38926&GUID=F36C7988-D706-4E61-905B-CBE77EB26502,,View.ashx?M=IC&ID=695531&GUID=94308E97-A3BA-46CC-B31F-FE1DA5C6911B,,,MeetingDetail.aspx?ID=695531&GUID=94308E97-A3BA-46CC-B31F-FE1DA5C6911B&Options=info&Search=,View.ashx?M=A&ID=695531&GUID=94308E97-A3BA-46CC-B31F-FE1DA5C6911B,,View.ashx?M=E2&ID=695531&GUID=94308E97-A3BA-46CC-B31F-FE1DA5C6911B,#,#,
65,Historical & Landmarks Commission,6/6/2019,,7:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Agenda,Minutes,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=642855&GUID=581F8B67-1955-4A6A-AF92-BAC9B75D2A4A,,,MeetingDetail.aspx?ID=642855&GUID=581F8B67-1955-4A6A-AF92-BAC9B75D2A4A&Options=info&Search=,View.ashx?M=A&ID=642855&GUID=581F8B67-1955-4A6A-AF92-BAC9B75D2A4A,View.ashx?M=M&ID=642855&GUID=581F8B67-1955-4A6A-AF92-BAC9B75D2A4A,View.ashx?M=E2&ID=642855&GUID=581F8B67-1955-4A6A-AF92-BAC9B75D2A4A,#,#,
66,Salary Setting Commission,6/5/2019,,7:00 PM,"City Hall - Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Agenda,Not available,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=38926&GUID=F36C7988-D706-4E61-905B-CBE77EB26502,,View.ashx?M=IC&ID=695530&GUID=076C63BA-846D-424E-BD31-517B6AF733F0,,,MeetingDetail.aspx?ID=695530&GUID=076C63BA-846D-424E-BD31-517B6AF733F0&Options=info&Search=,View.ashx?M=A&ID=695530&GUID=076C63BA-846D-424E-BD31-517B6AF733F0,,View.ashx?M=E2&ID=695530&GUID=076C63BA-846D-424E-BD31-517B6AF733F0,#,#,
67,Council and Authorities Concurrent Meeting,6/4/2019,,3:30 PM,"Special Stadium Authority Meeting - City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Agenda,Minutes,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=640653&GUID=4293A619-8ADA-4074-8E45-06289460585D,,,MeetingDetail.aspx?ID=640653&GUID=4293A619-8ADA-4074-8E45-06289460585D&Options=info&Search=,View.ashx?M=A&ID=640653&GUID=4293A619-8ADA-4074-8E45-06289460585D,View.ashx?M=M&ID=640653&GUID=4293A619-8ADA-4074-8E45-06289460585D,View.ashx?M=E2&ID=640653&GUID=4293A619-8ADA-4074-8E45-06289460585D,#,#,
68,Cultural Commission,6/3/2019,,7:00 PM,"Senior Center
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Agenda,Minutes,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=36857&GUID=1E0D50C1-B2ED-41AF-9F51-3C7EC8552C02,,View.ashx?M=IC&ID=687337&GUID=4E286A96-77F3-42BF-9480-96DD73510EB9,,,MeetingDetail.aspx?ID=687337&GUID=4E286A96-77F3-42BF-9480-96DD73510EB9&Options=info&Search=,View.ashx?M=A&ID=687337&GUID=4E286A96-77F3-42BF-9480-96DD73510EB9,View.ashx?M=M&ID=687337&GUID=4E286A96-77F3-42BF-9480-96DD73510EB9,View.ashx?M=E2&ID=687337&GUID=4E286A96-77F3-42BF-9480-96DD73510EB9,#,#,
69,Board of Library Trustees,6/3/2019,,6:00 PM,"Central Park Library, Board Room
2635 Homestead Rd.
Santa Clara, CA  95051",Meeting details,Agenda,Minutes,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=36901&GUID=8C91F637-0CCD-45EE-82A2-58271F3ED4AA,,View.ashx?M=IC&ID=646218&GUID=58F0DF76-DE0B-43AF-86A6-BD2DEC2FD1EA,,,MeetingDetail.aspx?ID=646218&GUID=58F0DF76-DE0B-43AF-86A6-BD2DEC2FD1EA&Options=info&Search=,View.ashx?M=A&ID=646218&GUID=58F0DF76-DE0B-43AF-86A6-BD2DEC2FD1EA,View.ashx?M=M&ID=646218&GUID=58F0DF76-DE0B-43AF-86A6-BD2DEC2FD1EA,View.ashx?M=E2&ID=646218&GUID=58F0DF76-DE0B-43AF-86A6-BD2DEC2FD1EA,#,#,
