,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Agenda Packet Text,Video or Audio Text,Caption Notes Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Agenda Packet URL,Video or Audio URL,Caption Notes URL,eComment URL
0,Council and Authorities Concurrent Meeting,9/9/9999,,7:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=593527&GUID=E3A9F8CB-AC8E-4BC5-9C5B-485ED45EB907,,,,,,,,,
1,Council and Authorities Concurrent Meeting,9/9/9999,,7:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=708649&GUID=42BEB70F-2592-444F-A4DD-2AB079D732E9,,,,,,,,,
2,Council and Authorities Concurrent Meeting,9/9/9999,,7:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=714813&GUID=0287990F-C015-4039-829B-899F6D1D5178,,,,,,,,,
3,Council and Authorities Concurrent Meeting,12/15/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726209&GUID=51628587-F5D3-40EE-A07E-2544D1807240,,,,,,,,,
4,Council and Authorities Concurrent Meeting,12/8/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726208&GUID=B9B46910-7ABA-4929-9700-B632FA3FF1C6,,,,,,,,,
5,Youth Commission,12/8/2020,,6:00 PM,"Teen Center
2446 Cabrillo Avenue
Santa Clara, CA 95051",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36909&GUID=A481232D-8B63-4D4C-B474-D6E8073824D5,,View.ashx?M=IC&ID=732179&GUID=1A8D9670-43CE-4B8D-9DAA-7A9139000584,,,,,,,,,
6,Cultural Commission,12/7/2020,,7:00 PM,"Senior Center
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36857&GUID=1E0D50C1-B2ED-41AF-9F51-3C7EC8552C02,,View.ashx?M=IC&ID=731412&GUID=D31B9981-C731-4C97-9C3B-55B499EBA796,,,,,,,,,
7,Historical & Landmarks Commission,12/3/2020,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=722964&GUID=2B6CA453-C2C3-4989-A414-F2F16C2FFA39,,,,,,,,,
8,Council and Authorities Concurrent Meeting,11/17/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726206&GUID=9D1B623F-6345-412A-B558-322D2D6D0F88,,,,,,,,,
9,Santa Clara Stadium Authority,11/17/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35682&GUID=30845DA9-0D60-47E0-AE23-BE8C9A5500BB,,View.ashx?M=IC&ID=726207&GUID=D151CF88-ACBB-475B-8D19-F41CD34F8120,,,,,,,,,
10,Council and Authorities Concurrent Meeting,11/10/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726205&GUID=A7C10591-CF97-4F45-9893-77439D597046,,,,,,,,,
11,Youth Commission,11/10/2020,,6:00 PM,"Teen Center
2446 Cabrillo Avenue
Santa Clara, CA 95051",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36909&GUID=A481232D-8B63-4D4C-B474-D6E8073824D5,,View.ashx?M=IC&ID=732178&GUID=6096D054-9954-47AB-8B2B-D528D7750FED,,,,,,,,,
12,Historical & Landmarks Commission,11/5/2020,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=722963&GUID=A6182518-863F-4F71-AEE8-28635991F98C,,,,,,,,,
13,Cultural Commission,11/2/2020,,7:00 PM,"Senior Center
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36857&GUID=1E0D50C1-B2ED-41AF-9F51-3C7EC8552C02,,View.ashx?M=IC&ID=727317&GUID=0A3BC43F-EF1A-4594-BE96-54884CCC7A3E,,,,,,,,,
14,Council and Authorities Concurrent Meeting,10/27/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726204&GUID=5DF28D6A-9165-4770-B09D-E24347441716,,,,,,,,,
15,Council and Authorities Concurrent Meeting,10/13/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726203&GUID=25617D5A-BB43-4A4E-87FA-A11A6BB721FD,,,,,,,,,
16,Youth Commission,10/13/2020,,6:00 PM,"Teen Center
2446 Cabrillo Avenue
Santa Clara, CA 95051",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36909&GUID=A481232D-8B63-4D4C-B474-D6E8073824D5,,View.ashx?M=IC&ID=732177&GUID=21EF7F1B-F82D-4252-9D3F-B4485F010381,,,,,,,,,
17,Cultural Commission,10/5/2020,,7:00 PM,"Senior Center
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36857&GUID=1E0D50C1-B2ED-41AF-9F51-3C7EC8552C02,,View.ashx?M=IC&ID=727316&GUID=E4E1047D-4004-4E47-A384-574F204807FC,,,,,,,,,
18,Historical & Landmarks Commission,10/1/2020,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=722962&GUID=8E23CBC5-8BB8-4CC2-B6BC-0A2281AA4CF8,,,,,,,,,
19,Council and Authorities Concurrent Meeting,9/29/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726202&GUID=2A092384-A490-4BD7-AC7E-A03E056A3B09,,,,,,,,,
20,Youth Commission,9/8/2020,,6:00 PM,"Teen Center
2446 Cabrillo Avenue
Santa Clara, CA 95051",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36909&GUID=A481232D-8B63-4D4C-B474-D6E8073824D5,,View.ashx?M=IC&ID=732176&GUID=6B4F2D15-7B40-4601-932B-6B9F2896910F,,,,,,,,,
21,Historical & Landmarks Commission,9/3/2020,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=722961&GUID=8D82CC63-DD13-4798-9C80-681C440EA257,,,,,,,,,
22,Council and Authorities Concurrent Meeting,9/1/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726201&GUID=72854A3B-3D97-4FB9-A4F9-BB464419E0ED,,,,,,,,,
23,Council and Authorities Concurrent Meeting,8/25/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726200&GUID=DB0FA155-7BFD-439A-A4DE-45E41847C357,,,,,,,,,
24,Council and Authorities Concurrent Meeting,8/18/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726199&GUID=49A8D61A-868A-48B4-879C-EEEEAA438294,,,,,,,,,
25,Historical & Landmarks Commission,8/6/2020,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=722960&GUID=A79C1E56-F2A3-466E-95A8-06950F3E6280,,,,,,,,,
26,Cultural Commission,8/3/2020,,7:00 PM,"Senior Center
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36857&GUID=1E0D50C1-B2ED-41AF-9F51-3C7EC8552C02,,View.ashx?M=IC&ID=727315&GUID=DD82D91F-B361-48A9-9379-B4FB226ACCAA,,,,,,,,,
27,Council and Authorities Concurrent Meeting,7/14/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726166&GUID=8E4CB537-C18B-47AB-8D10-0FF87AF40A92,,,,,,,,,
28,Santa Clara Stadium Authority,7/14/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35682&GUID=30845DA9-0D60-47E0-AE23-BE8C9A5500BB,,View.ashx?M=IC&ID=726198&GUID=C99DA858-C969-420A-843C-4EA1BA81637E,,,,,,,,,
29,Council and Authorities Concurrent Meeting,7/7/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726165&GUID=1AE4EAC6-6D30-48E7-ACBB-16600F2F59A5,,,,,,,,,
30,Cultural Commission,7/6/2020,,7:00 PM,"Senior Center
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36857&GUID=1E0D50C1-B2ED-41AF-9F51-3C7EC8552C02,,View.ashx?M=IC&ID=727314&GUID=2D1FF99D-3A96-4784-8331-30D91C9D9543,,,,,,,,,
31,Historical & Landmarks Commission,7/2/2020,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=722959&GUID=FB6EAD15-D0CE-467D-9936-A43BB99A896F,,,,,,,,,
32,Council and Authorities Concurrent Meeting,6/23/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726164&GUID=5B2072A0-A469-4F0B-B1AA-C388B3A76F85,,,,,,,,,
33,Historical & Landmarks Commission,6/4/2020,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=722958&GUID=2F166BD9-9529-4195-8824-1E37D594FFB7,,,,,,,,,
34,Council and Authorities Concurrent Meeting,6/2/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726163&GUID=6F268BDB-63CC-4A74-BA36-C33DFD96A8A7,,,,,,,,,
35,Cultural Commission,6/1/2020,,7:00 PM,"Senior Center
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36857&GUID=1E0D50C1-B2ED-41AF-9F51-3C7EC8552C02,,View.ashx?M=IC&ID=727313&GUID=7EEBC954-8D84-4BE8-A0B8-0FAA042B60CB,,,,,,,,,
36,Governance and Ethics Committee,5/21/2020,,3:00 PM,City Hall – Council Chambers,Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36950&GUID=35831CF3-67DE-4D08-8FB8-FEEDBC280699,,View.ashx?M=IC&ID=653186&GUID=E10571FA-BF29-4EE3-88A5-7D0453B0413B,,,,,,,,,
37,Council and Authorities Concurrent Meeting,5/19/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726161&GUID=F3CE19FA-C65A-4A27-B802-C9D96D6D46BA,,,,,,,,,
38,Santa Clara Stadium Authority,5/12/2020,,7:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35682&GUID=30845DA9-0D60-47E0-AE23-BE8C9A5500BB,,View.ashx?M=IC&ID=726160&GUID=A61B7E13-BC9F-4F47-B120-847FC60B3F87,,,,,,,,,
39,Youth Commission,5/12/2020,,6:00 PM,"Teen Center
2446 Cabrillo Avenue
Santa Clara, CA 95051",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36909&GUID=A481232D-8B63-4D4C-B474-D6E8073824D5,,View.ashx?M=IC&ID=732175&GUID=5C4C0FBB-B8C2-4715-A9C1-DE437B7D0E3C,,,,,,,,,
40,Historical & Landmarks Commission,5/7/2020,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=722957&GUID=29B6A4CC-8F79-4D9E-BB11-930A73B8A3F1,,,,,,,,,
41,Council and Authorities Concurrent Meeting,5/5/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726159&GUID=7426C7A5-894C-4F12-AB80-7E9307CBE73E,,,,,,,,,
42,Cultural Commission,5/4/2020,,7:00 PM,"Senior Center
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36857&GUID=1E0D50C1-B2ED-41AF-9F51-3C7EC8552C02,,View.ashx?M=IC&ID=727124&GUID=4EE9B747-F75E-4927-BDDC-977491FBF0EC,,,,,,,,,
43,Parks & Recreation Commission,4/21/2020,,7:00 PM,"Cafeteria - City Hall East Wing 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36905&GUID=483358F9-AEE1-43AF-8894-80EDC2CB70D7,,View.ashx?M=IC&ID=732185&GUID=BCCFB667-1E32-4B60-8CEB-5BDF9EE74C39,,,,,,,,,
44,Council and Authorities Concurrent Meeting,4/21/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726137&GUID=A18B0796-726A-46CD-BA78-8822E9E5D951,,,,,,,,,
45,Council and Authorities Concurrent Meeting,4/14/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726136&GUID=0409455E-0740-4AAB-A3BA-DDD0C98D4B53,,,,,,,,,
46,Youth Commission,4/14/2020,,6:00 PM,"Teen Center
2446 Cabrillo Avenue
Santa Clara, CA 95051",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36909&GUID=A481232D-8B63-4D4C-B474-D6E8073824D5,,View.ashx?M=IC&ID=731413&GUID=4AA735DF-72DE-4FCE-A6EC-3AD98B3E5CAD,,,,,,,,,
47,Cultural Commission,4/6/2020,,7:00 PM,"Senior Center
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36857&GUID=1E0D50C1-B2ED-41AF-9F51-3C7EC8552C02,,View.ashx?M=IC&ID=727122&GUID=2D0C90D1-618A-44C8-9546-CCA44D02C13C,,,,,,,,,
48,Historical & Landmarks Commission,4/2/2020,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=722956&GUID=232311AC-30DD-49A6-AA01-A86EF4F2F247,,,,,,,,,
49,Council and Authorities Concurrent Meeting,3/31/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726135&GUID=EB32419B-9718-4B68-9211-A2B88EB9C087,,,,,,,,,
50,Santa Clara Stadium Authority,3/24/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35682&GUID=30845DA9-0D60-47E0-AE23-BE8C9A5500BB,,View.ashx?M=IC&ID=726134&GUID=152AB07C-9A4C-4C8E-8C21-DE03712B2F20,,,,,,,,,
51,Governance and Ethics Committee,3/19/2020,,3:00 PM,City Hall – Council Chambers,Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36950&GUID=35831CF3-67DE-4D08-8FB8-FEEDBC280699,,View.ashx?M=IC&ID=648791&GUID=F44F5BBC-E93B-4D41-9165-B11AD18872D3,,,,,,,,,
52,Parks & Recreation Commission,3/17/2020,,7:00 PM,"Cafeteria - City Hall East Wing 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36905&GUID=483358F9-AEE1-43AF-8894-80EDC2CB70D7,,View.ashx?M=IC&ID=732184&GUID=7C530634-8630-45B1-9B32-07987A510E3D,,,,,,,,,
53,Council and Authorities Concurrent Meeting,3/17/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726133&GUID=39C0A6C7-777B-4F77-82C1-C817949D8447,,,,,,,,,
54,Historical & Landmarks Commission,3/5/2020,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=722951&GUID=7ABEA5D6-C25E-45EF-A3FC-6E42A33B73D0,,,,,,,,,
55,Cultural Commission,3/2/2020,,7:00 PM,"Senior Center
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36857&GUID=1E0D50C1-B2ED-41AF-9F51-3C7EC8552C02,,View.ashx?M=IC&ID=727121&GUID=A9107674-4E79-45DE-BDFA-48E78A4D2839,,,,,,,,,
56,Youth Commission,3/2/2020,,6:00 PM,"Teen Center
2446 Cabrillo Avenue
Santa Clara, CA 95051",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36909&GUID=A481232D-8B63-4D4C-B474-D6E8073824D5,,View.ashx?M=IC&ID=732171&GUID=B7485442-3652-48F4-8816-F8D35ECA796A,,,,,,,,,
57,Council and Authorities Concurrent Meeting,2/25/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726132&GUID=E4D99092-C1AC-4A8C-B83C-5DE9E293CB0F,,,,,,,,,
58,Parks & Recreation Commission,2/18/2020,,7:00 PM,"Cafeteria - City Hall East Wing 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36905&GUID=483358F9-AEE1-43AF-8894-80EDC2CB70D7,,View.ashx?M=IC&ID=732183&GUID=9F8B1DD0-0ABC-443A-91AF-DB6AAE1A0E27,,,,,,,,,
59,Santa Clara Stadium Authority,2/18/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35682&GUID=30845DA9-0D60-47E0-AE23-BE8C9A5500BB,,View.ashx?M=IC&ID=726131&GUID=98BD920B-8CE7-4FE6-AF79-B95FFAFD14C4,,,,,,,,,
60,Council and Authorities Concurrent Meeting,2/11/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726114&GUID=C9D0B8EF-6A12-4C1B-AB8C-B6B4B8A5A4EC,,,,,,,,,
61,Youth Commission,2/11/2020,,6:00 PM,"Teen Center
2446 Cabrillo Avenue
Santa Clara, CA 95051",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36909&GUID=A481232D-8B63-4D4C-B474-D6E8073824D5,,View.ashx?M=IC&ID=732174&GUID=A4B29DDB-EFCE-4D5C-96AA-0AE3B23797A9,,,,,,,,,
62,Historical & Landmarks Commission,2/6/2020,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=722950&GUID=5284BD76-08B9-4ECA-9042-E2BFCEC1AE08,,,,,,,,,
63,Cultural Commission,2/3/2020,,7:00 PM,"Senior Center
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36857&GUID=1E0D50C1-B2ED-41AF-9F51-3C7EC8552C02,,View.ashx?M=IC&ID=727120&GUID=BBF91C36-0E2E-427A-A4CD-8078D76ED656,,,,,,,,,
64,Council and Authorities Concurrent Meeting,1/28/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726113&GUID=3F6C5B07-DE3D-49A1-8EC9-DA95A76F52C1,,,,,,,,,
65,Parks & Recreation Commission,1/21/2020,,7:00 PM,"Cafeteria - City Hall East Wing 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36905&GUID=483358F9-AEE1-43AF-8894-80EDC2CB70D7,,View.ashx?M=IC&ID=732182&GUID=5DAEABE8-C2DF-4BDF-8F34-EBA72DD2B19C,,,,,,,,,
