,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Media Column Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Media Column URL
34,Human Relations Commission,3/7/2019,,6:30 PM,Council Chambers,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=651851&GUID=D1F5375A-494E-4342-AD69-31C27111ACA8,,,MeetingDetail.aspx?ID=651851&GUID=D1F5375A-494E-4342-AD69-31C27111ACA8&Options=info&Search=,View.ashx?M=A&ID=651851&GUID=D1F5375A-494E-4342-AD69-31C27111ACA8,View.ashx?M=M&ID=651851&GUID=D1F5375A-494E-4342-AD69-31C27111ACA8,#
35,Environmental Planning Commission,3/6/2019,,7:00 PM,MEETING CANCELLED,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=673920&GUID=AE17FA94-A441-4728-ACCB-D5FD9D95300E,,,,,,
36,City Council,3/5/2019,,6:30 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041SPECIAL MEETING OF SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=689734&GUID=2FF262CA-5EF0-46A9-8302-E0975BB8431F,,,,,,
37,City Council,3/5/2019,,4:30 PM,"Plaza Conference Room and Council Chambers, 500 Castro St., Mountain View, CA 94041JOINT SPECIAL MEETING OF THE CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=655803&GUID=5C0B7641-0436-4FE1-82CB-0DB80FBEB48E,,,MeetingDetail.aspx?ID=655803&GUID=5C0B7641-0436-4FE1-82CB-0DB80FBEB48E&Options=info&Search=,View.ashx?M=A&ID=655803&GUID=5C0B7641-0436-4FE1-82CB-0DB80FBEB48E,View.ashx?M=M&ID=655803&GUID=5C0B7641-0436-4FE1-82CB-0DB80FBEB48E,#
38,Rental Housing Committee,3/4/2019,,6:30 PM,Plaza Conference Room & Council Chambers,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=682206&GUID=A32F346A-C850-4044-A63C-E95587EB88FD,,,MeetingDetail.aspx?ID=682206&GUID=A32F346A-C850-4044-A63C-E95587EB88FD&Options=info&Search=,View.ashx?M=A&ID=682206&GUID=A32F346A-C850-4044-A63C-E95587EB88FD,View.ashx?M=M&ID=682206&GUID=A32F346A-C850-4044-A63C-E95587EB88FD,#
39,City Council,2/28/2019,,6:30 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041SPECIAL MEETING OF SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=685867&GUID=B65F2FC9-D73C-4A01-9140-AFCB8149A595,,,,,,
40,City Council,2/28/2019,,5:15 PM,"Plaza Conference Room and Council Chambers, 500 Castro St., Mountain View, CA 94041JOINT SPECIAL MEETING OF THE CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=655802&GUID=A8E5EBDA-F602-4C14-9230-64629E20BCE5,,,MeetingDetail.aspx?ID=655802&GUID=A8E5EBDA-F602-4C14-9230-64629E20BCE5&Options=info&Search=,View.ashx?M=A&ID=655802&GUID=A8E5EBDA-F602-4C14-9230-64629E20BCE5,View.ashx?M=M&ID=655802&GUID=A8E5EBDA-F602-4C14-9230-64629E20BCE5,#
41,Bicycle/Pedestrian Advisory Committee,2/27/2019,,6:30 PM,Plaza Conference Room,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=672768&GUID=D19DF346-2D5B-4C85-8F67-47AE41CA5C8F,,,MeetingDetail.aspx?ID=672768&GUID=D19DF346-2D5B-4C85-8F67-47AE41CA5C8F&Options=info&Search=,View.ashx?M=A&ID=672768&GUID=D19DF346-2D5B-4C85-8F67-47AE41CA5C8F,View.ashx?M=M&ID=672768&GUID=D19DF346-2D5B-4C85-8F67-47AE41CA5C8F,#
42,City Council,2/26/2019,,6:30 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041SPECIAL MEETING OF SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=684978&GUID=E4E6F816-D156-4DCF-9C3E-0052AB808437,,,,,,
43,City Council,2/26/2019,,5:00 PM,"Plaza Conference Room and Council Chambers, 500 Castro St., Mountain View, CA 94041JOINT MEETING OF THE CITY COUNCIL (REGULAR) AND SHORELINE REGIONAL PARK COMMUNITY (SPECIAL)",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=655801&GUID=73BE078E-8DB8-4863-80C0-49198746C371,,,MeetingDetail.aspx?ID=655801&GUID=73BE078E-8DB8-4863-80C0-49198746C371&Options=info&Search=,View.ashx?M=A&ID=655801&GUID=73BE078E-8DB8-4863-80C0-49198746C371,View.ashx?M=M&ID=655801&GUID=73BE078E-8DB8-4863-80C0-49198746C371,#
