,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Media Column Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Media Column URL
0,Rental Housing Committee,12/14/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722648&GUID=801B2EA0-9283-4EC1-A487-F665143BF24A,,,,,,
1,Rental Housing Committee,11/16/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722647&GUID=EA62131A-89B8-4199-B828-70E86FF41684,,,,,,
2,Rental Housing Committee,10/19/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722646&GUID=CEAAB7AA-1D5D-46C4-9E23-DE1CD1B2C082,,,,,,
3,Rental Housing Committee,9/21/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722645&GUID=18FCC767-D37C-460E-8E82-9D508647EF15,,,,,,
4,Rental Housing Committee,8/24/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722644&GUID=5DA4DB1E-3718-431D-94C0-6E4A8D3ED5EA,,,,,,
5,Rental Housing Committee,6/29/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722643&GUID=6A93BDA7-25B3-4099-B5DA-DAA6CE6030BE,,,,,,
6,Rental Housing Committee,6/1/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722642&GUID=111CA6F3-FEAA-40F2-89E7-4D403359DE4B,,,,,,
7,Rental Housing Committee,5/4/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722641&GUID=1433E8D8-875F-4C03-9E07-94C0BBA038AD,,,,,,
8,Rental Housing Committee,4/6/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722639&GUID=3DFF1070-7604-4C71-BA9F-0CD4AD98833F,,,,,,
9,Rental Housing Committee,3/9/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722636&GUID=12694256-748D-4C52-8150-E3686302F677,,,,,,
10,Rental Housing Committee,2/10/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722637&GUID=9578DBEA-2744-459F-973C-D4DC808B85CB,,,,,,
11,Rental Housing Committee,1/13/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722638&GUID=F4AE082B-16FB-4655-9B2A-8EA05FC0FB11,,,,,,
12,Environmental Planning Commission,12/18/2019,,7:00 PM,MEETING CANCELLED,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=724551&GUID=8A24BC76-BBDC-46F8-B61B-DA6BC4E01285,,,,,,
13,City Council,12/13/2019,,9:00 AM,Location to be determinedClosed Session: City Manager Candidate Interviews,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=725327&GUID=7A8C9EB0-D76D-4C21-B1B0-9CDE3EF4156E,,,,,,
14,City Council,12/12/2019,,8:00 AM,Location to be determinedClosed Session: City Manager Candidate Interviews,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=725326&GUID=E68AEDDB-7DE8-48C6-8714-719428489983,,,,,,
15,City Council,12/10/2019,,6:30 PM,"Council Chambers - 500 Castro St., Mountain View, CA 94041",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=655827&GUID=AEEC7287-050E-4A21-8A77-88929BD1C279,,,,,,
16,Rental Housing Committee,12/9/2019,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=718004&GUID=88E3D574-B3E8-4F3D-9516-05CC0D6EE61E,,,,,,
17,Human Relations Commission,12/5/2019,,6:30 PM,Plaza Conference Room,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=715443&GUID=BB615C1A-18B5-4F64-926A-EC7559EF567B,,,,,,
18,Environmental Planning Commission,12/4/2019,,7:00 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=724550&GUID=163CB058-83F3-4CDF-A2F6-BF56D01A46FB,,,,,,
19,City Council,12/3/2019,,6:30 PM,"Council Chambers - 500 Castro St., Mountain View, CA 94041",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=655826&GUID=5516ADB7-CC51-4FC4-8F67-44795CFDDF45,,,,,,
20,Bicycle/Pedestrian Advisory Committee,11/27/2019,,6:30 PM,Plaza Conference Room,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=672772&GUID=2389465A-C6CF-4544-9C2D-5316BC8D6DA7,,,,,,
21,Environmental Planning Commission,11/20/2019,,7:00 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=724549&GUID=63AA6123-1247-47EA-A45B-D286ACDCD2F8,,,,,,
22,Performing Arts Committee,11/20/2019,,6:15 PM,Atrium Conference Room,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=673925&GUID=58D76023-BA0E-4AEE-89DE-163BEA2BA632,,,,,,
23,City Council,11/18/2019,,6:30 PM,"Council Chambers - 500 Castro St., Mountain View, CA 94041SPECIAL CITY COUNCIL MEETING",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=655835&GUID=6D8DEF44-E540-415F-AABA-A8A2A75940B7,,,,,,
24,City Council,11/12/2019,,6:30 PM,"Council Chambers - 500 Castro St., Mountain View, CA 94041",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=655825&GUID=F5A9845B-B376-4BA3-B3A7-8336DB54CD77,,,,,,
25,Human Relations Commission,11/7/2019,,6:30 PM,Plaza Conference Room,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=715436&GUID=011FFE7D-3428-491E-BEBA-111DB7E9ACE0,,,,,,
26,Community Stabilization and Fair Rent Act (CSFRA) Council Ad-Hoc Subcommittee,11/6/2019,,7:00 PM,Location to be determined,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722585&GUID=42358D1B-BE9C-42F8-8698-73999A2146D7,,,,,,
27,Environmental Planning Commission,11/6/2019,,7:00 PM,MEETING CANCELLED,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=724548&GUID=BEAF40D5-C9DD-4972-888F-6636045533BB,,,,,,
28,City Council,11/5/2019,,5:00 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041JOINT SPECIAL MEETING OF CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=655824&GUID=2CAB3256-B6BB-4F47-886E-C93665E64005,,,,,,
29,Rental Housing Committee,11/4/2019,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=718003&GUID=F66EBBA1-D694-479E-93F6-20069BEDC16A,,,,,,
30,Bicycle/Pedestrian Advisory Committee,10/30/2019,,6:30 PM,Plaza Conference Room,Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=672774&GUID=9464CF51-AA41-4428-9CE8-7F76E3CAD8D1,,,MeetingDetail.aspx?ID=672774&GUID=9464CF51-AA41-4428-9CE8-7F76E3CAD8D1&Options=info&Search=,View.ashx?M=A&ID=672774&GUID=9464CF51-AA41-4428-9CE8-7F76E3CAD8D1,,
31,City Council,10/29/2019,,5:00 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041SPECIAL CITY COUNCIL MEETING",Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=655823&GUID=2FA90109-5369-4C4A-865A-FF9098E18349,,,MeetingDetail.aspx?ID=655823&GUID=2FA90109-5369-4C4A-865A-FF9098E18349&Options=info&Search=,View.ashx?M=A&ID=655823&GUID=2FA90109-5369-4C4A-865A-FF9098E18349,,
32,Environmental Planning Commission,10/23/2019,,7:00 PM,"Council Chambers and Plaza Conference Room, 500 Castro St., Mountain View, CA 94041SPECIAL MEETING",Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=726929&GUID=5C940296-0809-4998-8B2A-E3980DFA3433,,,MeetingDetail.aspx?ID=726929&GUID=5C940296-0809-4998-8B2A-E3980DFA3433&Options=info&Search=,View.ashx?M=A&ID=726929&GUID=5C940296-0809-4998-8B2A-E3980DFA3433,,
33,City Council,10/22/2019,,6:15 PM,"Plaza Conference Room and Council Chambers, 500 Castro St., Mountain View, CA 94041JOINT MEETING OF CITY COUNCIL (REGULAR) AND SHORELINE REGIONAL PARK COMMUNITY (SPECIAL)",Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=655822&GUID=19E5E82B-9864-49CC-82E7-0D7ADC9AB130,,,MeetingDetail.aspx?ID=655822&GUID=19E5E82B-9864-49CC-82E7-0D7ADC9AB130&Options=info&Search=,View.ashx?M=A&ID=655822&GUID=19E5E82B-9864-49CC-82E7-0D7ADC9AB130,,#
34,Library Board,10/21/2019,,7:00 PM,Program Room - 2nd Floor,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=724159&GUID=C31C38A3-9EC8-45C6-A98B-C289D1448D8C,,,MeetingDetail.aspx?ID=724159&GUID=C31C38A3-9EC8-45C6-A98B-C289D1448D8C&Options=info&Search=,,,
35,Environmental Planning Commission,10/16/2019,,7:00 PM,"Plaza Conference Room, 500 Castro St., Mountain View, CA 94041",Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=724547&GUID=7415AF21-4DA7-4502-927F-226ED7B9BB97,,,MeetingDetail.aspx?ID=724547&GUID=7415AF21-4DA7-4502-927F-226ED7B9BB97&Options=info&Search=,View.ashx?M=A&ID=724547&GUID=7415AF21-4DA7-4502-927F-226ED7B9BB97,,
36,Performing Arts Committee,10/16/2019,,6:15 PM,Atrium Conference Room,Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=673924&GUID=C4575B1E-EA0E-46DC-A4D0-5FD4036A1F93,,,MeetingDetail.aspx?ID=673924&GUID=C4575B1E-EA0E-46DC-A4D0-5FD4036A1F93&Options=info&Search=,View.ashx?M=A&ID=673924&GUID=C4575B1E-EA0E-46DC-A4D0-5FD4036A1F93,,
37,City Council,10/15/2019,,5:00 PM,"Plaza Conference Room and Council Chambers, 500 Castro St., Mountain View, CA 94041SPECIAL MEETING OF THE CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=655821&GUID=01F2944D-DB91-4DAD-AE62-5EBF94C03C97,,,MeetingDetail.aspx?ID=655821&GUID=01F2944D-DB91-4DAD-AE62-5EBF94C03C97&Options=info&Search=,View.ashx?M=A&ID=655821&GUID=01F2944D-DB91-4DAD-AE62-5EBF94C03C97,,#
38,Community Stabilization and Fair Rent Act (CSFRA) Council Ad-Hoc Subcommittee,10/14/2019,,7:00 PM,"Mountain View Community Center, Redwood Hall, 201 S Rengstorff Ave., Mountain View, CA 94041",Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=722584&GUID=E588ABF0-BC74-4A87-B1DE-83E65317897E,,,MeetingDetail.aspx?ID=722584&GUID=E588ABF0-BC74-4A87-B1DE-83E65317897E&Options=info&Search=,View.ashx?M=A&ID=722584&GUID=E588ABF0-BC74-4A87-B1DE-83E65317897E,,
39,Environmental Planning Commission,10/12/2019,,8:00 AM,"In Front of the Main Entrance to City Hall, 500 Castro St., Mountain View, CA 94041Special Meeting: Tour of Developments in the City of Hercules, California",Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=720714&GUID=81A38529-F2F6-4910-B7E0-E8495455D1A3,,,MeetingDetail.aspx?ID=720714&GUID=81A38529-F2F6-4910-B7E0-E8495455D1A3&Options=info&Search=,View.ashx?M=A&ID=720714&GUID=81A38529-F2F6-4910-B7E0-E8495455D1A3,,
40,Parks and Recreation Commission and Urban Forestry Board,10/9/2019,,7:00 PM,MEETING CANCELLED,Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=724432&GUID=12FC6599-4545-478C-B5FF-A5603421AA31,,,MeetingDetail.aspx?ID=724432&GUID=12FC6599-4545-478C-B5FF-A5603421AA31&Options=info&Search=,View.ashx?M=A&ID=724432&GUID=12FC6599-4545-478C-B5FF-A5603421AA31,,
41,City Council,10/8/2019,,6:30 PM,MEETING CANCELLED,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=724010&GUID=68ACC596-2CB8-45E7-BCE8-196F856423EB,,,,,,
42,Rental Housing Committee,10/7/2019,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=713539&GUID=79617810-12D7-4DB5-974D-C88D5056AF80,,,MeetingDetail.aspx?ID=713539&GUID=79617810-12D7-4DB5-974D-C88D5056AF80&Options=info&Search=,View.ashx?M=A&ID=713539&GUID=79617810-12D7-4DB5-974D-C88D5056AF80,,#
43,Human Relations Commission,10/3/2019,,6:30 PM,Plaza Conference Room,Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=706249&GUID=FCB59DD3-C97D-471B-A1E8-278B039A92AD,,,MeetingDetail.aspx?ID=706249&GUID=FCB59DD3-C97D-471B-A1E8-278B039A92AD&Options=info&Search=,View.ashx?M=A&ID=706249&GUID=FCB59DD3-C97D-471B-A1E8-278B039A92AD,,#
44,Environmental Planning Commission,10/2/2019,,7:00 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041",Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=722753&GUID=86CB9E6D-B36B-4330-873B-6D66B77CCEDB,,,MeetingDetail.aspx?ID=722753&GUID=86CB9E6D-B36B-4330-873B-6D66B77CCEDB&Options=info&Search=,View.ashx?M=A&ID=722753&GUID=86CB9E6D-B36B-4330-873B-6D66B77CCEDB,,#
45,City Council,10/1/2019,,6:30 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041JOINT SPECIAL MEETING OF CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=655820&GUID=C6F15671-048A-49A5-89AC-88497E7E2E9A,,,MeetingDetail.aspx?ID=655820&GUID=C6F15671-048A-49A5-89AC-88497E7E2E9A&Options=info&Search=,View.ashx?M=A&ID=655820&GUID=C6F15671-048A-49A5-89AC-88497E7E2E9A,View.ashx?M=M&ID=655820&GUID=C6F15671-048A-49A5-89AC-88497E7E2E9A,#
46,City Council,10/1/2019,,6:30 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041SPECIAL MEETING OF SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726211&GUID=AAE09F80-1A49-4D6A-A45A-9E9D2F8B9B06,,,,,,
47,Bicycle/Pedestrian Advisory Committee,9/25/2019,,6:30 PM,Plaza Conference Room,Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=722247&GUID=40C0FE15-700F-4D9D-8F0B-96A94261FC5E,,,MeetingDetail.aspx?ID=722247&GUID=40C0FE15-700F-4D9D-8F0B-96A94261FC5E&Options=info&Search=,View.ashx?M=A&ID=722247&GUID=40C0FE15-700F-4D9D-8F0B-96A94261FC5E,,#
48,City Council,9/24/2019,,5:00 PM,"Plaza Conference Room and Council Chambers, 500 Castro St., Mountain View, CA 94041JOINT MEETING OF CITY COUNCIL (REGULAR) AND SHORELINE REGIONAL PARK COMMUNITY (SPECIAL)",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=655819&GUID=0B6F6A2E-1B6F-4591-9DC5-368699400C7F,,,MeetingDetail.aspx?ID=655819&GUID=0B6F6A2E-1B6F-4591-9DC5-368699400C7F&Options=info&Search=,View.ashx?M=A&ID=655819&GUID=0B6F6A2E-1B6F-4591-9DC5-368699400C7F,View.ashx?M=M&ID=655819&GUID=0B6F6A2E-1B6F-4591-9DC5-368699400C7F,#
49,Environmental Planning Commission,9/18/2019,,7:00 PM,MEETING CANCELLED,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=721431&GUID=784C035B-61E8-40BE-B749-9F314DBDB60A,,,,,,
50,Performing Arts Committee,9/18/2019,,6:15 PM,Atrium Conference Room,Meeting details,Agenda,Minutes,Not available,,,View.ashx?M=IC&ID=673923&GUID=1A962F7D-356A-4959-BE46-0B8BEB751C02,,,MeetingDetail.aspx?ID=673923&GUID=1A962F7D-356A-4959-BE46-0B8BEB751C02&Options=info&Search=,View.ashx?M=A&ID=673923&GUID=1A962F7D-356A-4959-BE46-0B8BEB751C02,View.ashx?M=M&ID=673923&GUID=1A962F7D-356A-4959-BE46-0B8BEB751C02,
51,City Council,9/17/2019,,6:30 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733813&GUID=51DCDC36-B130-4E84-9C5A-D72A91241E71,,,,,,
52,City Council,9/17/2019,,5:00 PM,"Plaza Conference Room and Council Chambers, 500 Castro St., Mountain View, CA 94041SPECIAL MEETING OF THE CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=713193&GUID=6BF5FA88-E42C-430A-83C0-98952211FAA5,,,MeetingDetail.aspx?ID=713193&GUID=6BF5FA88-E42C-430A-83C0-98952211FAA5&Options=info&Search=,View.ashx?M=A&ID=713193&GUID=6BF5FA88-E42C-430A-83C0-98952211FAA5,View.ashx?M=M&ID=713193&GUID=6BF5FA88-E42C-430A-83C0-98952211FAA5,#
53,Rental Housing Committee,9/16/2019,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=713534&GUID=F9A48C6B-8C31-42B3-86B7-8DCEF767BA56,,,MeetingDetail.aspx?ID=713534&GUID=F9A48C6B-8C31-42B3-86B7-8DCEF767BA56&Options=info&Search=,View.ashx?M=A&ID=713534&GUID=F9A48C6B-8C31-42B3-86B7-8DCEF767BA56,View.ashx?M=M&ID=713534&GUID=F9A48C6B-8C31-42B3-86B7-8DCEF767BA56,#
54,Library Board,9/16/2019,,7:00 PM,Program Room - 2nd Floor,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=718329&GUID=24BC0502-6B7F-4F93-80AA-AD1EC80C1863,,,MeetingDetail.aspx?ID=718329&GUID=24BC0502-6B7F-4F93-80AA-AD1EC80C1863&Options=info&Search=,,View.ashx?M=M&ID=718329&GUID=24BC0502-6B7F-4F93-80AA-AD1EC80C1863,
55,Parks and Recreation Commission and Urban Forestry Board,9/11/2019,,7:00 PM,Community Center - 201 S. Rengstorff Ave.,Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=706568&GUID=EC4F67F3-A7A6-4948-B837-768C6D6A92D2,,,MeetingDetail.aspx?ID=706568&GUID=EC4F67F3-A7A6-4948-B837-768C6D6A92D2&Options=info&Search=,View.ashx?M=A&ID=706568&GUID=EC4F67F3-A7A6-4948-B837-768C6D6A92D2,,
56,City Council,9/10/2019,,5:30 PM,"Plaza Conference Room and Council Chambers, 500 Castro St., Mountain View, CA 94041JOINT MEETING OF CITY COUNCIL (REGULAR) AND SHORELINE REGIONAL PARK COMMUNITY (SPECIAL)",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=655818&GUID=89A35E64-8550-4E77-BDB7-1A021833212E,,,MeetingDetail.aspx?ID=655818&GUID=89A35E64-8550-4E77-BDB7-1A021833212E&Options=info&Search=,View.ashx?M=A&ID=655818&GUID=89A35E64-8550-4E77-BDB7-1A021833212E,View.ashx?M=M&ID=655818&GUID=89A35E64-8550-4E77-BDB7-1A021833212E,#
57,Human Relations Commission,9/5/2019,,6:30 PM,Plaza Conference Room,Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=706243&GUID=32146660-1F88-43C9-A51C-1FD5268CC3A2,,,MeetingDetail.aspx?ID=706243&GUID=32146660-1F88-43C9-A51C-1FD5268CC3A2&Options=info&Search=,View.ashx?M=A&ID=706243&GUID=32146660-1F88-43C9-A51C-1FD5268CC3A2,,#
58,Environmental Planning Commission,9/4/2019,,7:00 PM,"Council Chambers, City Hall, Mountain View",Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=672775&GUID=F3E4225D-6AB4-4597-B227-C6BE0E7D2FAF,,,MeetingDetail.aspx?ID=672775&GUID=F3E4225D-6AB4-4597-B227-C6BE0E7D2FAF&Options=info&Search=,View.ashx?M=A&ID=672775&GUID=F3E4225D-6AB4-4597-B227-C6BE0E7D2FAF,,#
59,Community Stabilization and Fair Rent Act (CSFRA) Council Ad-Hoc Subcommittee,9/4/2019,,5:15 PM,"Community Center, Redwood Hall,                                             201 S. Rengstorff Ave., Mountain View",Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=715539&GUID=F224FCF4-B075-423A-85B0-4B6ABBE68757,,,MeetingDetail.aspx?ID=715539&GUID=F224FCF4-B075-423A-85B0-4B6ABBE68757&Options=info&Search=,View.ashx?M=A&ID=715539&GUID=F224FCF4-B075-423A-85B0-4B6ABBE68757,,#
60,City Council,9/3/2019,,6:30 PM,"Council Chambers and Plaza Conference Room, 500 Castro St., Mountain View, CA 94041JOINT SPECIAL MEETING OF CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=655817&GUID=9DDF6BF9-136C-45E8-A14E-BC00FDB3A802,,,MeetingDetail.aspx?ID=655817&GUID=9DDF6BF9-136C-45E8-A14E-BC00FDB3A802&Options=info&Search=,View.ashx?M=A&ID=655817&GUID=9DDF6BF9-136C-45E8-A14E-BC00FDB3A802,View.ashx?M=M&ID=655817&GUID=9DDF6BF9-136C-45E8-A14E-BC00FDB3A802,#
61,City Council,9/3/2019,,6:30 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041SPECIAL MEETING OF SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722177&GUID=B7577474-73A9-4E87-8149-BB91546F5239,,,,,,
62,Bicycle/Pedestrian Advisory Committee,8/28/2019,,6:30 PM,Plaza Conference Room,Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=672773&GUID=627628D7-39A1-4CEB-A62A-85B7A7EB9A97,,,MeetingDetail.aspx?ID=672773&GUID=627628D7-39A1-4CEB-A62A-85B7A7EB9A97&Options=info&Search=,View.ashx?M=A&ID=672773&GUID=627628D7-39A1-4CEB-A62A-85B7A7EB9A97,,#
63,Performing Arts Committee,8/21/2019,,6:15 PM,Atrium Conference Room,Meeting details,Agenda,Minutes,Not available,,,View.ashx?M=IC&ID=673922&GUID=5C078859-C67E-4BA0-98B2-90BF19D00F8E,,,MeetingDetail.aspx?ID=673922&GUID=5C078859-C67E-4BA0-98B2-90BF19D00F8E&Options=info&Search=,View.ashx?M=A&ID=673922&GUID=5C078859-C67E-4BA0-98B2-90BF19D00F8E,View.ashx?M=M&ID=673922&GUID=5C078859-C67E-4BA0-98B2-90BF19D00F8E,
64,Library Board,8/19/2019,,7:00 PM,Program Room - 2nd Floor,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=713127&GUID=649CAA28-7D0D-4955-A6FA-3ED9BAA49AD9,,,MeetingDetail.aspx?ID=713127&GUID=649CAA28-7D0D-4955-A6FA-3ED9BAA49AD9&Options=info&Search=,,View.ashx?M=M&ID=713127&GUID=649CAA28-7D0D-4955-A6FA-3ED9BAA49AD9,
65,Community Stabilization and Fair Rent Act (CSFRA) Council Ad-Hoc Subcommittee,8/19/2019,,7:00 PM,"Council Chambers, 500 Castro St., Mountain View",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=713865&GUID=F98739F5-6339-4F1C-B24C-53F71F47ED7A,,,MeetingDetail.aspx?ID=713865&GUID=F98739F5-6339-4F1C-B24C-53F71F47ED7A&Options=info&Search=,View.ashx?M=A&ID=713865&GUID=F98739F5-6339-4F1C-B24C-53F71F47ED7A,View.ashx?M=M&ID=713865&GUID=F98739F5-6339-4F1C-B24C-53F71F47ED7A,#
66,Parks and Recreation Commission and Urban Forestry Board,8/14/2019,,7:00 PM,MEETING CANCELLED,Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=711008&GUID=0F39FB77-77CF-4660-BF76-AA2457DCD831,,,MeetingDetail.aspx?ID=711008&GUID=0F39FB77-77CF-4660-BF76-AA2457DCD831&Options=info&Search=,View.ashx?M=A&ID=711008&GUID=0F39FB77-77CF-4660-BF76-AA2457DCD831,,
67,Rental Housing Committee,8/12/2019,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=713527&GUID=4FBE6F88-5CC2-4A49-830C-C770B7C5FD8C,,,MeetingDetail.aspx?ID=713527&GUID=4FBE6F88-5CC2-4A49-830C-C770B7C5FD8C&Options=info&Search=,View.ashx?M=A&ID=713527&GUID=4FBE6F88-5CC2-4A49-830C-C770B7C5FD8C,View.ashx?M=M&ID=713527&GUID=4FBE6F88-5CC2-4A49-830C-C770B7C5FD8C,#
68,City Council,7/23/2019,,6:30 PM,"Council Chambers and Plaza Conference Room, 500 Castro St., Mountain View, CA 94041JOINT MEETING OF CITY COUNCIL (REGULAR) AND SHORELINE REGIONAL PARK COMMUNITY (SPECIAL)",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=708847&GUID=DA38615B-03E5-4636-AE4A-D5044518B383,,,MeetingDetail.aspx?ID=708847&GUID=DA38615B-03E5-4636-AE4A-D5044518B383&Options=info&Search=,View.ashx?M=A&ID=708847&GUID=DA38615B-03E5-4636-AE4A-D5044518B383,View.ashx?M=M&ID=708847&GUID=DA38615B-03E5-4636-AE4A-D5044518B383,#
69,Community Stabilization and Fair Rent Act (CSFRA) Council Ad-Hoc Subcommittee,7/23/2019,,5:00 PM,"Plaza Conference Room, 500 Castro St.,                      Mountain View, CA 94041",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=711812&GUID=F89C45B9-B745-44F6-B143-416F9C094EA9,,,MeetingDetail.aspx?ID=711812&GUID=F89C45B9-B745-44F6-B143-416F9C094EA9&Options=info&Search=,View.ashx?M=A&ID=711812&GUID=F89C45B9-B745-44F6-B143-416F9C094EA9,View.ashx?M=M&ID=711812&GUID=F89C45B9-B745-44F6-B143-416F9C094EA9,#
70,Library Board,7/15/2019,,7:00 PM,Program Room - 2nd Floor,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=710594&GUID=26F015DC-B404-4F23-9113-6FF426D9ADE6,,,MeetingDetail.aspx?ID=710594&GUID=26F015DC-B404-4F23-9113-6FF426D9ADE6&Options=info&Search=,,,
