,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Audio/Video Text,Audio Text,Caption Notes Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Audio/Video URL,Audio URL,Caption Notes URL
0,City Council,2/25/2021,,8:30 AM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Study/Budget Issues Workshop",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733769&GUID=88628981-2EEF-445C-B870-7E276471F784,,,,,,,,
1,City Council,2/23/2021,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733768&GUID=F88F11F1-AE4B-44D5-8D7D-8904BFB8F4DE,,,,,,,,
2,City Council,2/2/2021,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733767&GUID=AA5EFD4F-4E7A-4D61-8829-3E27137730EF,,,,,,,,
3,City Council,1/28/2021,,8:30 AM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Strategic Plannig Workshop",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733766&GUID=FEEC36BD-0BF6-4E33-8EE2-B56FE045FBDB,,,,,,,,
4,City Council,1/26/2021,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733765&GUID=AF3AE1D7-DD8D-403C-9443-7346502BEB8D,,,,,,,,
5,City Council,1/12/2021,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733764&GUID=C2EAC5EA-DD8E-4F86-9DE9-AC73BC76F1D8,,,,,,,,
6,City Council,1/5/2021,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733758&GUID=AECC5500-0D31-4DF4-B856-9ABE34BCFFB2,,,,,,,,
7,Housing and Human Services Commission,12/23/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Meeting Canceled",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726298&GUID=581C7BBF-F065-4446-8D21-05B1CCB7E04C,,,,,,,,
8,Housing and Human Services Commission,12/16/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726291&GUID=D2473D62-810A-45D0-9E62-0FCF832A329A,,,,,,,,
9,City Council,12/8/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733757&GUID=63225169-B8AB-4EF6-9D43-8489361C29A7,,,,,,,,
10,City Council,12/1/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733756&GUID=B43F8D91-C77E-4A57-8978-31EE4B80F1DA,,,,,,,,
11,Housing and Human Services Commission,11/25/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Meeting Canceled",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726297&GUID=59D960E5-285D-4653-8756-263C78B10FE6,,,,,,,,
12,Housing and Human Services Commission,11/18/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726290&GUID=7E5FD79F-37A2-4B11-8EC3-B8422055E3F9,,,,,,,,
13,City Council,11/17/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733755&GUID=5F289CDF-9512-4976-A080-898B353E66E6,,,,,,,,
14,City Council,11/10/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733754&GUID=10E1641F-2347-44EC-85CB-766AE5BC8075,,,,,,,,
15,Housing and Human Services Commission,10/28/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726292&GUID=3E941956-1DEB-419C-8703-47285605D8D4,,,,,,,,
16,City Council,10/27/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733753&GUID=BD2F990A-719F-4C28-99CB-A4F467EBBB93,,,,,,,,
17,City Council,10/13/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733752&GUID=20A1E067-E088-41DB-9260-C20607691442,,,,,,,,
18,City Council,9/29/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733751&GUID=3557E0CF-931D-4792-9D65-C2997E0944CC,,,,,,,,
19,Parks and Recreation Commission,9/23/2020,,7:00 PM,"Council Chambers, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Meeting Canceled",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726296&GUID=4D678598-A1DF-4917-9CEE-B16513094833,,,,,,,,
20,Housing and Human Services Commission,9/16/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726288&GUID=C099CEF3-2442-4685-B78E-8332983D8776,,,,,,,,
21,City Council,9/15/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733747&GUID=8BEF88A7-7217-4FE8-9348-F676E29C87E2,,,,,,,,
22,Housing and Human Services Commission,8/26/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726287&GUID=47E0B7EB-2B01-4AD7-8534-D150963230C9,,,,,,,,
23,City Council,8/25/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733750&GUID=10F9E1EF-0414-428F-A77D-4C05F172E113,,,,,,,,
24,City Council,8/11/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733749&GUID=806838E6-D079-4836-8F27-BEE0B5C6AD27,,,,,,,,
25,City Council,7/28/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733748&GUID=033335DC-D4BA-4139-BA9C-22CD43A4A01D,,,,,,,,
26,Housing and Human Services Commission,7/22/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726286&GUID=89651340-8A8D-4082-A0EC-10703BB28CA8,,,,,,,,
27,City Council,7/14/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733746&GUID=046F610A-BCAA-4BCE-AEF0-53E1447843A1,,,,,,,,
28,City Council,6/30/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733745&GUID=A8B3D0A1-5765-4C8F-90AE-C37BD88D9708,,,,,,,,
29,Housing and Human Services Commission,6/24/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726285&GUID=522A50B1-49B2-4353-838D-72269F64E7D9,,,,,,,,
30,City Council,6/23/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733744&GUID=797FE62C-0B14-4492-9E4C-2FC0EE785C2B,,,,,,,,
31,City Council,6/9/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733743&GUID=16E8C423-E844-48CB-A6EF-3BA24B26585E,,,,,,,,
32,Housing and Human Services Commission,5/27/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726284&GUID=8504C4BE-80ED-4BD9-9D0C-74B242BA7241,,,,,,,,
33,City Council,5/21/2020,,8:30 AM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Budget Workshop",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733742&GUID=29B192B3-3165-44DA-8F36-656F3C51CD7C,,,,,,,,
34,City Council,5/19/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733741&GUID=9E13365A-8EDA-4F17-B1E5-358677A01EB1,,,,,,,,
35,City Council,5/13/2020,,6:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Speical Meeting - Board/Commission Interviews",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733740&GUID=06588A5C-C9D2-4400-B631-49BF8B10DA94,,,,,,,,
36,City Council,5/12/2020,,6:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Board/Commission Interviews",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733739&GUID=ADFA6603-08F6-485B-81C1-D58A3FADFF9E,,,,,,,,
37,City Council,5/5/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733720&GUID=074638A3-6CE5-42DD-9E99-F5CD77EFB9DC,,,,,,,,
38,City Council,4/28/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733719&GUID=B9C86CAA-C059-4DE0-9009-57BD3CCDE763,,,,,,,,
39,Housing and Human Services Commission,4/22/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Meeting Canceled",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726295&GUID=F534450F-1377-4F36-9FCC-CA6A13D351E0,,,,,,,,
40,Housing and Human Services Commission,4/15/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726283&GUID=F54E2E59-131B-4863-AFE4-9215E8ACCC0A,,,,,,,,
41,City Council,4/7/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733718&GUID=E3FB1D0F-7966-402E-A069-8A45F676DFA3,,,,,,,,
42,City Council,3/31/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733717&GUID=1FBF5F19-4006-48BF-AA26-FDF84627E933,,,,,,,,
43,Housing and Human Services Commission,3/25/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726282&GUID=014BCE59-35E6-41F0-8927-2BC4CAFD3C65,,,,,,,,
44,City Council,3/17/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733716&GUID=A0944134-5376-4F68-A7CC-7F4977B3AD93,,,,,,,,
45,City Council,2/27/2020,,8:30 AM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Study/Budget Issues Workshop",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=672145&GUID=D604310B-B54D-43BA-B222-8CAFCBF48863,,,,,,,,
46,Housing and Human Services Commission,2/26/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726281&GUID=3919C72D-E36F-4C73-9FEE-FB6B2447482A,,,,,,,,
47,City Council,2/25/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=721732&GUID=30121412-B178-4468-B9FB-0554E13648B6,,,,,,,,
48,Zoning Administrator Hearing,2/12/2020,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=661696&GUID=B8F60BEC-B7EE-4EA3-9838-EC7D8790E7AC,,,,,,,,
49,Zoning Administrator Hearing,2/12/2020,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=661697&GUID=FF8BEE4B-AEC3-4298-BE0C-75547E5D228B,,,,,,,,
50,City Council,2/7/2020,,8:30 AM,"Sunnyvale Community Center - Community Room, 550 East Remington Drive, Sunnyvale, CA 94086Strategic Planning Workshop",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=672141&GUID=B93FFF01-4EED-44EC-AE16-35C3F3B33880,,,,,,,,
51,City Council,2/4/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=672142&GUID=84C00A79-A37B-4212-B674-D1C2BFEB51D8,,,,,,,,
52,Board of Library Trustees,2/3/2020,,7:00 PM,"Library Program Room, Sunnyvale Public Library, 665 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=673464&GUID=9AEC5136-A151-4BE9-BB09-47B1C3DBB07D,,,,,,,,
53,Zoning Administrator Hearing,1/29/2020,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=661700&GUID=978A56AA-A4EC-4F81-A365-BAC196911097,,,,,,,,
54,Housing and Human Services Commission,1/22/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Meeting Canceled",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=652384&GUID=EE814B0A-96E6-4FD0-AC55-DAC5A40BCE6E,,,,,,,,
55,Sustainability Commission,1/21/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=661699&GUID=D03E6937-D41E-41A9-A9E5-2D2B295E58A2,,,,,,,,
56,Housing and Human Services Commission,1/15/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726289&GUID=5694CEF1-E493-4586-A6AF-820D69DE12DB,,,,,,,,
57,Arts Commission,1/15/2020,,7:00 PM,"Laurel Room - Senior Center, Sunnyvale Community Center, 550 E. Remington Dr., Sunnyvale, CA 94087",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=732808&GUID=FABBE4B6-4C6C-4D26-B8A6-6F8AF74A9140,,,,,,,,
58,Zoning Administrator Hearing,1/15/2020,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=661695&GUID=75FDA880-6273-43A0-B0E9-B6D1171A0FD6,,,,,,,,
59,Zoning Administrator Hearing,1/15/2020,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=661701&GUID=6E96D335-199C-475C-A809-6F723F98640D,,,,,,,,
60,City Council,1/14/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=672207&GUID=1291824C-5535-42E8-9C2E-9C8A91587CEA,,,,,,,,
61,Parks and Recreation Commission,1/8/2020,,7:00 PM,"Laurel Room - Senior Center, Sunnyvale Community Center, 550 E. Remington Dr., Sunnyvale, CA 94087Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=732809&GUID=6F5BA739-969E-4267-A496-4DF81BAD2A15,,,,,,,,
62,City Council,1/7/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=672138&GUID=628E3E9C-4F11-47B7-AE81-7603BD263BE3,,,,,,,,
63,Board of Library Trustees,1/6/2020,,7:00 PM,"Library Program Room, Sunnyvale Public Library, 665 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=716345&GUID=879C5885-06E4-4E99-8A72-D3BFEFF6855E,,,,,,,,
64,Housing and Human Services Commission,12/25/2019,,7:00 PM,Meeting Canceled,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=599458&GUID=28417222-B867-4089-A0CF-5AFF844BC297,,,,,,,,
65,Bicycle and Pedestrian Advisory Commission,12/19/2019,,6:30 PM,"Council Chambers, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=672101&GUID=C4E58A33-BDE5-45B9-88BF-74598ED26195,,,,,,,,
66,Arts Commission,12/18/2019,,7:00 PM,"Neighborhood Room - Recreation Center, Sunnyvale Community Center, 550 E. Remington Dr., Sunnyvale, CA 94087",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=707434&GUID=70B23CAC-088B-4E77-87F3-9FC3632CDF06,,,,,,,,
67,Sustainability Commission,12/16/2019,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=673468&GUID=518C2E3C-A7D5-4097-9185-54E123EA48F7,,,,,,,,
68,Parks and Recreation Commission,12/11/2019,,7:00 PM,"Neighborhood Room - Recreation Center, Sunnyvale Community Center, 550 E. Remington Dr., Sunnyvale, CA 94087",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=651889&GUID=FC5F6F31-BAA4-4841-ABDB-B6358AE93381,,,,,,,,
69,Zoning Administrator Hearing,12/11/2019,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=661693&GUID=47C78100-4C3E-4476-B3B3-833F5D6B6C04,,,,,,,,
70,City Council,12/10/2019,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=672137&GUID=048DCF8D-F4C8-4CB3-9FC7-8CB2E779D4AE,,,,,,,,
71,Planning Commission,12/9/2019,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Study Session - 6:00 PM | Special Meeting - Public Hearing 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=661675&GUID=0AF69B53-9CF7-4163-A7D2-6CAE855D0C52,,,,,,,,
72,City Council,12/3/2019,,5:30 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting: Closed Session - 5:30 PM | Special Meeting: Closed Session - 6:30 PM | Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=672136&GUID=A0B7AC2C-1DD4-4A83-A26B-F7EFA6A38F57,,,,,,,,
73,Board of Library Trustees,12/2/2019,,7:00 PM,MEETING CANCELED,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=670217&GUID=C3B9883F-7AD7-4BE5-A604-8D35EF2F4238,,,,,,,,
74,Housing and Human Services Commission,11/27/2019,,7:00 PM,Meeting Canceled,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=652391&GUID=2435C88E-9246-4FD1-9799-3A88D9841F4A,,,,,,,,
75,Zoning Administrator Hearing,11/27/2019,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=661692&GUID=56EAD26B-DE3D-4258-BA27-627C3F8752A8,,,,,,,,
76,Planning Commission,11/25/2019,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Study Session - 6:00 PM | Special Meeting - Public Hearing 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=661674&GUID=0141CD95-A8EA-41AB-AEDB-A77D93FEFC89,,,,,,,,
77,Bicycle and Pedestrian Advisory Commission,11/21/2019,,6:30 PM,"Council Chambers, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=672100&GUID=0ED61627-1A9F-421D-9587-23FA98C104D1,,,,,,,,
78,City Council: Community Meeting Notice,11/21/2019,,6:00 PM,"Sunnyvale Community Center
Ballroom
550 East Remington Drive
Sunnyvale, CA 94087Special Meeting of the City Council: ""Housing Strategy Final Open House: Prioritizing Sunnyvale’s Housing Needs""",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=725570&GUID=E28EC9A5-2DA8-4CAA-B2D0-C9653B74DF7D,,,MeetingDetail.aspx?ID=725570&GUID=E28EC9A5-2DA8-4CAA-B2D0-C9653B74DF7D&Options=info&Search=,View.ashx?M=A&ID=725570&GUID=E28EC9A5-2DA8-4CAA-B2D0-C9653B74DF7D,,,,
79,Housing and Human Services Commission,11/20/2019,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=652387&GUID=0665A158-52F9-490E-B8CD-67B63FA3B0E6,,,,,,,,
80,Arts Commission,11/20/2019,,7:00 PM,"Neighborhood Room - Recreation Center, Sunnyvale Community Center, 550 E. Remington Dr., Sunnyvale, CA 94087",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=670216&GUID=C73AC5AB-EF26-4ACD-8981-63E0F59EC0C3,,,,,,,,
81,Board of Library Trustees,11/18/2019,,7:00 PM,"Library Program Room, Sunnyvale Public Library, 665 W. Olive Ave., Sunnyvale, CA 94086Special Meeting",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=651878&GUID=E290D26C-F479-4A1B-83FD-A4580278B8E8,,,,,,,,
82,Sustainability Commission,11/18/2019,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=673467&GUID=EB023063-2487-4E05-B571-C32D329F269B,,,,,,,,
83,Parks and Recreation Commission,11/13/2019,,7:00 PM,"Neighborhood Room - Recreation Center, Sunnyvale Community Center, 550 E. Remington Dr., Sunnyvale, CA 94087",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=651888&GUID=011CDD3B-5181-4A26-8066-BF1BDA45A80B,,,,,,,,
