,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Audio/Video Text,Audio Text,Caption Notes Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Audio/Video URL,Audio URL,Caption Notes URL
1,Board of Library Trustees,8/6/2018,,7:00 PM,"Library Program Room, Sunnyvale Public Library, 665 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=587265&GUID=8ED76BCE-2A96-42DB-92DB-A3FCD7B19EB0,,,MeetingDetail.aspx?ID=587265&GUID=8ED76BCE-2A96-42DB-92DB-A3FCD7B19EB0&Options=info&Search=,View.ashx?M=A&ID=587265&GUID=8ED76BCE-2A96-42DB-92DB-A3FCD7B19EB0,View.ashx?M=M&ID=587265&GUID=8ED76BCE-2A96-42DB-92DB-A3FCD7B19EB0,#,#,#
2,Climate Action Plan 2.0 Advisory Committee,8/2/2018,,6:30 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=601337&GUID=092B5612-ADF8-45A6-A299-7D6ADC6500F6,,,MeetingDetail.aspx?ID=601337&GUID=092B5612-ADF8-45A6-A299-7D6ADC6500F6&Options=info&Search=,View.ashx?M=A&ID=601337&GUID=092B5612-ADF8-45A6-A299-7D6ADC6500F6,,,,
3,Heritage Preservation Commission,8/1/2018,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=582145&GUID=09A02B9D-94DB-4993-B92E-5E0E5140AFE2,,,MeetingDetail.aspx?ID=582145&GUID=09A02B9D-94DB-4993-B92E-5E0E5140AFE2&Options=info&Search=,View.ashx?M=A&ID=582145&GUID=09A02B9D-94DB-4993-B92E-5E0E5140AFE2,View.ashx?M=M&ID=582145&GUID=09A02B9D-94DB-4993-B92E-5E0E5140AFE2,#,#,#
4,City Council,7/31/2018,,4:00 PM,"Council Chambers, West Conference Room and Sunnyvale Public Library Plaza, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meetings: Closed Session - 4:00 PM | Study Session - 5:30 PM | Open House - 6:30 PM | Regular Meeting - 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=573855&GUID=062908FE-C7D6-4B12-ABDB-E285EA4F1356,,,MeetingDetail.aspx?ID=573855&GUID=062908FE-C7D6-4B12-ABDB-E285EA4F1356&Options=info&Search=,View.ashx?M=A&ID=573855&GUID=062908FE-C7D6-4B12-ABDB-E285EA4F1356,View.ashx?M=M&ID=573855&GUID=062908FE-C7D6-4B12-ABDB-E285EA4F1356,#,#,#
5,Climate Action Plan 2.0 Advisory Committee,7/30/2018,,5:30 PM,"LinkedIn - Yosemite Room (2nd floor), 
605 W. Maude Ave., Sunnyvale, CA 94085Special Meeting: Innovate Climate Action in Sunnyvale - Pitch Event",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=618095&GUID=58D79379-5C5E-42D7-9C7C-ED5E839D1F9A,,,MeetingDetail.aspx?ID=618095&GUID=58D79379-5C5E-42D7-9C7C-ED5E839D1F9A&Options=info&Search=,View.ashx?M=A&ID=618095&GUID=58D79379-5C5E-42D7-9C7C-ED5E839D1F9A,,,,
6,Sustainability Commission,7/30/2018,,5:30 PM,"LinkedIn - Yosemite Room (2nd floor),
605 W. Maude Ave., Sunnyvale, CA 94085Special Meeting: Innovate Climate Action in Sunnyvale - Pitch Event",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=618104&GUID=DF919581-88F6-41C3-9C1C-E5692DFF617A,,,MeetingDetail.aspx?ID=618104&GUID=DF919581-88F6-41C3-9C1C-E5692DFF617A&Options=info&Search=,View.ashx?M=A&ID=618104&GUID=DF919581-88F6-41C3-9C1C-E5692DFF617A,,,,
7,City Council,7/30/2018,,5:30 PM,"LinkedIn - Yosemite Room (2nd floor),
605 W. Maude Ave., Sunnyvale, CA 94085Special Meeting: Innovate Climate Action in Sunnyvale - Pitch Event",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=618123&GUID=741044D2-04C8-4442-AE1F-C2927EE4E160,,,MeetingDetail.aspx?ID=618123&GUID=741044D2-04C8-4442-AE1F-C2927EE4E160&Options=info&Search=,View.ashx?M=A&ID=618123&GUID=741044D2-04C8-4442-AE1F-C2927EE4E160,,,,
8,Housing and Human Services Commission,7/25/2018,,7:00 PM,Meeting Canceled,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=575493&GUID=25AE4E5F-DCE2-4002-94FB-14DE897E8DAD,,,,,,,,
9,Zoning Administrator Hearing,7/25/2018,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086MEETING CANCELLED",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=611221&GUID=9641DC53-B030-4093-BA05-56CD6C192CCC,,,,,,,,
10,Planning Commission,7/23/2018,,6:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Study Session - 6:00 PM | Special Meeting - Public Hearing 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=575384&GUID=E4A53C8E-C5BA-41D2-9AEA-B7377C56B83E,,,MeetingDetail.aspx?ID=575384&GUID=E4A53C8E-C5BA-41D2-9AEA-B7377C56B83E&Options=info&Search=,View.ashx?M=A&ID=575384&GUID=E4A53C8E-C5BA-41D2-9AEA-B7377C56B83E,View.ashx?M=M&ID=575384&GUID=E4A53C8E-C5BA-41D2-9AEA-B7377C56B83E,#,#,#
11,Planning Commission,7/23/2018,,6:00 PM,Special Meeting - Study Session (Audio Only)Study Session - 6:00 PM,Meeting details,Agenda,Not available,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=618061&GUID=8A4DE00D-443A-48E9-8188-545FF783FB17,,,MeetingDetail.aspx?ID=618061&GUID=8A4DE00D-443A-48E9-8188-545FF783FB17&Options=info&Search=,View.ashx?M=A&ID=618061&GUID=8A4DE00D-443A-48E9-8188-545FF783FB17,,#,#,#
12,Bicycle and Pedestrian Advisory Commission,7/19/2018,,6:30 PM,"Council Chambers, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=574313&GUID=CDE8E2F9-6C7E-4440-9862-2DAEB665E0AA,,,MeetingDetail.aspx?ID=574313&GUID=CDE8E2F9-6C7E-4440-9862-2DAEB665E0AA&Options=info&Search=,View.ashx?M=A&ID=574313&GUID=CDE8E2F9-6C7E-4440-9862-2DAEB665E0AA,View.ashx?M=M&ID=574313&GUID=CDE8E2F9-6C7E-4440-9862-2DAEB665E0AA,#,#,#
13,Arts Commission,7/18/2018,,7:00 PM,"Laurel Room - Senior Center, Sunnyvale Community Center, 550 E. Remington Dr., Sunnyvale, CA 94087",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=586102&GUID=67B42A9D-3EB3-4CDE-B482-B2A0606C1AF2,,,MeetingDetail.aspx?ID=586102&GUID=67B42A9D-3EB3-4CDE-B482-B2A0606C1AF2&Options=info&Search=,View.ashx?M=A&ID=586102&GUID=67B42A9D-3EB3-4CDE-B482-B2A0606C1AF2,View.ashx?M=M&ID=586102&GUID=67B42A9D-3EB3-4CDE-B482-B2A0606C1AF2,#,#,#
14,City Council,7/17/2018,,4:30 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Closed Session- 4:30 PM | Regular Meeting- 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=573854&GUID=D5EEDB6A-FBCA-43EE-A7A7-188409580EA6,,,MeetingDetail.aspx?ID=573854&GUID=D5EEDB6A-FBCA-43EE-A7A7-188409580EA6&Options=info&Search=,View.ashx?M=A&ID=573854&GUID=D5EEDB6A-FBCA-43EE-A7A7-188409580EA6,View.ashx?M=M&ID=573854&GUID=D5EEDB6A-FBCA-43EE-A7A7-188409580EA6,#,#,#
