,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video/Audio Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video/Audio URL
0,City Council,12/16/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714109&GUID=2D5F4000-7FE0-4222-9331-87119FF9C665,,,,,,
1,City Council,12/9/2019,,7:00 PM,City Council ChambersWork Session,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714108&GUID=BDCD2286-FD11-4A98-908D-BFBCB2676911,,,,,,
2,Planning Commission and Board of Zoning Adjustments,12/5/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=718065&GUID=5281685F-DF2A-4AFD-9CEB-D63E8A6874FC,,,,,,
3,City Council,12/2/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714107&GUID=1E7F0307-9214-4EE1-A6F9-CB00820E60BA,,,,,,
4,City Council,11/18/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714106&GUID=EDD2764D-CC8A-475E-A4BE-59CF3E0F6B67,,,,,,
5,City Council,11/12/2019,,7:00 PM,City Council ChambersWork Session,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714105&GUID=527EF6DA-BEBD-4C7D-BFEC-663E7ACFF5E7,,,,,,
6,Planning Commission and Board of Zoning Adjustments,11/7/2019,,7:00 PM,City Council ChambersMEETING CANCELLED,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=718064&GUID=BAE5C11B-FC9B-4293-91D3-9C40ED86ACE0,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=718064&GUID=BAE5C11B-FC9B-4293-91D3-9C40ED86ACE0&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=718064&GUID=BAE5C11B-FC9B-4293-91D3-9C40ED86ACE0,,
7,Facilities & Transportation Committee,11/6/2019,,4:00 PM,"City Hall, Sister Cities Gallery",Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=732938&GUID=97760F8B-F6BA-4F4D-B786-F19B6E017AB2,,,,,,
8,City Council,11/4/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714104&GUID=014120BC-20ED-4D40-982A-78C5F01FA4FE,,,,,,
9,Human Services Commission,10/23/2019,,7:00 PM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=726807&GUID=7F05ECBC-38F8-4818-8210-A61D67E58A33,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=726807&GUID=7F05ECBC-38F8-4818-8210-A61D67E58A33&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=726807&GUID=7F05ECBC-38F8-4818-8210-A61D67E58A33,,
10,Arts Commission,10/23/2019,,6:30 PM,"Historic Peralta House
561 Lafayette Ave., San Leandro, CA 94577Note location change: the Arts Commission meeting of Wednesday, October 23 will be held at the Historic Peralta House at 561 Lafayette Ave., San Leandro.",Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=722329&GUID=240491FB-FE19-4011-8F75-34B9D3159E92,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=722329&GUID=240491FB-FE19-4011-8F75-34B9D3159E92&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=722329&GUID=240491FB-FE19-4011-8F75-34B9D3159E92,,https://sanleandro.legistar.com/#
11,Rent Review Board,10/22/2019,,7:00 PM,City Council Chambers,Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=726660&GUID=DFC9642D-723D-4FA5-9E33-8490EB88D6E2,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=726660&GUID=DFC9642D-723D-4FA5-9E33-8490EB88D6E2&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=726660&GUID=DFC9642D-723D-4FA5-9E33-8490EB88D6E2,,https://sanleandro.legistar.com/#
12,City Council,10/22/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=732937&GUID=C9A3B5BA-5913-419D-93DF-36CA46987747,,,,,,
13,City Council,10/21/2019,,7:00 PM,City Council Chambers,Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714103&GUID=91E6EF53-9279-4DD6-885A-63FF4D34207E,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=714103&GUID=91E6EF53-9279-4DD6-885A-63FF4D34207E&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=714103&GUID=91E6EF53-9279-4DD6-885A-63FF4D34207E,,https://sanleandro.legistar.com/#
14,City Council,10/21/2019,,6:00 PM,City Manager's Large Conference RoomSpecial Meeting and Closed Session,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=726931&GUID=AA76FAF2-A640-4DB4-BD0B-55443A4D1299,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=726931&GUID=AA76FAF2-A640-4DB4-BD0B-55443A4D1299&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=726931&GUID=AA76FAF2-A640-4DB4-BD0B-55443A4D1299,,
15,Personnel Relations Board,10/17/2019,,5:30 PM,"City Hall, Human Resources Conference RoomNotice of Cancellation",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=676100&GUID=76288FEA-699A-4CD3-B46D-C605DBBA6F6D,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=676100&GUID=76288FEA-699A-4CD3-B46D-C605DBBA6F6D&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=676100&GUID=76288FEA-699A-4CD3-B46D-C605DBBA6F6D,,
16,Senior Commission,10/17/2019,,1:00 PM,Senior Community Center 13909 E. 14th St.Notice of Special Meeting - Senior Commission Forum,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=726861&GUID=B52DD0FB-5E9E-4614-8B76-247D507F3350,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=726861&GUID=B52DD0FB-5E9E-4614-8B76-247D507F3350&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=726861&GUID=B52DD0FB-5E9E-4614-8B76-247D507F3350,,
17,Senior Commission,10/17/2019,,10:00 AM,Senior Community Center 13909 E. 14th St.,Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=725860&GUID=8070CC73-AC51-49AC-B8EE-239FCA60F01D,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=725860&GUID=8070CC73-AC51-49AC-B8EE-239FCA60F01D&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=725860&GUID=8070CC73-AC51-49AC-B8EE-239FCA60F01D,,https://sanleandro.legistar.com/#
18,Library-Historical Commission,10/15/2019,,7:00 PM,"Main Library, Conference Room BMEETING CANCELLED",Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=722033&GUID=8393FBF9-AA40-4F50-AC2D-056A2B16F659,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=722033&GUID=8393FBF9-AA40-4F50-AC2D-056A2B16F659&Options=info&Search=,,,
19,City Council,10/14/2019,,7:00 PM,City Council ChambersNotice of Cancellation,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714102&GUID=907C3BF9-AEA3-4170-B74E-30E0D412CEBC,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=714102&GUID=907C3BF9-AEA3-4170-B74E-30E0D412CEBC&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=714102&GUID=907C3BF9-AEA3-4170-B74E-30E0D412CEBC,,
20,Rules Committee,10/10/2019,,8:30 AM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=724154&GUID=2DD1786B-7037-4C6E-9BB0-E97A30B79771,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=724154&GUID=2DD1786B-7037-4C6E-9BB0-E97A30B79771&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=724154&GUID=2DD1786B-7037-4C6E-9BB0-E97A30B79771,,https://sanleandro.legistar.com/#
21,City Council,10/9/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=725859&GUID=FF52023C-C76A-4399-A761-55734B700B19,,,,,,
22,Finance Committee,10/8/2019,,5:30 PM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=724781&GUID=4945B6A7-8E8E-4F84-A27A-5B9A7E5E94CC,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=724781&GUID=4945B6A7-8E8E-4F84-A27A-5B9A7E5E94CC&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=724781&GUID=4945B6A7-8E8E-4F84-A27A-5B9A7E5E94CC,,https://sanleandro.legistar.com/#
23,City Council,10/7/2019,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714101&GUID=540E3A45-2299-441A-994C-5105E4C7DAD4,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=714101&GUID=540E3A45-2299-441A-994C-5105E4C7DAD4&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=714101&GUID=540E3A45-2299-441A-994C-5105E4C7DAD4,https://sanleandro.legistar.com/View.ashx?M=M&ID=714101&GUID=540E3A45-2299-441A-994C-5105E4C7DAD4,https://sanleandro.legistar.com/#
24,City Council,10/7/2019,,6:00 PM,City Manager's Large Conference RoomSpecial Meeting in Closed Session,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=724046&GUID=24D4C3B5-36B0-4823-8966-711C543D0381,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=724046&GUID=24D4C3B5-36B0-4823-8966-711C543D0381&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=724046&GUID=24D4C3B5-36B0-4823-8966-711C543D0381,,
25,Planning Commission and Board of Zoning Adjustments,10/3/2019,,7:00 PM,City Council Chambers,Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=718062&GUID=53CBD3D3-E547-4F8C-B30A-931C3DC3B1B9,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=718062&GUID=53CBD3D3-E547-4F8C-B30A-931C3DC3B1B9&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=718062&GUID=53CBD3D3-E547-4F8C-B30A-931C3DC3B1B9,,https://sanleandro.legistar.com/#
26,Recreation and Parks Commission,10/2/2019,,7:00 PM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=723642&GUID=480FFB31-B61A-4CAB-9B99-812F111ACBD6,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=723642&GUID=480FFB31-B61A-4CAB-9B99-812F111ACBD6&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=723642&GUID=480FFB31-B61A-4CAB-9B99-812F111ACBD6,,
27,Facilities & Transportation Committee,10/2/2019,,4:00 PM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=722733&GUID=55284DBD-E367-4894-9EB8-16CFFBDFEC8C,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=722733&GUID=55284DBD-E367-4894-9EB8-16CFFBDFEC8C&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=722733&GUID=55284DBD-E367-4894-9EB8-16CFFBDFEC8C,,https://sanleandro.legistar.com/#
28,Library-Historical Commission,10/1/2019,,10:00 AM,"Main Library, Conference Room B*SPECIAL MEETING*",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=723255&GUID=37C2917D-9AF0-4A2C-A467-373806FA95CD,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=723255&GUID=37C2917D-9AF0-4A2C-A467-373806FA95CD&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=723255&GUID=37C2917D-9AF0-4A2C-A467-373806FA95CD,,
29,Human Services Commission,9/25/2019,,7:00 PM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=721576&GUID=F5D0C546-0F79-4A4E-A3C2-25172B47B2E6,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=721576&GUID=F5D0C546-0F79-4A4E-A3C2-25172B47B2E6&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=721576&GUID=F5D0C546-0F79-4A4E-A3C2-25172B47B2E6,,https://sanleandro.legistar.com/#
30,Arts Commission,9/25/2019,,6:30 PM,"City Hall, First Floor Suite 109MEETING CANCELLED",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=722341&GUID=303F4F1C-FF9F-47CA-ACD2-6DEF3899B145,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=722341&GUID=303F4F1C-FF9F-47CA-ACD2-6DEF3899B145&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=722341&GUID=303F4F1C-FF9F-47CA-ACD2-6DEF3899B145,,
31,Rent Review Board,9/24/2019,,7:00 PM,City Council ChambersMEETING CANCELLED,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=720977&GUID=842DC01F-7126-438D-9B78-4A7D91A4CF12,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=720977&GUID=842DC01F-7126-438D-9B78-4A7D91A4CF12&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=720977&GUID=842DC01F-7126-438D-9B78-4A7D91A4CF12,,
32,Senior Commission,9/19/2019,,10:00 AM,Senior Community Center 13909 E. 14th St.,Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=720613&GUID=F0E24463-8438-4BAE-A51A-6799488EE9EA,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=720613&GUID=F0E24463-8438-4BAE-A51A-6799488EE9EA&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=720613&GUID=F0E24463-8438-4BAE-A51A-6799488EE9EA,,https://sanleandro.legistar.com/#
33,Library-Historical Commission,9/17/2019,,7:00 PM,"Main Library, Conference Room B",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=722032&GUID=83AA7598-B1E2-4C53-B161-2924DA5CBADF,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=722032&GUID=83AA7598-B1E2-4C53-B161-2924DA5CBADF&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=722032&GUID=83AA7598-B1E2-4C53-B161-2924DA5CBADF,,
34,City Council,9/16/2019,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714100&GUID=2ADBE928-1551-4950-AC0B-BCE142373AF8,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=714100&GUID=2ADBE928-1551-4950-AC0B-BCE142373AF8&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=714100&GUID=2ADBE928-1551-4950-AC0B-BCE142373AF8,https://sanleandro.legistar.com/View.ashx?M=M&ID=714100&GUID=2ADBE928-1551-4950-AC0B-BCE142373AF8,https://sanleandro.legistar.com/#
35,City Council,9/16/2019,,5:30 PM,City Manager's Large Conference RoomSpecial Meeting in Closed Session,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=720192&GUID=3CE17927-0826-4DE9-800E-0056F821E785,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=720192&GUID=3CE17927-0826-4DE9-800E-0056F821E785&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=720192&GUID=3CE17927-0826-4DE9-800E-0056F821E785,,
36,Rules Committee,9/12/2019,,8:30 AM,"City Hall, Sister Cities GalleryNotice of Cancellation",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=719189&GUID=5F1D100D-1C54-4663-A780-0C51FEEC6603,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=719189&GUID=5F1D100D-1C54-4663-A780-0C51FEEC6603&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=719189&GUID=5F1D100D-1C54-4663-A780-0C51FEEC6603,,
37,Arts Commission,9/11/2019,,6:30 PM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=719959&GUID=79696854-A1A1-4507-94A6-67DEE3646E99,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=719959&GUID=79696854-A1A1-4507-94A6-67DEE3646E99&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=719959&GUID=79696854-A1A1-4507-94A6-67DEE3646E99,,https://sanleandro.legistar.com/#
38,Finance Committee,9/10/2019,,5:30 PM,"City Hall, Sister Cities GalleryMEETING CANCELLED",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=719927&GUID=7B4EDB36-9786-4E33-9085-BBD0EEB4238E,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=719927&GUID=7B4EDB36-9786-4E33-9085-BBD0EEB4238E&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=719927&GUID=7B4EDB36-9786-4E33-9085-BBD0EEB4238E,,
39,City Council,9/9/2019,,7:00 PM,City Council ChambersNotice of Cancellation,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714099&GUID=062285BA-A5FA-4FBC-B886-6CCC22339F95,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=714099&GUID=062285BA-A5FA-4FBC-B886-6CCC22339F95&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=714099&GUID=062285BA-A5FA-4FBC-B886-6CCC22339F95,,
40,Planning Commission and Board of Zoning Adjustments,9/5/2019,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=712084&GUID=3F3CDDC7-08D0-4DF0-A3B7-8D3CF594A6E8,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=712084&GUID=3F3CDDC7-08D0-4DF0-A3B7-8D3CF594A6E8&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=712084&GUID=3F3CDDC7-08D0-4DF0-A3B7-8D3CF594A6E8,https://sanleandro.legistar.com/View.ashx?M=M&ID=712084&GUID=3F3CDDC7-08D0-4DF0-A3B7-8D3CF594A6E8,https://sanleandro.legistar.com/#
41,Recreation and Parks Commission,9/4/2019,,7:00 PM,"City Hall, Sister Cities GalleryMEETING CANCELLED",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=718218&GUID=F766E93B-1BF4-4D66-A87B-75F7D23DD03D,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=718218&GUID=F766E93B-1BF4-4D66-A87B-75F7D23DD03D&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=718218&GUID=F766E93B-1BF4-4D66-A87B-75F7D23DD03D,,
42,Facilities & Transportation Committee,9/4/2019,,4:00 PM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=715149&GUID=98942EFA-6395-4CEB-A394-2F9D74C83B16,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=715149&GUID=98942EFA-6395-4CEB-A394-2F9D74C83B16&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=715149&GUID=98942EFA-6395-4CEB-A394-2F9D74C83B16,,https://sanleandro.legistar.com/#
43,City Council,9/3/2019,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=710398&GUID=84E9CECD-BAE5-4322-A688-93AA5A1B1D6F,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=710398&GUID=84E9CECD-BAE5-4322-A688-93AA5A1B1D6F&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=710398&GUID=84E9CECD-BAE5-4322-A688-93AA5A1B1D6F,https://sanleandro.legistar.com/View.ashx?M=M&ID=710398&GUID=84E9CECD-BAE5-4322-A688-93AA5A1B1D6F,https://sanleandro.legistar.com/#
44,City Council,9/3/2019,,5:30 PM,City Manager's Large Conference RoomSpecial Meeting in Closed Session,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=710397&GUID=80269C3D-5A1E-4DCD-A654-8A15ED021AFA,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=710397&GUID=80269C3D-5A1E-4DCD-A654-8A15ED021AFA&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=710397&GUID=80269C3D-5A1E-4DCD-A654-8A15ED021AFA,,
45,Human Services Commission,8/28/2019,,7:00 PM,"City Hall, Sister Cities GalleryMEETING CANCELLED",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=718016&GUID=F3E7CCD2-7D02-42AE-BDF8-E90A8EA8FC26,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=718016&GUID=F3E7CCD2-7D02-42AE-BDF8-E90A8EA8FC26&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=718016&GUID=F3E7CCD2-7D02-42AE-BDF8-E90A8EA8FC26,,
46,Arts Commission,8/28/2019,,6:30 PM,"City Hall, First Floor, Suite 109MEETING CANCELLED",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=712229&GUID=FA2E2B32-DAD2-46B9-9B39-046931861985,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=712229&GUID=FA2E2B32-DAD2-46B9-9B39-046931861985&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=712229&GUID=FA2E2B32-DAD2-46B9-9B39-046931861985,,
47,Personnel Relations Board,8/28/2019,,5:30 PM,"City Hall, Human Resources Conference RoomSpecial Meeting",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=716695&GUID=8D58A267-184C-4A6A-8D06-DEDD0299A293,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=716695&GUID=8D58A267-184C-4A6A-8D06-DEDD0299A293&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=716695&GUID=8D58A267-184C-4A6A-8D06-DEDD0299A293,,
48,Rent Review Board,8/27/2019,,7:00 PM,City Council ChambersMEETING CANCELLED,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=715365&GUID=7A11AC37-EF53-4E21-AC3E-5B1AE6A2CB22,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=715365&GUID=7A11AC37-EF53-4E21-AC3E-5B1AE6A2CB22&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=715365&GUID=7A11AC37-EF53-4E21-AC3E-5B1AE6A2CB22,,
49,Library-Historical Commission,8/20/2019,,7:00 PM,"Main Library, Conference Room BMEETING CANCELLED",Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=716660&GUID=91AD0C2C-B26B-4884-B4CA-E91CBB65FD57,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=716660&GUID=91AD0C2C-B26B-4884-B4CA-E91CBB65FD57&Options=info&Search=,,,
50,Senior Commission,8/15/2019,,10:00 AM,Senior Community Center 13909 E. 14th St.MEETING CANCELLED,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714231&GUID=8A6140D8-92BE-45B8-BAC3-482A2E0EC35C,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=714231&GUID=8A6140D8-92BE-45B8-BAC3-482A2E0EC35C&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=714231&GUID=8A6140D8-92BE-45B8-BAC3-482A2E0EC35C,,
51,Rules Committee,8/8/2019,,8:30 AM,"City Hall, Sister Cities GalleryNotice of Cancellation",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714511&GUID=9F6EA3F4-B81D-41C8-8302-E7296AF3AE4B,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=714511&GUID=9F6EA3F4-B81D-41C8-8302-E7296AF3AE4B&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=714511&GUID=9F6EA3F4-B81D-41C8-8302-E7296AF3AE4B,,
52,Recreation and Parks Commission,8/7/2019,,7:00 PM,"City Hall, Sister Cities GalleryMEETING CANCELLED",Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714255&GUID=5377A9A3-ECA4-4962-A398-FE8A8A4FD17F,,,,,,
53,Planning Commission and Board of Zoning Adjustments,8/1/2019,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=709074&GUID=0D7CB0ED-92E7-42FB-A4CE-8B9607EC6B21,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=709074&GUID=0D7CB0ED-92E7-42FB-A4CE-8B9607EC6B21&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=709074&GUID=0D7CB0ED-92E7-42FB-A4CE-8B9607EC6B21,https://sanleandro.legistar.com/View.ashx?M=M&ID=709074&GUID=0D7CB0ED-92E7-42FB-A4CE-8B9607EC6B21,https://sanleandro.legistar.com/#
54,Human Services Commission,7/24/2019,,7:00 PM,"City Hall, Sister Cities GalleryMEETING CANCELLED",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=712068&GUID=0CDC3A7E-4B4B-4A8C-94B0-EE1545567F39,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=712068&GUID=0CDC3A7E-4B4B-4A8C-94B0-EE1545567F39&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=712068&GUID=0CDC3A7E-4B4B-4A8C-94B0-EE1545567F39,,
