,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video/Audio Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video/Audio URL
42,City Council,9/4/2018,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=619189&GUID=D4D79B7B-3575-4527-9FE2-6150504F54FF,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=619189&GUID=D4D79B7B-3575-4527-9FE2-6150504F54FF&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=619189&GUID=D4D79B7B-3575-4527-9FE2-6150504F54FF,https://sanleandro.legistar.com/View.ashx?M=M&ID=619189&GUID=D4D79B7B-3575-4527-9FE2-6150504F54FF,https://sanleandro.legistar.com/#
43,City Council,9/4/2018,,5:30 PM,City Manager's Large Conference RoomSpecial Meeting and Closed Session,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=628486&GUID=A859C1FA-7615-4D8C-8148-5B24182496BB,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=628486&GUID=A859C1FA-7615-4D8C-8148-5B24182496BB&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=628486&GUID=A859C1FA-7615-4D8C-8148-5B24182496BB,,
44,City Council,8/31/2018,,7:00 PM,City Council ChambersAugust Recess,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=631503&GUID=5FA0B237-9B2D-462D-8A97-FA529CCCBB82,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=631503&GUID=5FA0B237-9B2D-462D-8A97-FA529CCCBB82&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=631503&GUID=5FA0B237-9B2D-462D-8A97-FA529CCCBB82,,
45,Rent Review Board,8/28/2018,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=620994&GUID=83F6D478-8A48-4F80-9DA1-EE883C15A4C8,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=620994&GUID=83F6D478-8A48-4F80-9DA1-EE883C15A4C8&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=620994&GUID=83F6D478-8A48-4F80-9DA1-EE883C15A4C8,https://sanleandro.legistar.com/View.ashx?M=M&ID=620994&GUID=83F6D478-8A48-4F80-9DA1-EE883C15A4C8,https://sanleandro.legistar.com/#
46,Human Services Commission,8/22/2018,,7:00 PM,"City Hall, Sister Cities GalleryMEETING CANCELLED",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=624719&GUID=7354E288-F2F8-42D2-9EFB-03BD2DBE6F00,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=624719&GUID=7354E288-F2F8-42D2-9EFB-03BD2DBE6F00&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=624719&GUID=7354E288-F2F8-42D2-9EFB-03BD2DBE6F00,,
47,Planning Commission,8/16/2018,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=610772&GUID=487DC404-0F89-4F9E-8A7F-4E96F7478FE7,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=610772&GUID=487DC404-0F89-4F9E-8A7F-4E96F7478FE7&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=610772&GUID=487DC404-0F89-4F9E-8A7F-4E96F7478FE7,https://sanleandro.legistar.com/View.ashx?M=M&ID=610772&GUID=487DC404-0F89-4F9E-8A7F-4E96F7478FE7,https://sanleandro.legistar.com/#
48,Board of Zoning Adjustments,8/2/2018,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=610773&GUID=A4ECDD35-9C46-4E74-86CF-D509EE867D6D,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=610773&GUID=A4ECDD35-9C46-4E74-86CF-D509EE867D6D&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=610773&GUID=A4ECDD35-9C46-4E74-86CF-D509EE867D6D,https://sanleandro.legistar.com/View.ashx?M=M&ID=610773&GUID=A4ECDD35-9C46-4E74-86CF-D509EE867D6D,https://sanleandro.legistar.com/#
49,Board of Zoning Adjustments,8/2/2018,,5:30 PM,"San Leandro Civic Center
Helen Lawrence South Office Conference RoomSpecial Joint Meeting of the Board of Zoning Adjustments and the Planning Commission",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=610775&GUID=6697EEA4-77B5-4061-AB39-9C1D895A844B,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=610775&GUID=6697EEA4-77B5-4061-AB39-9C1D895A844B&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=610775&GUID=6697EEA4-77B5-4061-AB39-9C1D895A844B,,
50,Recreation and Parks Commission,8/1/2018,,7:00 PM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=618551&GUID=74C82CA6-08E9-4483-BC3A-EA16A99A3F4C,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=618551&GUID=74C82CA6-08E9-4483-BC3A-EA16A99A3F4C&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=618551&GUID=74C82CA6-08E9-4483-BC3A-EA16A99A3F4C,,
51,Human Services Commission,7/25/2018,,7:00 PM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=615940&GUID=28E70808-509A-4910-833F-8E4A70EBE3B3,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=615940&GUID=28E70808-509A-4910-833F-8E4A70EBE3B3&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=615940&GUID=28E70808-509A-4910-833F-8E4A70EBE3B3,https://sanleandro.legistar.com/View.ashx?M=M&ID=615940&GUID=28E70808-509A-4910-833F-8E4A70EBE3B3,https://sanleandro.legistar.com/#
