,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL
96,Planning Commission,9/4/2017,,7:00 PM,"THE PLANNING COMMISSION MEETING SCHEDULED FOR SEPTEMBER 4, 2017 HAS BEEN CANCELED.  A SPECIAL MEETING IS SCHEDULED FOR SEPTEMBER 5, 2017 AT 7:00 P.M.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=561081&GUID=815989F0-9F05-478B-B345-A4DAB8ACA855,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=561081&GUID=815989F0-9F05-478B-B345-A4DAB8ACA855&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=561081&GUID=815989F0-9F05-478B-B345-A4DAB8ACA855,,
97,Finance Commission,8/28/2017,,7:00 PM,"THE FINANCE COMMISSION MEETING SCHEDULED FOR AUGUST 28, 2017 HAS BEEN CANCELED.  A SPECIAL MEETING IS SCHEDULED FOR SEPTEMBER 14, 2017 AT 7:00 P.M.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30236&GUID=1A3FCCBF-2E26-457B-AA75-6C9C6ED96A0A,,https://hercules.legistar.com/View.ashx?M=IC&ID=547693&GUID=3E2D83F1-58F6-424B-A3CA-950ABAF7DC60,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=547693&GUID=3E2D83F1-58F6-424B-A3CA-950ABAF7DC60&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=547693&GUID=3E2D83F1-58F6-424B-A3CA-950ABAF7DC60,,
98,City Council,8/22/2017,,7:00 PM,"THE CITY COUNCIL MEETING SCHEDULED FOR AUGUST 22, 2017 HAS BEEN CANCELED.  THE NEXT MEETING IS SCHEDULED FOR SEPTEMBER 12, 2017 AT 7:00 P.M.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=557865&GUID=DE2CE1C6-ACEE-4FB6-AC34-AD3E31DEAB1B,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=557865&GUID=DE2CE1C6-ACEE-4FB6-AC34-AD3E31DEAB1B&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=557865&GUID=DE2CE1C6-ACEE-4FB6-AC34-AD3E31DEAB1B,,
99,Planning Commission,8/21/2017,,7:00 PM,"THE PLANNING COMMISSION MEETING SCHEDULED FOR AUGUST 21, 2017 HAS BEEN CANCELED.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=547697&GUID=C1A1DF8A-EFD5-4E4A-AFE2-DC7579AC5452,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=547697&GUID=C1A1DF8A-EFD5-4E4A-AFE2-DC7579AC5452&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=547697&GUID=C1A1DF8A-EFD5-4E4A-AFE2-DC7579AC5452,,
0,Community and Library Services Commission,8/14/2017,,,"THE MEETING SCHEDULED FOR AUGUST 14, 2017 HAS BEEN CANCELLED.  THE NEXT MEETING IS SCHEDULED FOR SEPTEMBER 11, 2017.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30849&GUID=72E0DE9C-8A05-4081-8D54-D1B5DFF4E25D,,https://hercules.legistar.com/View.ashx?M=IC&ID=557859&GUID=9BF394A8-8CC7-4F3D-83E0-BBE1CD6FAFE1,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=557859&GUID=9BF394A8-8CC7-4F3D-83E0-BBE1CD6FAFE1&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=557859&GUID=9BF394A8-8CC7-4F3D-83E0-BBE1CD6FAFE1,,
1,City Council,8/8/2017,,,"Council ChambersClosed Session - 6:30 P.M.
Regular Meeting - 7:00 P.M.",Meeting details,Agenda,Minutes,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=559194&GUID=B58E586D-0C6E-48A8-98EF-ECBC4F0B2C7F,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=559194&GUID=B58E586D-0C6E-48A8-98EF-ECBC4F0B2C7F&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=559194&GUID=B58E586D-0C6E-48A8-98EF-ECBC4F0B2C7F,https://hercules.legistar.com/View.ashx?M=M&ID=559194&GUID=B58E586D-0C6E-48A8-98EF-ECBC4F0B2C7F,https://hercules.legistar.com/#
2,City Council,8/8/2017,,,Council ChambersSPECIAL MEETING - 6:00 P.M.,Meeting details,Agenda,Minutes,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=559635&GUID=A7F194C5-BD96-4998-8CF4-16606D2CC47D,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=559635&GUID=A7F194C5-BD96-4998-8CF4-16606D2CC47D&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=559635&GUID=A7F194C5-BD96-4998-8CF4-16606D2CC47D,https://hercules.legistar.com/View.ashx?M=M&ID=559635&GUID=A7F194C5-BD96-4998-8CF4-16606D2CC47D,
3,Planning Commission,8/7/2017,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=547696&GUID=DD0B4CA2-D404-422D-A603-37E4690042C5,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=547696&GUID=DD0B4CA2-D404-422D-A603-37E4690042C5&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=547696&GUID=DD0B4CA2-D404-422D-A603-37E4690042C5,,https://hercules.legistar.com/#
4,Finance Commission,7/31/2017,,7:00 PM,Council ChambersSpecial Meeting,Meeting details,Agenda,Minutes,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30236&GUID=1A3FCCBF-2E26-457B-AA75-6C9C6ED96A0A,,https://hercules.legistar.com/View.ashx?M=IC&ID=558541&GUID=E483E4B4-A6DB-4912-8B2B-3754BBD3323F,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=558541&GUID=E483E4B4-A6DB-4912-8B2B-3754BBD3323F&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=558541&GUID=E483E4B4-A6DB-4912-8B2B-3754BBD3323F,https://hercules.legistar.com/View.ashx?M=M&ID=558541&GUID=E483E4B4-A6DB-4912-8B2B-3754BBD3323F,
5,City Council,7/25/2017,,7:00 PM,"Council ChambersClosed Session - 6:00 P.M.
Regular Meeting - 7:00 P.M.",Meeting details,Agenda,Minutes,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=557351&GUID=9E454181-1717-4404-8051-B949B1CB4D53,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=557351&GUID=9E454181-1717-4404-8051-B949B1CB4D53&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=557351&GUID=9E454181-1717-4404-8051-B949B1CB4D53,https://hercules.legistar.com/View.ashx?M=M&ID=557351&GUID=9E454181-1717-4404-8051-B949B1CB4D53,https://hercules.legistar.com/#
6,Finance Commission,7/24/2017,,,"THE FINANCE COMMISSION MEETING SCHEDULED FOR JULY 24, 2017 HAS BEEN CANCELLED.  THE NEXT MEETING  IS SCHEDULED FOR JULY 31, 2017 AT 7:00 P.M.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30236&GUID=1A3FCCBF-2E26-457B-AA75-6C9C6ED96A0A,,https://hercules.legistar.com/View.ashx?M=IC&ID=557333&GUID=61A34D50-F19C-4D23-BBE5-372FE9C52298,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=557333&GUID=61A34D50-F19C-4D23-BBE5-372FE9C52298&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=557333&GUID=61A34D50-F19C-4D23-BBE5-372FE9C52298,,
7,Planning Commission,7/17/2017,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=547695&GUID=9DBB4A4B-873E-4CC4-9DA9-30EA01EBD258,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=547695&GUID=9DBB4A4B-873E-4CC4-9DA9-30EA01EBD258&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=547695&GUID=9DBB4A4B-873E-4CC4-9DA9-30EA01EBD258,,https://hercules.legistar.com/#
8,City Council,7/11/2017,,6:00 PM,"Council ChambersSpecial Closed Session - 6:00 PM
Regular City Council Meeting - 7:00 PM",Meeting details,Agenda,Minutes,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=547676&GUID=D6B33039-98D6-4679-B5EA-AD70B95FDE70,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=547676&GUID=D6B33039-98D6-4679-B5EA-AD70B95FDE70&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=547676&GUID=D6B33039-98D6-4679-B5EA-AD70B95FDE70,https://hercules.legistar.com/View.ashx?M=M&ID=547676&GUID=D6B33039-98D6-4679-B5EA-AD70B95FDE70,https://hercules.legistar.com/#
9,Community and Library Services Commission,7/10/2017,,7:00 PM,"Council ChambersWorkshop - 6:30 P.M.
Regular Meeting - 7:00 P.M.",Meeting details,Agenda,Minutes,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30849&GUID=72E0DE9C-8A05-4081-8D54-D1B5DFF4E25D,,https://hercules.legistar.com/View.ashx?M=IC&ID=547699&GUID=ADA5D351-EC5E-415A-AFF0-ECF1605F154A,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=547699&GUID=ADA5D351-EC5E-415A-AFF0-ECF1605F154A&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=547699&GUID=ADA5D351-EC5E-415A-AFF0-ECF1605F154A,https://hercules.legistar.com/View.ashx?M=M&ID=547699&GUID=ADA5D351-EC5E-415A-AFF0-ECF1605F154A,
10,City Council,6/27/2017,,6:00 PM,Council Chambers,Meeting details,Agenda,Minutes,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=547678&GUID=9FD3558A-6535-4941-A1E9-A3A6C02C85C2,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=547678&GUID=9FD3558A-6535-4941-A1E9-A3A6C02C85C2&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=547678&GUID=9FD3558A-6535-4941-A1E9-A3A6C02C85C2,https://hercules.legistar.com/View.ashx?M=M&ID=547678&GUID=9FD3558A-6535-4941-A1E9-A3A6C02C85C2,https://hercules.legistar.com/#
11,City Council,6/13/2017,,6:00 PM,Council ChambersLegistar,Meeting details,Agenda,Minutes,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=553086&GUID=6E1A9F4E-9225-424E-BDC2-EF5577775CE1,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=553086&GUID=6E1A9F4E-9225-424E-BDC2-EF5577775CE1&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=553086&GUID=6E1A9F4E-9225-424E-BDC2-EF5577775CE1,https://hercules.legistar.com/View.ashx?M=M&ID=553086&GUID=6E1A9F4E-9225-424E-BDC2-EF5577775CE1,https://hercules.legistar.com/#
