,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL
70,City Council,11/28/2017,,6:00 PM,Council ChambersSPECIAL MEETING,Meeting details,Agenda,Minutes,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=575480&GUID=A3944D1F-F6FB-499C-A05A-C234190746EB,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=575480&GUID=A3944D1F-F6FB-499C-A05A-C234190746EB&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=575480&GUID=A3944D1F-F6FB-499C-A05A-C234190746EB,https://hercules.legistar.com/View.ashx?M=M&ID=575480&GUID=A3944D1F-F6FB-499C-A05A-C234190746EB,https://hercules.legistar.com/#
71,City Council,11/28/2017,,,"Council ChambersTHE CITY COUNCIL MEETING OF NOVEMBER 28, 2017 HAS BEEN CANCELLED.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=571490&GUID=C1B64FCF-906C-42B6-A707-7C28008B6253,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=571490&GUID=C1B64FCF-906C-42B6-A707-7C28008B6253&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=571490&GUID=C1B64FCF-906C-42B6-A707-7C28008B6253,,
72,Finance Commission,11/27/2017,,,"THE FINANCE COMMISSION MEETING SCHEDULED FOR NOVEMBER 27, 2017 HAS BEEN CANCELLED.  A SPECIAL MEETING HAS BEEN SCHEDULED FOR NOVEMBER 16, 2017 AT 7:00 P.M.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30236&GUID=1A3FCCBF-2E26-457B-AA75-6C9C6ED96A0A,,https://hercules.legistar.com/View.ashx?M=IC&ID=571495&GUID=04417CAA-5846-4F05-836C-82934119C9FE,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=571495&GUID=04417CAA-5846-4F05-836C-82934119C9FE&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=571495&GUID=04417CAA-5846-4F05-836C-82934119C9FE,,
73,Planning Commission,11/20/2017,,7:00 PM,"Council ChambersTHE PLANNING COMMISSION MEETING SCHEDULED FOR NOVEMBER 20, 2017 HAS BEEN CANCELLED.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=571492&GUID=D8B2570B-F3B4-4B77-B1C9-7FFBD5E62E0F,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=571492&GUID=D8B2570B-F3B4-4B77-B1C9-7FFBD5E62E0F&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=571492&GUID=D8B2570B-F3B4-4B77-B1C9-7FFBD5E62E0F,,
74,Finance Commission,11/16/2017,,7:00 PM,Council ChambersSpecial Meeting,Meeting details,Agenda,Minutes,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30236&GUID=1A3FCCBF-2E26-457B-AA75-6C9C6ED96A0A,,https://hercules.legistar.com/View.ashx?M=IC&ID=571500&GUID=0DA1D921-FC24-4B1F-A35B-C1C41D64EB57,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=571500&GUID=0DA1D921-FC24-4B1F-A35B-C1C41D64EB57&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=571500&GUID=0DA1D921-FC24-4B1F-A35B-C1C41D64EB57,https://hercules.legistar.com/View.ashx?M=M&ID=571500&GUID=0DA1D921-FC24-4B1F-A35B-C1C41D64EB57,
75,City Council,11/14/2017,,,"Council ChambersClosed Session - 6:00 p.m.
Regular Session - 7:00 p.m.",Meeting details,Agenda,Minutes,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=571489&GUID=685C3350-6CDA-4FD2-8F17-75FD854A1A22,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=571489&GUID=685C3350-6CDA-4FD2-8F17-75FD854A1A22&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=571489&GUID=685C3350-6CDA-4FD2-8F17-75FD854A1A22,https://hercules.legistar.com/View.ashx?M=M&ID=571489&GUID=685C3350-6CDA-4FD2-8F17-75FD854A1A22,https://hercules.legistar.com/#
76,Community and Library Services Commission,11/13/2017,,,Council Chambers7:00 P.M.,Meeting details,Agenda,Minutes,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30849&GUID=72E0DE9C-8A05-4081-8D54-D1B5DFF4E25D,,https://hercules.legistar.com/View.ashx?M=IC&ID=571494&GUID=4F819E2D-EBD8-4313-B4A8-07D36D5B6DAF,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=571494&GUID=4F819E2D-EBD8-4313-B4A8-07D36D5B6DAF&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=571494&GUID=4F819E2D-EBD8-4313-B4A8-07D36D5B6DAF,https://hercules.legistar.com/View.ashx?M=M&ID=571494&GUID=4F819E2D-EBD8-4313-B4A8-07D36D5B6DAF,
77,Planning Commission,11/6/2017,,7:00 PM,"Council ChambersTHE PLANNING COMMISSION MEETING SCHEDULED FOR NOVEMBER 6, 2017 HAS BEEN CANCELLED.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=571491&GUID=2BB53A4C-A6D8-43B1-B858-F8F2DBEA47D7,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=571491&GUID=2BB53A4C-A6D8-43B1-B858-F8F2DBEA47D7&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=571491&GUID=2BB53A4C-A6D8-43B1-B858-F8F2DBEA47D7,,
78,City Council,10/24/2017,,,"Council ChambersClosed Session - None.
Regular Session - 7:00 p.m.",Meeting details,Agenda,Minutes,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=566438&GUID=F559CB29-A820-4EF9-A17E-98BC4A4AECF0,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=566438&GUID=F559CB29-A820-4EF9-A17E-98BC4A4AECF0&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=566438&GUID=F559CB29-A820-4EF9-A17E-98BC4A4AECF0,https://hercules.legistar.com/View.ashx?M=M&ID=566438&GUID=F559CB29-A820-4EF9-A17E-98BC4A4AECF0,https://hercules.legistar.com/#
79,Community and Library Services Commission,10/23/2017,,7:00 PM,,Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30849&GUID=72E0DE9C-8A05-4081-8D54-D1B5DFF4E25D,,https://hercules.legistar.com/View.ashx?M=IC&ID=569589&GUID=82FF2A85-2BA0-4363-8763-893850AC5E27,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=569589&GUID=82FF2A85-2BA0-4363-8763-893850AC5E27&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=569589&GUID=82FF2A85-2BA0-4363-8763-893850AC5E27,,
