subdomains,type,name,state,country
franklintn.legistar.com,municipality,Franklin,TN,United States
fresno.legistar.com,municipality,Fresno,CA,United States
fresnocounty.legistar.com,county,Fresno,CA,United States
fullerton.legistar.com,municipality,Fullerton,CA,United States
gahanna.legistar.com,municipality,Gahanna,OH,United States
gainesville.legistar.com,municipality,Gainesville,FL,United States
gaston.legistar.com,county,Gaston,NC,United States
glwater.legistar.com,water,Great Lakes Water Authority,MI,United States
gocolumbiamo.legistar.com,municipality,Columbia,MO,United States
goleta.legistar.com,municipality,Goleta,CA,United States
goodyear.legistar.com,municipality,Goodyear,AZ,United States
grandrapids.legistar.com,municipality,Grand Rapids,MN,United States
greensboro.legistar.com,municipality,Greensboro,NC,United States
groveport.legistar.com,municipality,Groveport,OH,United States
guilford.legistar.com,county,Guilford,NC,United States
hallandalebeach.legistar.com,municipality,Hallandale Beach,FL,United States
hampton.legistar.com,county,Hampton,VA,United States
harrisonburg-va.legistar.com,municipality,Harrisonburg,VA,United States
harrisoncounty.legistar.com,county,Harrison,MS,United States
hattiesburg.legistar.com,municipality,Hattiesburg,MS,United States
hayward.legistar.com,municipality,Hayward,CA,United States
hercules.legistar.com,municipality,Hercules,CA,United States
hermosabeach.legistar.com,municipality,Hermosa Beach,CA,United States
hesperia.legistar.com,municipality,Hesperia,CA,United States
highpoint.legistar.com,municipality,High Point,NC,United States
hollywoodfl.legistar.com,municipality,Hollywood,FL,United States
hudson.legistar.com,municipality,Hudson,OH,United States
humboldt.legistar.com,county,Humboldt,CA,United States
huntingtonbeach.legistar.com,municipality,Huntington Beach,CA,United States
indianwells.legistar.com,municipality,Indian Wells,CA,United States
ircgov.legistar.com,county,Indian River County,FL,United States
jacksonco.legistar.com,county,Jackson County,MS,United States
jaxcityc.legistar.com,municipality,Jacksonville,FL,United States
jcc.legistar.com,judicial county,Judicial Council of California,CA,United States
jonesboro.legistar.com,municipality,Jonesboro,AR,United States
keywest.legistar.com,municipality,Key West,FL,United States
killeen.legistar.com,municipality,Killeen,TX,United States
kingcounty.legistar.com,county,King,WA,United States
kpb.legistar.com,municipality,Kenai Peninsula Borough,AK,United States
lackawanna.legistar.com,county,Lackawanna,PA,United States
lake-elsinore.legistar.com,municipality,Lake Elsinore,CA,United States
lakecounty.legistar.com,county,Lake County,IL,United States
lakehavasucity.legistar.com,municipality,Lake Havasu,AZ,United States
laramiecounty.legistar.com,county,Laramie,WY,United States
lassen.legistar.com,county,Lassen,CA,United States
lauderhill-fl.legistar.com,municipality,Lauderhill,FL,United States
laurelms.legistar.com,municipality,Laurel,MS,United States
leaguecity.legistar.com,municipality,League City,TX,United States
lexington.legistar.com,county,Lexington-Fayette Urban County Government,KY,United States
littletongov.legistar.com,municipality,Littleton,CO,United States
lombard.legistar.com,municipality,Lombard,IL,United States
longbeach.legistar.com,municipality,Longbeach,CA,United States
longview.legistar.com,municipality,Longview,WA,United States
losalamos.legistar.com,county,Los Alamos,NM,United States
lossan.legistar.com,rail corridor agency,Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency,CA,United States
louisville.legistar.com,municipality,Louisville,KY,United States
lsmo.legistar.com,municipality,Lee's Summit,MO,United States
madison.legistar.com,municipality,Madison,WI,United States
manhattanbeach.legistar.com,municipality,Manhattan Beach,CA,United States
manitowoc.legistar.com,municipality,Manitowoc,WI,United States
mansfield.legistar.com,municipality,Mansfield,TX,United States
manteca-ca.legistar.com,municipality,Manteca,CA,United States
marcoisland.legistar.com,municipality,Marco Island,FL,United States
margatefl.legistar.com,municipality,Margate,FL,United States
maricopa.legistar.com,county,Maricopa,AZ,United States
martin.legistar.com,county,Florida,FL,United States
