,city,committee,date,doc_type,url,local_path_pdf,local_path_txt,meeting_type,cancelled,month,time,doc_format,local_path_html
Biggs_2018-05-08_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2018-05-08 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2018--Agendas--Minutes/min-05-08-18.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-05-08_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-05-08_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Gridley_2018-05-07_City-Council_Agenda,Gridley,City Council,2018-05-07 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/5-7-18_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-05-07_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-05-07_City-Council_Agenda.txt,,,,,,
Gridley_2018-05-07_City-Council_Minutes,Gridley,City Council,2018-05-07 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/5-7-18_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-05-07_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-05-07_City-Council_Minutes.txt,,,,,,
Gridley_2018-04-16_City-Council_Agenda,Gridley,City Council,2018-04-16 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/4-16-18_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-04-16_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-04-16_City-Council_Agenda.txt,,,,,,
Gridley_2018-04-16_City-Council_Minutes,Gridley,City Council,2018-04-16 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/4-16-18_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-04-16_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-04-16_City-Council_Minutes.txt,,,,,,
Biggs_2018-04-10_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2018-04-10 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2018--Agendas--Minutes/ag-04-10-18.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-04-10_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-04-10_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2018-04-10_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2018-04-10 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2018--Agendas--Minutes/min-04-10-18.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-04-10_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-04-10_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Gridley_2018-04-02_City-Council_Agenda,Gridley,City Council,2018-04-02 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/4-2-18_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-04-02_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-04-02_City-Council_Agenda.txt,,,,,,
Gridley_2018-04-02_City-Council_Minutes,Gridley,City Council,2018-04-02 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/4-2-18_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-04-02_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-04-02_City-Council_Minutes.txt,,,,,,
Gridley_2018-03-19_City-Council_Agenda,Gridley,City Council,2018-03-19 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/3-19-18_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-03-19_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-03-19_City-Council_Agenda.txt,,,,,,
Gridley_2018-03-19_City-Council_Minutes,Gridley,City Council,2018-03-19 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/3-19-18_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-03-19_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-03-19_City-Council_Minutes.txt,,,,,,
Biggs_2018-03-13_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2018-03-13 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2018--Agendas--Minutes/ag-03-13-18.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-03-13_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-03-13_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2018-03-13_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2018-03-13 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2018--Agendas--Minutes/min-03-13-18.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-03-13_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-03-13_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Gridley_2018-03-05_City-Council_Agenda,Gridley,City Council,2018-03-05 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/3-5-18_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-03-05_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-03-05_City-Council_Agenda.txt,,,,,,
Gridley_2018-03-05_City-Council_Minutes,Gridley,City Council,2018-03-05 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/3-5-18_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-03-05_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-03-05_City-Council_Minutes.txt,,,,,,
Gridley_2018-02-28_City-Council_Agenda,Gridley,City Council,2018-02-28 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/2-28-18_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-02-28_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-02-28_City-Council_Agenda.txt,,,,,,
Gridley_2018-02-28_City-Council_Minutes,Gridley,City Council,2018-02-28 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/2-28-18_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-02-28_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-02-28_City-Council_Minutes.txt,,,,,,
Biggs_2018-02-13_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2018-02-13 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2018--Agendas--Minutes/ag-02-13-18.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-02-13_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-02-13_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2018-02-13_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2018-02-13 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2018--Agendas--Minutes/min-02-13-18.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-02-13_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-02-13_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Gridley_2018-02-12_Planning-Commission_Agenda,Gridley,Planning Commission,2018-02-12 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/Planning_Commission_Packet_2-12-18.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-02-12_Planning-Commission_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-02-12_Planning-Commission_Agenda.txt,,,,,,
Gridley_2018-02-12_Planning-Commission_Minutes,Gridley,Planning Commission,2018-02-12 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/2-12-18_PC_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-02-12_Planning-Commission_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-02-12_Planning-Commission_Minutes.txt,,,,,,
Gridley_2018-02-05_City-Council_Agenda,Gridley,City Council,2018-02-05 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/2-5-18_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-02-05_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-02-05_City-Council_Agenda.txt,,,,,,
Gridley_2018-02-05_City-Council_Minutes,Gridley,City Council,2018-02-05 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/2-5-18_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-02-05_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-02-05_City-Council_Minutes.txt,,,,,,
Gridley_2018-01-16_City-Council_Agenda,Gridley,City Council,2018-01-16 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/1-16-18_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-01-16_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-01-16_City-Council_Agenda.txt,,,,,,
Gridley_2018-01-16_City-Council_Minutes,Gridley,City Council,2018-01-16 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/1-16-18_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-01-16_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2018-01-16_City-Council_Minutes.txt,,,,,,
Biggs_2018-01-09_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2018-01-09 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2018--Agendas--Minutes/ag-01-09-18.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-01-09_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-01-09_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2018-01-09_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2018-01-09 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2018--Agendas--Minutes/min-01-09-18.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-01-09_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2018-01-09_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Gridley_2017-12-18_City-Council_Agenda,Gridley,City Council,2017-12-18 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/12-18-17_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-12-18_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-12-18_City-Council_Agenda.txt,,,,,,
Gridley_2017-12-18_City-Council_Minutes,Gridley,City Council,2017-12-18 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/12-18-17_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-12-18_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-12-18_City-Council_Minutes.txt,,,,,,
Biggs_2017-12-12_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2017-12-12 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/ag-12-12-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-12-12_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-12-12_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2017-12-12_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2017-12-12 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/min-12-12-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-12-12_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-12-12_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Gridley_2017-12-11_Planning-Commission_Agenda,Gridley,Planning Commission,2017-12-11 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/12-11-17_PC_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-12-11_Planning-Commission_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-12-11_Planning-Commission_Agenda.txt,,,,,,
Gridley_2017-12-11_Planning-Commission_Minutes,Gridley,Planning Commission,2017-12-11 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/12-11-17_PC_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-12-11_Planning-Commission_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-12-11_Planning-Commission_Minutes.txt,,,,,,
Biggs_2017-11-28_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2017-11-28 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/ag-11-28-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-11-28_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-11-28_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2017-11-28_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2017-11-28 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/min-11-28-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-11-28_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-11-28_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Gridley_2017-11-20_City-Council_Agenda,Gridley,City Council,2017-11-20 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/11-20-17_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-11-20_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-11-20_City-Council_Agenda.txt,,,,,,
