,city,date,committee,doc_format,url,doc_type
681,Mountain View,2016-01-13,Parks and Recreation Commission and Urban Forestry Board,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=450774&GUID=9305C1B9-0131-44C3-8D22-AC350C2785AB,Minutes
682,Mountain View,2016-01-12,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=452496&GUID=683F60C2-53B4-419D-A163-19AA700BFD7B,Agenda
683,Mountain View,2016-01-12,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=452496&GUID=683F60C2-53B4-419D-A163-19AA700BFD7B,Minutes
684,Mountain View,2016-01-05,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=449302&GUID=F93DF65C-B7DC-45FD-BE17-B1EDF0444E6C,Agenda
685,Mountain View,2016-01-05,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=449302&GUID=F93DF65C-B7DC-45FD-BE17-B1EDF0444E6C,Minutes
686,Mountain View,2015-12-16,Environmental Planning Commission,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=449127&GUID=9124B331-62DA-40D1-B300-2615386B1E81,Agenda
687,Mountain View,2015-12-16,Environmental Planning Commission,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=449127&GUID=9124B331-62DA-40D1-B300-2615386B1E81,Minutes
688,Mountain View,2015-12-09,Parks and Recreation Commission and Urban Forestry Board,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=446557&GUID=71485C72-3364-4D20-B593-2D66FB0FAE00,Agenda
689,Mountain View,2015-12-09,Parks and Recreation Commission and Urban Forestry Board,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=446557&GUID=71485C72-3364-4D20-B593-2D66FB0FAE00,Minutes
690,Mountain View,2015-12-08,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=458308&GUID=12A80DB0-562F-4A5C-8379-C8C3DC0CCA98,Minutes
691,Mountain View,2015-12-08,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=381819&GUID=63B6D3EF-6FFB-495D-B843-F27774FA60C2,Agenda
692,Mountain View,2015-12-08,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=381819&GUID=63B6D3EF-6FFB-495D-B843-F27774FA60C2,Minutes
693,Mountain View,2015-12-01,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=382050&GUID=5B676406-CB23-4A31-84D3-48DEC404365A,Agenda
694,Mountain View,2015-12-01,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=382050&GUID=5B676406-CB23-4A31-84D3-48DEC404365A,Minutes
695,Mountain View,2015-11-18,Parks and Recreation Commission and Urban Forestry Board,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=441952&GUID=10F58A65-978B-4AB3-828A-6A1677B05617,Agenda
696,Mountain View,2015-11-18,Parks and Recreation Commission and Urban Forestry Board,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=441952&GUID=10F58A65-978B-4AB3-828A-6A1677B05617,Minutes
697,Mountain View,2015-11-17,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=381799&GUID=34CA523C-8F89-4D94-A3B2-55BF13ACB94F,Agenda
698,Mountain View,2015-11-17,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=381799&GUID=34CA523C-8F89-4D94-A3B2-55BF13ACB94F,Minutes
699,Mountain View,2015-11-10,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=418691&GUID=E285444F-2354-418D-8279-74730A038370,Agenda
700,Mountain View,2015-11-10,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=418691&GUID=E285444F-2354-418D-8279-74730A038370,Minutes
701,Mountain View,2015-11-10,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=458344&GUID=D6351977-CB7A-426D-A3DB-ACACD9495BD0,Minutes
