,city,date,committee,doc_format,url,doc_type
415,Santa Clara,6/21/2018,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=611172&GUID=08A0B51E-C3BB-473A-822C-EB4447CD5285,Agenda
416,Santa Clara,6/21/2018,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=611172&GUID=08A0B51E-C3BB-473A-822C-EB4447CD5285,Minutes
417,Santa Clara,6/19/2018,Parks & Recreation Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=605757&GUID=4E356215-727C-46FC-AFAB-D27D57790D5F,Agenda
418,Santa Clara,6/19/2018,Parks & Recreation Commission,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=605757&GUID=4E356215-727C-46FC-AFAB-D27D57790D5F,Minutes
419,Santa Clara,6/19/2018,Santa Clara Stadium Authority,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=611442&GUID=69E7F5AD-18C5-4391-BC66-8F107F12A5BD,Agenda
420,Santa Clara,6/15/2018,Oversight Board Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=610796&GUID=EA6D7994-48E3-4A6F-A90F-5B26FCB364A5,Agenda
421,Santa Clara,6/13/2018,Planning Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=590982&GUID=97204BE5-8173-4515-8BEE-E0481B66A1C0,Agenda
422,Santa Clara,6/13/2018,Planning Commission,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=590982&GUID=97204BE5-8173-4515-8BEE-E0481B66A1C0,Minutes
423,Santa Clara,6/13/2018,City-School Liaison Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=610809&GUID=BA309FE6-475C-41B0-BB0F-5F8F1BD68767,Agenda
424,Santa Clara,6/13/2018,City-School Liaison Committee,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=610809&GUID=BA309FE6-475C-41B0-BB0F-5F8F1BD68767,Minutes
425,Santa Clara,6/12/2018,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=590766&GUID=FDCE5B89-F205-463D-A7AE-E4A59B24B124,Agenda
426,Santa Clara,6/12/2018,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=590766&GUID=FDCE5B89-F205-463D-A7AE-E4A59B24B124,Minutes
427,Santa Clara,6/11/2018,Governance and Ethics Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=602489&GUID=2A49863F-0182-451C-8E0A-83FDA2C7E80B,Agenda
428,Santa Clara,6/8/2018,Oversight Board Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=610065&GUID=E7CA82C8-2D3F-4E4E-A049-6394FE164C49,Agenda
429,Santa Clara,6/8/2018,Oversight Board Committee,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=610065&GUID=E7CA82C8-2D3F-4E4E-A049-6394FE164C49,Minutes
430,Santa Clara,6/7/2018,Historical & Landmarks Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=606191&GUID=9BA2DDCA-050B-462F-817C-7847F41885E9,Agenda
431,Santa Clara,6/7/2018,Historical & Landmarks Commission,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=606191&GUID=9BA2DDCA-050B-462F-817C-7847F41885E9,Minutes
432,Santa Clara,6/4/2018,Cultural Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=609783&GUID=9E6C78AF-9763-41E1-A71C-C0F37B8E73FE,Agenda
433,Santa Clara,6/4/2018,Cultural Commission,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=609783&GUID=9E6C78AF-9763-41E1-A71C-C0F37B8E73FE,Minutes
434,Santa Clara,6/4/2018,Board of Library Trustees,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=604716&GUID=D429413E-757A-4A64-B485-FBF2C08A8F64,Agenda
435,Santa Clara,6/4/2018,Board of Library Trustees,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=604716&GUID=D429413E-757A-4A64-B485-FBF2C08A8F64,Minutes
436,Santa Clara,6/4/2018,Ethics Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=609580&GUID=AE925FEC-DD91-4043-A357-59BBCF4AF34D,Agenda
437,Santa Clara,5/29/2018,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=605865&GUID=041134F9-21F3-4177-82C5-1616B915616A,Agenda
438,Santa Clara,5/29/2018,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=605865&GUID=041134F9-21F3-4177-82C5-1616B915616A,Minutes
439,Santa Clara,5/29/2018,Oversight Board Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=608595&GUID=355C7300-8FE9-4EE5-B1EE-3FA85E5B8147,Agenda
440,Santa Clara,5/29/2018,Oversight Board Committee,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=608595&GUID=355C7300-8FE9-4EE5-B1EE-3FA85E5B8147,Minutes
441,Santa Clara,5/23/2018,Planning Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=590981&GUID=D04A11B5-9FFB-40B0-8609-4435D66F94E0,Agenda
442,Santa Clara,5/23/2018,Planning Commission,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=590981&GUID=D04A11B5-9FFB-40B0-8609-4435D66F94E0,Minutes
443,Santa Clara,5/22/2018,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=590763&GUID=4803C614-7650-496E-A305-678D9157527E,Agenda
444,Santa Clara,5/22/2018,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=590763&GUID=4803C614-7650-496E-A305-678D9157527E,Minutes
445,Santa Clara,5/21/2018,Senior Advisory Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=605756&GUID=7AA72920-DE01-4110-9F86-0301DE915175,Agenda
446,Santa Clara,5/21/2018,Senior Advisory Commission,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=605756&GUID=7AA72920-DE01-4110-9F86-0301DE915175,Minutes
447,Santa Clara,5/18/2018,Oversight Board Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=607557&GUID=D217F014-168A-4956-BA4E-DAF954CA5E9E,Agenda
448,Santa Clara,5/18/2018,Oversight Board Committee,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=607557&GUID=D217F014-168A-4956-BA4E-DAF954CA5E9E,Minutes
449,Santa Clara,5/16/2018,Marketing Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=607458&GUID=E3B2B16F-97D4-4EBF-991B-5DDDAAFF90E4,Agenda
450,Santa Clara,5/15/2018,Parks & Recreation Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=605749&GUID=4A6FE984-02E6-4517-A792-FC83F376FE11,Agenda
451,Santa Clara,5/15/2018,Parks & Recreation Commission,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=605749&GUID=4A6FE984-02E6-4517-A792-FC83F376FE11,Minutes
452,Santa Clara,5/15/2018,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=590762&GUID=7345DD24-E9C7-4728-84E7-A17F7942AD92,Agenda
453,Santa Clara,5/15/2018,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=590762&GUID=7345DD24-E9C7-4728-84E7-A17F7942AD92,Minutes
454,Santa Clara,5/14/2018,Civil Service Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=603158&GUID=6A7B2BFB-F41A-4B6F-9840-C67C7B9ADD91,Agenda
455,Santa Clara,5/14/2018,Civil Service Commission,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=603158&GUID=6A7B2BFB-F41A-4B6F-9840-C67C7B9ADD91,Minutes
456,Santa Clara,5/14/2018,Governance and Ethics Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=607352&GUID=349125EE-3DAF-4FDA-A209-7E8FA941D9FE,Agenda
457,Santa Clara,5/9/2018,Planning Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=590980&GUID=EED9B4DD-F146-4618-BE97-89A573A80DF6,Agenda
458,Santa Clara,5/9/2018,Planning Commission,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=590980&GUID=EED9B4DD-F146-4618-BE97-89A573A80DF6,Minutes
459,Santa Clara,5/9/2018,Cultural Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=606171&GUID=319158A6-8BE1-4071-A9F9-329ED4ECD693,Agenda
460,Santa Clara,5/9/2018,Cultural Commission,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=606171&GUID=319158A6-8BE1-4071-A9F9-329ED4ECD693,Minutes
461,Santa Clara,5/8/2018,Youth Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=605717&GUID=585990F6-863B-4648-A1A4-A2C60E80976E,Agenda
462,Santa Clara,5/8/2018,Youth Commission,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=605717&GUID=585990F6-863B-4648-A1A4-A2C60E80976E,Minutes
463,Santa Clara,5/8/2018,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=590761&GUID=72B5645A-7871-4EA0-BB83-932AB7A2F6D4,Agenda
464,Santa Clara,5/8/2018,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=590761&GUID=72B5645A-7871-4EA0-BB83-932AB7A2F6D4,Minutes
465,Santa Clara,5/7/2018,Board of Library Trustees,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=603866&GUID=5262E1AC-20AC-472C-947C-715F3FD4910F,Agenda
466,Santa Clara,5/7/2018,Board of Library Trustees,pdf,https://santaclara.legistar.com/View.ashx?M=M&ID=603866&GUID=5262E1AC-20AC-472C-947C-715F3FD4910F,Minutes
467,Santa Clara,5/7/2018,Ethics Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=606468&GUID=E4B25079-29DC-48ED-A066-E2FBF6ADDDBA,Agenda
